,Positive,Negative
0,19,35
1,I wish quick recovery for talented @TOLOnews Journalists. I am sure they will win the coronavirus and will be back to serve to Afghanistan Media back. ,The #kabul_Administration says: positive cases of coronavirus at Pule-Charkhi #prison has reached to 75.even more prisoners r addicted to corona.#US must act on #Doha_agrmnt otherwis they r directly responsible for this catastrophe @US4AfghanPeace @StateDept @USAmbKabul @USFOR_A
2,What measures are in place to prevent public outbreak of the COVID19 ? How well is the quarantine facility secured? Was this person tested and isolated at the airport or was it a reported case of symptoms that led to the discovery of the first COVID19 case in Nigeria?,"This is why I am saying #COVID19 should be dealt in time and cautiously in #Afghanistan. In this video, people in Ghazni are vowing and praying to repel the virus. Afghans — even in major cities — have no proper access to medication. This can be awfully dangerous!"
3,These chinese people on campus are so considerate they wear masks so others can't catch coronavirus from them,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
4,"China’s Leader, Under Fire, Says He Led Coronavirus Fight Early On via New York Times https://ift.tt/2OYiiC1  https://ift.tt/2SwilXY ","RT @WIONews: ‘Unable to pay rent, children’s tuition fee’

Over a thousand garnet factory workers protested against the overdue wages near…"
5,"Coronavirus Live Updates: Second Unexplained Case Found in California, This Time in Santa Clara County via New York Times https://ift.tt/32DG7EJ  https://ift.tt/39axpR0 ","RT @MunazaShaheed: I miss going to the office, using the studio for TV programs, interacting with people without any fear of  #COVID19 &amp; ha…"
6,"COVID-19: 556 new Cases Brings Tally to 24,102 
#Afghanistan #COVID19 #Coronavirus
Read more: https://t.co/fRBcAoE03i",
7,"RT @Reporterlyaf: COVID-19: 556 new Cases Brings Tally to 24,102 
#Afghanistan #COVID19 #Coronavirus
Read more: https://t.co/fRBcAoE03i",
8,"RT @DarrenEuronews: Top 5 countries 🌍 with highest number of #coronavirus cases

1. 🇺🇸 USA (Trump)
2. 🇧🇷 Brazil (Bolsonaro)
3. 🇷🇺 Russia (P…",
9,AJ - Authorities in #Beijing place parts of the city in lockdown after six new domestic #coronavirus cases were rep… https://t.co/RX9pSZpgJY,
10,"The Ministry of Public Health (MoPH): The total #coronavirus cases in #Afghanistan hit 24,102 as 556 new cases were… https://t.co/ciFQMUxVaO",
11,Global #cronavirus death,
12,Mutation Allows Coronavirus to Infect More Cells. #COVID19 #CoronaPandemic #coronavirus #SARS-CoV-2… https://t.co/xVPWy0IX7j,
13,"RT @AFPphoto: #Coronavirus #COVID19 #Italy
Venice comes back to life after lockdown.
📸 Andrea Pattaro #AFP
More pictures on AFP Forum: http…",
14,"RT @unwomenafghan: Bamiyan women-owned small businesses have been hit by #COVID19. No tourists in peak season during the lockdown, means no…",
15,"With #COVID19, there has never been more demand for services for women who survive violence in their homes.… https://t.co/waUWdcUuUA",
16,"RT @UN: Let's share ideas on how to achieve a global ceasefire, heal our planet &amp; turn the #COVID19 crisis into an opportunity for peace.…",
17,Grandma Surin goes door-to-door on her motorcycle nearly every day visiting dozens of homes to do temperature check… https://t.co/XK5OtVm1Zn,
18,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",
19,Afghan government says #covid19 killed only 5 people across #Afghanistan in the last 24 hours. I lost a friend and… https://t.co/jjargS7JsG,
20,"RT @unwomenafghan: Communities know what they need. Women play a central role in preventing &amp; responding to #COVID19 in communities. 

💰@un…",
21,"RT @FAO: Our food systems are failing us. And #COVID19 is making things worse.

We must invest in the future &amp; transform our food systems t…",
22,"RT @_junaidahmad_: Inshallah Get well soon !! ❤
@SAfridiOfficial 
#shahidafridi 
#COVID19 https://t.co/svVl1ggDPu",
23,"And what happened to #Covid19 aid? 

$100 million - World Bank
117 million euros - EU
$50 million - Asian Developme… https://t.co/2iyC134EvM",
24,"#COVID19: An additional three million children in #Afghanistan need help to survive in 2020, warns @SavetheChildren… https://t.co/NGnsQoP7rY",
25,"Emptied out Karachais in time of #COVID19 - via Harper's Magazine

Read the full article: https://t.co/NzBZTJZISW https://t.co/fneY3McZm6",
26,"RT @UNICEF: Singing 🎤, filming 🎥 and learning 📖 

This is how nine-year-old Ria stays connected and healthy during New York's #COVID19 lock…",
27,I am proud of my spritual brothers and sisters. Maula bless them,
28,"RT @ABusinessTimes: Emptied out Karachais in time of #COVID19 - via Harper's Magazine

Read the full article: https://t.co/NzBZTJZISW https…",
29,"The coronavirus hits all Gulf countries. Here are all the facts: Iran travel link, figures and measures taken.https://english.alarabiya.net/en/News/gulf/2020/03/03/Coronavirus-hits-all-GCC-countries-Iran-travel-link-figures-and-measures-taken.html …",
