,Positive,Negative
0,186,283
1,airbnb link: https://abnb.me/DT5hHHxL55 To view message only whats app +62 81 338 276 772 #bali #canggu #brawa #villa #rental #beach #airbnbbali #cafes #airbnb #restaurants #linkedin #balivillas #cangguclub #coronavirus #cangguvillas #brawavillas #covid19 #selfisolate #isolating,What Little House on The Prairie's Typhus Outbreak Can Teach Us About The Coronavirus 
2,How to recover from Corona Virus ,"‘Frostbite’ toes and other peculiar rashes may be signs of hidden coronavirus infection, especially in the young "
3,Kushner calls US coronavirus response a 'success story' as cases hit 1 million - CNNPolitics ,A Funny 'Talking' Dog Gives Tips On Living Right During The Coronavirus Crisis : Coronavirus Live Updates : NPR 
4,Ed Woodward insists Manchester United will remain highly competitive in the transfer market despite financial impact of coronavirus crisis..,BBC News - Coronavirus: One thing that makes job loss in US so painful 
5,BIZNEWS: #malaysia association of #hotels said that they need about 6 month wage subsidy to survive. pic: @staronline #COVID19 #coronavirus #level4lockdown #Tourism @TourismMalaysia @MOFmalaysia @papakazi_ #economy,Belgium's government implemented a nationwide state of lockdown on March 18 in a bid to slow the spread of the coronavirus
6,"This blood is on the hands of the GOP, the SCOTUS, and Donald J Trump! Every single one of you should stand ashamed, and I promise you will in history! #SaveAmerica 52 People Who Took Part in Wisconsin's Primary Have Tested Positive for Coronavirus ","Coronavirus could see Papua New Guinea, Indonesia become failed states There are currently close to 9,000 detected cases of the virus and there have been more than 700 deaths. But, as with PNG, the numbers don't tell the real story. "
7,"For those who own property and act as landlords, there are some things to consider when it comes to dealing with Coronavirus financial realities. #SilverCreekRealtyGroup #YourBoiseRealty #EricFinn #EagleIdaho #YourLegacyRealty ##Legacylifestyle","Remember corona virus, yea me neither? This is how the narrative will change from this, to wondering why we are back on lockdown..."
8,BBC News - Remdesivir: Drug has 'clear cut' power to fight coronavirus ,". Commuters in face masks walk past a wall mural at Sudirman train station in Jakarta, Indonesia, amid the coronavirus disease (COVID-19) outbreak, May 28, 2020. REUTERS/WIlly Kurniawan @Jakarta, Indonesia https://www.instagram.com/p/CA1BHa2g0-t/?igshid=o14vhh0tocxj"
9,BBC News - Coronavirus: Why so many US nurses are out of work ,"As the world spirals toward chaos, Amy Cooper fights to stop the evolution of a deadly virus. When her beliefs disagree with the Administration’s agenda, she is put on trial. #virus #ebola #coronavirus #religion #persecution Midnight Hour:"
10,Coronavirus Tweets from UK authorities #COVID19,"Coronavirus has infected 100,000 people in D.C., Maryland and Virginia - The Washington Post "
11,Belgians urged to eat fries twice a week as coronavirus creates massive potato surplus ,"More than 100,000 COVID-19 deaths, Mr. Trump had missed a chance to help the public cope with “two viruses: One is the coronavirus and the other is the virus of racial animus.” President Trump must resign! #StopRacismSaveLives"
12,Coronavirus: US top infectious disease doctor says drug trial shows 'quite good news' #Coronavirus ,"there's really a lot of racism going on regarding the Wuhan coronavirus... but as someone who lost 2 years of my life to a virus before, who has plans to travel within Asia soon, who is already vaccinated against measles, polio, yearly flu, etc... i have reason to be concerned!"
13,"I'm late with the daily update, but as of today, IDOC was reporting no cases of coronavirus in the prisons. That does include the Eagle Pass facility in TX that houses Idaho inmates. #Idahocovid19",Ingat Corona Virus... Ingat WUHAN! W-ash hands with soap U-se masker properly H-aving temperature check regularly A-void crowds N-ever touch your face with unclean hands #CoronavirusOutbreak
14,Today's look at innovation and news in clinical trials: https://paper.li/TrueReply/1512427483?edition_id=936672c0-8a6b-11ea-9656-002590a5ba2d tks to @mom2kidz63 @mysticalblends #coronavirus #health,"China reports that coronavirus is massively spreading in cities, towns and villages around Wuhan City, the epicenter of the virus outbreak."
15,Leading through coronavirus: 4 administrators share how they're navigating pandemic upheaval @GwinnettSchools and my friend @SuptEnfield https://www.educationdive.com/news/leading-through-covid-19-administrators-share-how-theyre-navigating-pande/574978/ via @EdDiveK12,"The phenomenon of the recent floods occurred in a number of regions in Indonesia or the corona virus outbreak in the wuhan city of China, what do you think about urban spatial expressions? Is it scary?"
16,"The low conversion rate highlights the acute pressure the UK faces after coronavirus prevented travel for many of the 70,000 to 80,000 overseas seasonal workers who normally pick crops from lettuce to berries and apples","@ben_geier, say you might get your wish corona virus is tailor made for old geezer @GOP senators. Most deaths by the illness are old men. That might be a partial solution to the heartland problem."
17,". Sunday morning~ . A plastic glove is seen at a parking lot of a rest area amid the spread of the coronavirus disease (COVID-19) in Bekasi, on the outskirts of Jakarta, Indonesia, May 31, 2020. REUTERS/Willy… https://www.instagram.com/p/CA1LPh_AlLo/?igshid=ck28y50zozu4","they said “to avoid the corona virus, u must keep ur hands clean...” so i used hand sanitizer but i just realized that it’s anti-bacterial, not anti-virus. corona virus is gonna get me "
18,Joe Biden updates social media profiles with picture showing him wearing a coronavirus mask ,Coronavirus declared global health emergency by WHO https://www.bbc.com/news/world-51318246
19,@rajnathsingh now all labour come back and villages will effected by corona virus. Can't save village area,Canada is woefully unprepared for the #coronavirus 
20,Corona virus has no more dignity here. Hashtag Mashallah,I’d be more concerned with the longevity of #coronavirus if it wasn’t Made In China.
21,". Patients exercise at the balconies of a training center, which has been converted into a quarantine house, in Tangerang, on the outskirts of Jakarta, Indonesia, amid the coronavirus disease (COVID-19) outbreak, May… https://www.instagram.com/p/CA1A5nlA2Nb/?igshid=t7x2pyemet8c",#HEALTHYFITNESSThe Coronavirus Outbreak Is Now a Public Health Emergency of International Concern. Here’s What That Means https://ift.tt/2OeD2oL
22,Credit and Coronavirus: What You Need to Know: https://bit.ly/2TcKO51,Some of y'all so serious about the virus and wearing mask? Pundeh also use your car indicator while making turns too la CB. More people death in this case than the Corona virus.
