,Positive,Negative
0,12,1
1,"#Iran: #Coronavirus fatalities in 323 cities exceed 48,000 - NCRI https://www.ncr-iran.org/en/ncri-statements/iran-coronavirus-fatalities-in-323-cities-exceed-48000/#.XtLE3-DFCuQ.twitter #FreeIran2020 @USAdarFarsi",Trump wants to milk Saudi Arabia again after Corona virus destroyed economy
2,"In public health, honesty is worth a lot more than hope #COVID19 #Economist",#MaryamRajavi: The reopening of all mosques and shopping centers in #Iran is a criminal act by #Khamenei and #Rouhani; it will only send larger segments of the population to the altar of #Coronavirus https://www.ncr-iran.org/en/ncri-statements/iran-coronavirus-fatalities-in-323-cities-exceed-48000/#.XtLFIo8kRsk.twitter #FreeIran2020
3,It is said that in order to fight against the #COVID19 we'd better to keep the office temperature as high as possible.,2020 is on a roll! You can’t make this stuff up!! Monkeys 'escape with coronavirus samples' after attacking lab assistant 
4,Healthcare providers are in the frontline to fight #COVID19 in #Iran. We need PPEs as the first priority to support physicians and nurses. @saeednamaki @WHOEMRO @DrTedros,#China's national health commission says total deaths from #coronavirus at 213 #BreakingNews
5,"Latest #Official Numbers regard #Coronavirius in Iran by Febuary 28, 2 P.M (Local time): 1500 Suspicious cases 388 positive patient (143 New) 73 got well &amp; discharged from Hospitals 34 death (8 New): #Iran's Health Ministry Spokesperson, Jahanpor. #COVID19 ",The corona virus is closer to us than the neck vein #coronarvirus
6,#Iran's Health Ministry says 73 patients have recovered and been discharged from hospital so far. The average age of those hospitalized for #COVID19 is +53 and that of those who died is +60.,Meanwhile in China : Corona virus! 
7,RT @Haman_Ten: Iranian drug #ReciGen has been successful in treating 172 #COVID19 with 100% success (in combination with antiviral therapy)…,"Somebody's inside me, forcing me to do what I don't like. Somebody's inside me, disliking what I always do. Who's really me? #تیریپ_فلسفی #بداهه #Question #StockMarketCrash2020 #Erdogan #Coronavid19 #Idlib #TrumpLiesAboutCoronavirus #COVID19 #Turkish #FridayFeeling"
8,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…","This ""microscopic zombie"" is playing its role in ""natural selection"". Objective view (god mode): Subjective view (human mode): #COVID19 #coronavirus #كرونا‌"
9,"Tucker Carlson Met With Donald Trump At Mar-a-Lago & Urged Him To Take Coronavirus Seriously, Report Says https://www.inquisitr.com/5944893/tucker-carlson-trump-mar-lago-coronavirus/ …",Sounds like that the #COVID19 stands for Corona Virus Disease 2019.
