,Positive,Negative
0,6,10
1,Y’all it’s 100% possible that my eyebrows may emerge victorious from this coronavirus situation,Corona Virus is now world wide. Whuttttthefuccck
2,Of course. He also said the Coronavirus wasn’t coming to the US. ,Corona virus is just karma for China locking up all them Muslim ppl and invading Africa
3,"nobody is gonna pay attention to the coronavirus until it’s too late, even though it’s silently traveling through the world and killed 17 people already",Bro if the corona virus tries to get me Imma shoot it
4,Don’t underestimate the corona virus Dom.  If we start building a hospital now that guy from patriotic street has our best chance.,"“What the authorities were able to discover was worrisome: The man had not traveled to China, or to other virus hot spots like Italy, nor was he known to have come in contact with someone confirmed by the authorities to have been infected” #COVID19 "
5,I just need this Coronavirus cleared up by the time of my cruise in July.,"How do u even get the corona virus, mans about to drink water till this shit dies down"
6,Rest In Power to Li Wenliang .. he did the realist shit ever alerting the world about what China was tryna keep secret about this coronavirus.. bro deserve a drink in memory ! #LiWenliangHero #LiWenliang,Am I actually sick or did my boss’ email about coronavirus precautions make me feel sick
7,"gonna lead her on, get that ps5 then say I got the coronavirus so I can leave her #MambaMentality",i hope everyone that wears a stupid ass face mask gets the coronavirus 
8,Got to love Lizzie and Phil. Anti Royalists can do one,if the corona virus don’t kill us this will https://twitter.com/Daily_Express/status/1234629562765660161 …
9,In a nutshell.,@SportsRadioWIP @JoeGiglioSports  Stop taking calls on the coronavirus. These people don’t know what they’re talking about and it’s very dangerous
10,RT @PSuiteNetwork: Will Democrats and Republicans Let Our Most Affordable and Mobile Testing Kit Go To Russia First? $DECN Rapid Fingerpric…,"He's not senile, but Bernie did just have a heart attack and thinks women fantasize about getting gang-raped. A deadbeat dad who let his kid & GF go on welfare so he could run for governor & accomplished nothing in 30 years in Congress. I'd vote for Corona Virus over Bernie."
11,Coronavirus canceling everything but these student loans,I'm really about to go on vacation by myself IDGAF about no Corona virus 
12,tell me why i just went to blow on my cereal like it was hot. #coronavirus took my last brain cells,"If Coronavirus had a face , it would be @RepMaxineWaters. A true virus in Congress. #coronavirus"
13,"“We are now nothing but giant buildings with seats,” said one theater owner about what the coronavirus has done to the industry. https://www.insider.com/what-movie-theaters-are-doing-stay-open-coronavirus-2020-3 …",
