,Positive,Negative
0,17,24
1,AQA History GCSE Paper 1 2067: Discuss the role that the band Oasis had on boosting the morale of the British people during the coronavirus pandemic of 2020. Use the sources and your own knowledge. (20),That’s the real source of the Corona Virus.
2,#FreeSirousAsgari Iranian scientist in US jail contracts coronavirus after pleading for release ,"""Frostbite"" toes and rashes may be signs of a coronavirus infection "
3,#coronavirus has changed me. I drink beer now and work out. What the hell happened ? #COVID19 #changing,Hotline helps coronavirus doctors in distress https://www.nbcnews.com/news/us-news/hotline-manned-psychiatrists-helps-coronavirus-doctors-distress-n1194596 via @nbcnews
4,Opinion | West Point cadets shouldn't have to risk coronavirus for Donald Trump's ego https://www.nbcnews.com/think/opinion/trump-forcing-west-point-graduates-risk-coronavirus-his-ego-disrespects-ncna1195576 via @NBCNewsTHINK,"4 new coronavirus-related deaths, 56 new cases reported in Maine http://dlvr.it/RXgcsj"
5,These Athletes Had Coronavirus. Will They Ever Be the Same? ,Markets are down now 3.5-4% this morning on #COVID19 Fears. The worst week on the market since 2008 Economic Crisis! #Cornavirus #DowJones #NASDAQ #SP500
6,Come to America. We have cookies. (And also lots and lots of coronavirus and deeply embedded systemic racism. But the cookies are pretty good.),BEIJING (AP) - Chinese state broadcaster CCTV say a preliminary investigation has identified a previously unknown viral pneumonia as a new type of coronavirus.
7,NO second wave of coronavirus: Scientific model predicts the US will be free of coronavirus by November 11 ,"BEIJING (AP) - China reports first death from new type of coronavirus; dozens still hospitalized, 7 in critical condition."
8,This is what they are building for the coronavirus? ,Are you sure you don't have the Corona Virus? They're now screening for it at various airports across the country...
9,Never been so aware of how many times I touch my face/mouth as I have these past few days #covid19,"Now apply the same principal at the population level to the current coronavirus pandemic. 

A little more scary, isn't it? https://twitter.com/VergilDen/status/1220119999441969153 …"
