,Positive,Negative
0,85,151
1,Wall Street rallies on promising coronavirus drug http://www.myheadlinez.com/40506350/Wall-Street-rallies-on-promising-coronavirus-drug/,"#niet_in_journaal #US #military #COVID_19 The complete list of military coronavirus cases by base, as second Navy ship faces a major outbreak "
2,”A roaring lion kills no game”. Sitting around and talking about something gains nothing. The saying also implies that you should work towards your goals quietly rather than bragging about your achievements prematurely. #coronavirus #COVIDー19 #leadership,Will you go back to shows and big events as soon as the lockdown ends? Do you still hope to use your unrefunded concert tickets? https://bit.ly/2y3WiAG #coronavirus #COVID19Pandemic #poll #Reuters
3,Interesting how #icantbreathe references both #GeorgeFloydMurder and #coronavirus,Michigan doctor charged with fraud after allegedly touting vitamin C infusions as coronavirus treatment http://www.myheadlinez.com/40506340/Michigan-doctor-charged-with-fraud-after-allegedly-touting-vitamin-C-infusions-as-coronavirus-treatment/
4,"I stay about 7 miles away from Nike European HQ in Hilversum, their office was shut for a deep clean as some of their staff had Coronavirus. This was around the same time. Nike representatives probably brought it with them.","the mayor said in one post. “When I heard, I went there myself to ensure the crowd was dispersed. And what I saw WILL NOT be tolerated so long as we are fighting the Coronavirus.”"
5,It's like the fact that we're only apparently 17 to 15% of the population meanwhile 40% of us so far have contracted the Coronavirus the last time I checked. Personally I blame the fact that not a lot of us have access to decent health care but that's neither here nor there.,"FOLKS! After you give your heart to Jesus, you're supposed to keep using your brain! ‘A phantom plague’: Evangelicals who defied social distancing guidelines are dying of coronavirus in frightening numbers – Raw Story "
6,Using inbound marketing to boost recruiting efforts post-coronavirus http://upflow.co/l/B2CX,That’s why Bergen County have the most ppl with coronavirus 
7,11 Savvy Things I Was Already Doing When Coronavirus Hit That Brought Me Unexpected Peace https://livelifehomeschool.com/11-savvy-things-when-coronavirus-hit-unexpected-peace/ via @LLHomeschool,I used Duckduckgo to search for 'Coronavirus: how dangerous is it?' and your Youtube video came up seventh. In Google: nothing.
8,"Our weather this spring has been more LA than NL. It’s like coronavirus brought sunshine and warmth with it to Northern Europe, which has made the whole lockdown a bizarrely pleasant experience at times.","#Lebanon : for the 4th night in a row riots are taking place in the city of #Tripoli. The combination of economic collapse, government repression, corruption and #coronavirus lockdowns have made life unbearable for many Lebanese. #لبنان_يتنفض"
9,"How New Zealand beat coronavirus: testing, tracing, trust in advice - @businessinsider","Coronavirus lives for hours in air particles and days on surfaces, new US study shows "
10,I'm not talkin about little nut sacks in particular I'm just saying celebrities in general. If I remember correctly Megan the stallion and Beyonce donated to the coronavirus effort and so did Taylor Swift I believe (kind of iffy on that last one),Wtf. See Olympic 2012 opening with dancing nurses. Coronavirus 
11,Eeeexactly You can't necessarily throw your money everywhere because you still need it at the end of the day but donating to a very important cause towards coronavirus or making your own type of cause or even hosting some type of live stream for charity that would be nice.,If they have time to play they need to go home. Doesn't look as if their services are needed. That is not in anyway funny. People have died and went through hell with the coronavirus and their mocking them. Very unprofessional
12,Coronavirus latest: Trump faces backlash over WHO exit,Coronavirus live news: Brazil sees record increase in cases 
13,Yeah I can get really frustrating when important shit is happening in the world and celebrities decline to comment on a fucking thing. Then again in cases like Vanessa Hudgens and the coronavirus it's just best to shut the fuck up so it depends.,This video about coronavirus charts is very clarifying: 
14,"Remember, No One Is Coming to Save Us. Eventually doctors will find a coronavirus vaccine, but black people will continue to wait for a cure for racism. @rgay in @nytimes","OMG! Thunberg said in a statement that “like the climate crisis, the coronavirus pandemic is a child-rights crisis”"
15,"More than 300 of the world’s top 500 companies have a presence in Wuhan, #coronavirus. Now you know why #Who has to respond the way they did. Protecting WH by protecting world economy? #Automotive #electronics",GOP decries ‘impeachment 2.0’ as Pelosi names top Trump critics to coronavirus oversight panel #impeachment #coronavirus 
16,Germany confirms the 5th case of the #coronavirus in the south of the country. The patient is from the Traustein district in Munich. Details will be released to the media Friday 31 January,"#COVID1984 #coronavirus From 9/11 we have learned there are 3 branches profiteering and working together, always hiding behind each others backs: 1. politics (propaganda) 2. commercial (marketing) 3. religion (belief). Think about it. How does that relate to #Covid1984?"
