,Positive,Negative
0,61,39
1,Animals take advantage of a world in coronavirus lockdown https://mol.im/a/8268769 via @MailOnline,"Nothing you can “brag about “ will ever erase your Dereliction of Duty when it comes to several things, including but not limited to the Coronavirus Pandemic Outbreak that is taking lives as you TWEET. Your complete lack of compassion and empathy is disgusting and appalling."
2,Gilead drug proves effective against coronavirus in US study ,"The con-artist’s failure to heed the warnings about coronavirus and act quickly has set a train into a domino effect that now imperils large swathes of the US. I’m sure Trump is working for Russia, he’s compromised just like the rest of the Republican GOP, there’re all TRAITORS! "
3,Will Texas Lead The American Resurgence From Coronavirus Lockdown? ,"Numbers show damage of #coronavirus shutdown, but SC could bounce back in 2020, economists say "
4,"Just saw Pearl Jam is trending. Glad it’s not for coronavirus. So, here’s a picture of me wearing my “Alive” T-shirt somewhere around 1992. I mean, it’s a class picture, but I’m pretty easy to spot. ",DHEC increases Thursday coronavirus deaths by 29 after cross analysis 
5,This is AWESOME. Military planes salute workers on front lines of coronavirus pandemic wi... https://youtu.be/UO31ms_LVh8 via @YouTube,"SC public health officials have confirmed 29 previously unrecorded #coronavirus deaths, bringing the state's total to 232 "
6,#remdesivir is the drug Trump needs to stockpile like he did with hydrochloraquin. Wonder why he’s not cheerleading this one like he did the other? #remdesevir #coronavirus #COVID19,Coronavirus could lead to DOUBLE normal malaria deaths in Africa https://mol.im/a/8270813 via @MailOnline
7,I am sure glad someone said it. Democrats gave us antifa. Kind of like China gave us the coronavirus. We have been given an abundance of gifts that we want to return except they keep getting regifted.,Policed from above: #SouthCarolina beach town uses drone to enforce social distancing for #coronavirus 
8,"Stay safe S.C.! We are peaking with coronavirus now too. Wear masks, wash hands and carry hand sanitizer!","After this corona virus, I’m taking my baby to Texas with us. He’s fully potty trained now anyways "
9,Forever and always farm laborers are my heroes...Coronavirus US: Every Worker at One Farm Has Covid on Harvest Eve - Bloomberg https://www.bloomberg.com/news/articles/2020-05-29/every-single-worker-has-covid-at-one-u-s-farm-on-eve-of-harvest,LIVES LOST: It’s been two months since the first U.S. coronavirus death. Here’s a look at some of the lives lost 
10,"Bill De Blasio Fine With George Floyd Protests Even As Businesses, Other Gatherings Must Adhere To Coronavirus Rules Or Face Fines ",I just checked the coronavirus data at my late mom's former nursing home. Tragic numbers. Nearly a quarter of the residents there currently have coronavirus as do 14 staff members. Prayers for everyone at my mom's former facility. 
11,The story at the top of every American’s mind right now of course is the coronavirus. ,"More than 1,000 NYPD officers are infected with coronavirus "
12,"Non-poc not advocating for our neighbors is like not wearing a mask just because you don’t have Coronavirus. You may not, but there are people around you who need your help in advocating for their wellbeing. Check your privilege.",Japanese island hit by second wave of coronavirus after lockdown ends https://mol.im/a/8270245 via @MailOnline
