,Positive,Negative
0,390,292
1,Technology Will Not Save Us #coronavirus #dataprivacy,Clorox always had “kills coronavirus “ on their labels. It’s mostly referring to the other forms of coronavirus. Not COVID-19
2,Elon Musk slams coronavirus shelter-in-place orders as 'fascist' ,Understanding the Economic Shock of Coronavirus 
3,"Coinbase bucks the coronavirus trend with a hiring spree, spotlighting interest in stablecoins and lending - The Block Crypto - https://stablecoinbuzz.com/coinbase-bucks-the-coronavirus-trend-with-a-hiring-spree-spotlighting-interest-in-stablecoins-and-lending-the-block-crypto/ - Stablecoin Buzz #stablecoin #stablecoins $usdt $dai",Pope Francis calls for end to 'pandemic of poverty' after coronavirus 
4,Organizer of North Carolina group protesting quarantine rules sidelined with coronavirus https://nypost.com/2020/04/28/leader-of-north-carolina-anti-lockdown-protest-gets-covid-19/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost,"Coronavirus outbreak: Ontario reports 292 new COVID-19 cases, 32 new deaths | FULL #COVID19 #DORSCON"
5,Dr. Anthony Fauci says Gilead’s remdesivir will set a new ‘standard of care’ for coronavirus treatment @berkeleyjr,"Read more... & More about Twitter, Conspiracy Theories, Misinformation, 5g, and Coronavirus #techtrends #techno https://bit.ly/2VPC8SF"
6,"“Holy God. We’re about to lose everything.” Airbnb hosts built mini-empires. Now coronavirus lockdowns have customers cancelling, and mortgages are due. https://www.wsj.com/articles/a-bargain-with-the-devilbill-comes-due-for-overextended-airbnb-hosts-11588083336 via @WSJ","China's Health Commission says #Coronavirus death toll hits 213, total confirmed cases at 9,692"
7,Coronavirus: India's Alpine flag show and other claims checked ,#WuhanCoronavirus #WuhanVirus #Coronavirus #CoronavirusOutbreak #nCoV2020 #nCoV2019 WHO declares international emergency over Wuhan virus
8,Commentary: The US could learn a coronavirus lesson or two from China https://cna.asia/3bTPW5q,"Singapore, Malaysia clamp down on online falsehoods about coronavirus "
9,Coronavirus: Japan's low testing rate raises questions ,"Italian authorities examined samples taken from a Chinese woman ill with a fever, as well as her travelling companion, and both were negative for coronavirus. "
10,#EU sees new #Brexit talks 'at an impasse' #coronavirus #EconomicTsunami,WHO declares the coronavirus a “global public health” emergency as U.S. confirms it’s first person-to-person spread. ⁦@airhen⁩ reports.
