,Positive,Negative
0,24,26
1,Planning unique events during the coronavirus pandemic ,"PODCAST: He washed his hands, kept his distance, and got coronavirus. @paulheinert, a 37-year-old Sioux Falls father of two toddlers describes the painful experience and anxiety that still lingers. link &gt;&gt; https://kwsn.com/podcasts/sports-talk-with-kwsn/5093/paul-heinert-sanford-on-going-through-coronavirus-in-sioux-falls/#"
2,Employee calls #SouthDakota Dept of Health hotline for help as co-workers test positive. Operator advises: wash your hands and wear a mask. Offers no investigation or follow up. https://www.dakotanewsnow.com/content/news/South-Dakota-employee-pandemic-concerns-addressed-differently-by-location-570024061.html #coronavirus #COVID19,Weird seeing a coronavirus ad in the midst of all this chaos.
3,"Its all starting to make sense. Mail-in votes, Coronavirus, lock downs, compliance tests, Biden/China link, prompted/planned/coordinated/executed riots. Communism is only a vote away. Are you ready? ",Not even coronavirus can kill the pedal pubs downtown. Such raw power they possess!
4,I guess the coronavirus disappeared!,"3M Ramos up production, in hiring mode in response to global #COVID19 outbreak. "
5,The total number of confirmed Coronavirus 4800 cases Sudan country has reached over as of 28 May 2020 th. This dashboard created by @MAlkamel3 #COVID19_Sudan Source data :Daily report FMOH Mobile Version: https://arcg.is/11Lq1m Desktop Version: https://arcg.is/04Xmur,"We've got a video, infographic and expert advice for travelers worried about the 2019 Novel Coronavirus, via @sanfordhealthhttps://news.sanfordhealth.org/news/coronavirus/#.XijUU9XKca0.twitter …"
6,The total number of confirmed Coronavirus 4800 cases Sudan country has reached over as of 27 May 2020 th. This dashboard created by @MAlkamel3 #COVID19_Sudan Source data :Daily report FMOH Mobile Version: https://arcg.is/11Lq1m Desktop Version: https://arcg.is/04Xmur,The coronavirus is a corporate ploy by Budweiser to cause corona beer sales to tank and then release to cure under the name budidote.
7,"28-29 May The Federal Ministry of Health announces 279 new confirmed cases of corona-virus in Sudan , and 457 recovery cases total cases recovered 1272 , total cases 4800. ","I think the last time I was sick was '15. Call it a man cold if you'd like, but I'm pretty sure I'm dying of the Corona virus"
8,"My point was in the last line. The extremely tiny size of the coronavirus particle, and the ability of fabric to keep it out.","New images of the novel coronavirus were released Friday from the National Institute of Allergy and Infectious Diseases’ Rocky Mountain Laboratories in Hamilton, Mont. https://rapidcityjournal.com/news/national/montana-lab-releases-new-images-of-coronavirus/article_ea24ad9d-d6d5-541f-8a87-d53ab9a6630c.html?utm_medium=social&utm_source=twitter_RCJournal …"
9,Trump says Coronavirus outbreak will ‘have a very good ending for us’ PULL YOUR HEAD OUT OF YOUR LOOSE ASS. RAND PAUL DID U EVER MAKE IT OUT OF KINDERGARTEN?,So 2022 after the coronavirus devastation
10,"I've heard that the coronavirus is better with lime.

Can anyone confirm?",RT @Basil13thegreat: 2 confirmed cases of COVID - 19 present as Gullian Barre` syndrome in Khartoum state.. The recent one is in Ibrahim Ma…
11,More and more US citizens are being diagnosed with the active Coronavirus. Cases have now been found in New Jersey. #mcom119socialhttps://twitter.com/wallerABC7/status/1225783391985061888 …,Symptoms: Select all ✅
12,1st American Dies of Coronavirus http://a.msn.com/01/en-us/BBZMCZK?ocid=st2 …,"RT @AFPphoto: #Coronavirus #COVID19 #China #Beijing
Fresh virus cluster in China raises fears for pandemic control.
📸 GregBaker #AFP https:…"
13,This is not related to the Coronavirus. It is an old internet video,"RT @francediplo_EN: #COVID19 
Travel restrictions to France from European countries will be lifted from 15 June, except:
By ✈️from 🇪🇸: rest…"
14,Corona Virus Cure? Do You Want the Red Pill or the Blue Pill? https://www.coronanaturals.com/uncategorized/corona-virus-cure-do-you-want-the-red-pill-or-the-blue-pill/ …,"Coronavirus: Response to outbreak compromised by protective equipment shortages, WHO says #Coronavirus https://twitter.com/i/events/1219057585707315201 …"
15,How might the coronavirus impact economic activity in the U.S. and around the globe? Ameriprise Global Market Strategist Anthony Saglimbene weighs in. https://www.ameripriseadvisors.com//thietje.a.hunt/insights/markets-hit-the-pause-button/?CID=gs_feb20_MODcoronavirus …,"Im done shaking hands with people, not because I'm afraid of coronavirus, I'm afraid they don't have toilet paper!"
16,"This is how the # of confirmed coronavirus cases across different provinces in China, except Hubei.  The trajectories are similar. And there seem to be two clusters.  http://www.bcloud.org/e/ pic.twitter.com/hjhiyylv6S",When we are done with this coronavirus shit we need to have a real conversation about what the hell goes on south of the Mason-Dixon line https://twitter.com/GovMikeHuckabee/status/1241004717855080448 …
17,RT @andrewtavani: #Covid19 survivor who spent 62 days in the hospital and at one point looked certain to die gets his hospital bill: $1.1 m…,
18,"RT @WHO: These are 5⃣ things to know about #COVID19 transmission ⬇️

https://t.co/JAM1Syx12o",
19,"RT @Atayeshe: My message during today’s @WHO press briefing on #COVID19: sexual &amp; reproductive health services are not just nice to have, t…",
20,BMA demands answers over missing BAME pages of Covid-19 report https://t.co/7KNpU8levA #covid #COVID19,
21,"For #COVID19 case updates over the weekend, visit our data dashboard at https://t.co/2w4YjrA8QT. https://t.co/ON3nMPuvRB",
22,Coronavirus lockdown extended on French teams at UAE Tour http://dlvr.it/RR6svZ pic.twitter.com/1lypT3daZy,
23,Media reporting of coronavirus is proof that clicks are of primary concern. Truth is maybe in 3rd place. Maybe.,
24,Mid-Westerners when they hear that there are cases of Coronavirus in Omaha NE https://twitter.com/Mufaa6/status/1234905221035253760 …,
25,Coronavirus is fake. Show me someone who has died,
26,"THREAD on #COVIDー19 and jails+prison in SD. 

The DOC and Gov. Noem say they have no plans to do special early releases to help prevent coronavirus. I’ve already received emails+calls from ppl with loves ones in prison. Will write about that next week. 

1/x https://twitter.com/RCJournal/status/1241330988548009984 …",
27,This coronavirus quarantine feels an awful lot like calving season,
28,"With the coronavirus causing many K12 schools going to an online format, it doesn’t need to be a contest to see who can assign the most homework. More is not always better. #dsu360 #tlap",
