,Positive,Negative
0,235,37
1,"Data on Gilead drug raises hopes in pandemic fight, Fauci calls it 'highly significant' https://bit.ly/3f5okMA #usa #coronavirus #covid19","#Trump, challenged by a reporter over his claim #coronavirus deaths will fall to zero, responds 'well, they eventually will'. Of course they will tend in that direction when all the vulnerable are dead."
2,"Coronavirus Lingered in the Stool Samples of COVID-19 Patients for 22 Days, Study Shows ","U.S. coronavirus outbreak soon to be deadlier than any flu since 1967 as deaths top 60,000 https://bit.ly/3bL2H26 #usa #coronavirus #covid19"
3,Coronavirus: Belgian Prince Joachim tests positive after lockdown party ,Test for Coronavirus lol
4,Hearst Union Election Will Take Place in July - https://internetinfomedia.co.network/hearst-union-election-will-take-place-in-july/ #Coronavirus #DigitalMedia #Media #PrintMedia #Fashionable,The race for coronavirus vaccines: a graphical guide https://www.nature.com/articles/d41586-020-01221-y
5,Hearst Union Election Will Take Place in July - This comes after Hearst gave the green light to staffers to vote from home during the pandemic. … - https://bit.ly/3dgZFU0 #Coronavirus #DigitalMedia #Media #PrintMedia #Fashionable,"UK to test 100,000 people for COVID-19 to check spread https://bit.ly/3f24ORa #uk #coronavirus #covid19"
6,Hearst Union Election Will Take Place in July - This comes after Hearst gave the green light to staffers to vote from home during the pandemic. … - https://bit.ly/3dgZFU0 $#Coronavirus #DigitalMedia #Media #PrintMedia #Fashionable,"After aggressive mass testing, Vietnam says it contains coronavirus outbreak "
7,Be safe everyone #coronavirus,Coronavirus death toll surpasses U.S. casualties from Vietnam War 
8,"Me: As a Chinese, as a person who lives in Hubei and works in Wuhan, I feel much pain to see news about outbreak of new corona virus. But I believe we can overcome this disaster together finally. Thank you for your sincere blessings and take care of yourself, too. ","Australia and New Zealand Banking Group Ltd deferred a decision on its interim dividend and posted a 60% fall in first-half cash profit on Thursday, as bad loan charges rose due to economic challenges triggered by the coronavirus pandemic. "
9,"If still have to come to work ..... the only thing that can be done is ..... Must take care of yourself as best #Covid19 #武漢冠狀病毒 @Bangkok Metropolis, Thailand https://www.instagram.com/p/B9H3h80HQ67ULqVSBwGdw-rzbtr11ySRt-mlvU0/?igshid=1v1a4rjlfenst",Vermont records zero new coronavirus cases for first time in nearly 7 weeks 
10,"Congratulations oppa! I'm so happy to see u back again!!! However, bcz of COVID19 I want u to be more careful &amp; take care! Hope this crisis will be better soon so that we can meet. I'm still wait for yr concert in Thailand #2PM #WOOYOUNG #우영 #장우영 #얘들아_장우영_돌아왔다","Pakistan begins colossal tree planting campaign - a staggering 10 billion trees will be planted starting now in order to combat climate change using 60,000 workers who have lost their jobs because of the coronavirus - "
11,Congratulations! You did a great job. I really excited & happy to see you again. Thanks for came back safely and healthy. Hope COVID19 will be better soon so that we can meet. Still wait for yr concert in Thailand. 넘 보고싶다 오빠 #WOOYOUNG #우영 #장우영 #얘들아_장우영_돌아왔다,Fuel consumption in 2020 tanks under Covid-19 impact - https://bit.ly/2XgIH2q #thailand #coronavirus #covid19
12,Wondering how effective are thermal scanners in detecting people infected with #COVID19 ? Check the answer below. Learn to protect yourself from COVID-19 at http://bit.ly/2T2AWd9 #WHOThailand #KnowTheFacts,Private quarantine facilities at own cost offered to returning foreigners - https://bit.ly/2yND0Ql #thailand #coronavirus #covid19
13,Three more Covid19 Coronavirus patients have fully recovered in Thailand and will go home soon. ,"Precaution the key as fighting Covid-19 a marathon battle, says medic - https://bit.ly/3ewdsGD #thailand #coronavirus #covid19"
14,First Coronavirus 2019 patient found in Thailand http://tinyurl.com/uad8x89 ,"Er, so you're determining the context of the woman's tweet for her.. Ok . Seems to me you want to push the agenda that coronavirus is nothing to worry about. Sounds pretty Tory to me mate."
15,"The Thai Public Health Ministry reports the first case of Wuhan Coronavirus outside of China and first one in Thailand. The patient arrived from Wuhan in BKK last week, was put under quarantine, but has already recovered and ""ready to go home"". pic.twitter.com/t986DEZVke",Chinese COVID-19 Vaccine Expected to Begin Mass Output This Year https://wp.me/p1onxg-h3N #China #Coronavirus #Vaccine
16,First Coronavirus 2019 patient found in Thailand https://bit.ly/2tYl6Y7  #ThailandNewspic.twitter.com/4YiDXaE6Pi,BBC News - Coronavirus declared global health emergency by WHO .He also said that there is no reason to limit international trade or travel to China. #CORONAVIRUS #ไวรัสโคโรน่าสายพันธุ์ใหม่
17,"First Coronavirus 2019 patient found in Thailand. Travellers from Wuhan, China, to seek medical attention if experience cough or fever. (Cr. @nationnews)https://twitter.com/nationnews/status/1216613017523146754 …","WUHAN CORONAVIRUS (2019-NCOV) — WHAT THE MSM IS FAILING TO REPORT, AND HOW THE OFFICIAL NUMBERS SIMPLY DON’T ADD-UP "
18,First Coronavirus 2019 patient found in Thailand #ศาสตร์เกษตรดินปุ๋ย https://sootinclaimon.wordpress.com/2020/01/14/first-coronavirus-2019-patient-found-in-thailand-%e0%b8%a8%e0%b8%b2%e0%b8%aa%e0%b8%95%e0%b8%a3%e0%b9%8c%e0%b9%80%e0%b8%81%e0%b8%a9%e0%b8%95%e0%b8%a3%e0%b8%94%e0%b8%b4%e0%b8%99%e0%b8%9b%e0%b8%b8/ …pic.twitter.com/atJLlmiQK7,Thousands of doctors and nurses are saying goodbye to their families as they're deployed to Wuhan to fight the #coronavirus outbreak. It has been described as a “coronavirus suicide mission”. #ServiceForHumanity #China
19,First Coronavirus 2019 patient found in Thailand #ศาสตร์เกษตรดินปุ๋ย https://sootinclaimon.wordpress.com/2020/01/14/first-coronavirus-2019-patient-found-in-thailand-%e0%b8%a8%e0%b8%b2%e0%b8%aa%e0%b8%95%e0%b8%a3%e0%b9%8c%e0%b9%80%e0%b8%81%e0%b8%a9%e0%b8%95%e0%b8%a3%e0%b8%94%e0%b8%b4%e0%b8%99%e0%b8%9b%e0%b8%b8/ …pic.twitter.com/huzL13eagw,The new coronavirus has been declared a global emergency by the World Health Organization
20,And if you're lucky the new coronavirus,Not for me thanks! #coronavirus 
21,The Tourism Authority of Thailand (TAT) has expressed confidence that the number of Chinese tourists visiting the Kingdom during Chinese New Year will not be affected by the recent coronavirus infections. #Thailandnews #TheNationThailandhttps://www.nationthailand.com/news/30380639 ,"Is coronavirus worse than SARS in China? Our data analysis, updated https://news.cgtn.com/news/2020-01-30/Is-coronavirus-worse-than-SARS-in-China-Our-data-analysis-updated-NFsuzoahH2/index.html via @cgtnofficial"
22,That adds absolutely no new information to the discussion. None. Novel coronavirus?  Is #Sars novel also? Still no Sars #vaccine or cure. Pretty “novel” #Failhttps://twitter.com/WHO/status/1219029418800226304 …,@WHO declares #2019nCoV #coronavirus a public health emergency of international concern. 
23,Another Chinese patient with new coronavirus quarantined #ศาสตร์เกษตรดินปุ๋ย https://sootinclaimon.wordpress.com/2020/01/18/another-chinese-patient-with-new-coronavirus-quarantined-%e0%b8%a8%e0%b8%b2%e0%b8%aa%e0%b8%95%e0%b8%a3%e0%b9%8c%e0%b9%80%e0%b8%81%e0%b8%a9%e0%b8%95%e0%b8%a3%e0%b8%94%e0%b8%b4%e0%b8%99%e0%b8%9b/ …pic.twitter.com/T4GveQCpNq,"Honestly, if I read on the news that Trump was taking action over Mexico creating the 'Corona' virus I would not bat an eyelid lol"
24,Another Chinese patient with new coronavirus quarantined #ศาสตร์เกษตรดินปุ๋ย https://sootinclaimon.wordpress.com/2020/01/18/another-chinese-patient-with-new-coronavirus-quarantined-%e0%b8%a8%e0%b8%b2%e0%b8%aa%e0%b8%95%e0%b8%a3%e0%b9%8c%e0%b9%80%e0%b8%81%e0%b8%a9%e0%b8%95%e0%b8%a3%e0%b8%94%e0%b8%b4%e0%b8%99%e0%b8%9b/ …pic.twitter.com/WvZ4NjZc1U,Watch live: NZ's response on coronavirus outbreak 
25,Another Chinese patient with new coronavirus quarantined https://bit.ly/35XM27L  #ThailandNewspic.twitter.com/NlyCk7nKeZ,Global Emergency! #CoronaVirus #WuhanVirus https://www.facebook.com/93889432933/posts/10157079611602934/?d=n
26,"Thailand’s second case of Coronavirus pneumonia has been diagnosed and the patient, a 74-year old Chinese tourist, is being treated at the state-run Bamrasnaradura Hospital in Nonthaburi province.

https://www.thaipbsworld.com/elderly-chinese-tourist-is-thailands-second-coronavirus-pneumonia-case/ …pic.twitter.com/TUnYeCtURK",I have flight with airasia to south korea and proceed to ask credit account due to covid19 situation. Can you check status update of my booking?
27,"Thailand has confirmed the second case of new coronavirus from China's Wuhan. The patient is the Chinese tourist, having arrived at Suvarnabhumi Airport on Jan 13. @TNAMCOTpic.twitter.com/US9C5PQddN","$40 WTI ~ $45 Brent =US drilling activity will materially adjust ,so bulk of the selling should be behind us unless worst case #covid19 ( super spreader )after we get the weekend China PMI out of the way cover shorts and buy reverse long ? #opec bounce #oott . #oilprices"
28,Wuhan hospital for coronavirus patients to be built in 6 days https://news.cgtn.com/news/2020-01-25/Dedicated-hospital-to-treat-Wuhan-s-patients-to-be-built-in-6-days-Ny1wHeJgOc/index.html … via @cgtnofficial,Looking forward to the Monday open. Might give my chart range a run for its money! #forex #StockMarket #COVID19 
29,Anutin calls meeting of three ministries to work out measures on tackling coronavirus - https://bit.ly/2tHqdwp pic.twitter.com/sFpwJ27e99,"Interesting points on mask culture and how this interplays with health, fear, and safety in the time of #COVID19. "
30,"#Thailand said all arriving Chinese tourists must provide medical certificates stating they are healthy and free of infection from the novel coronavirus.
This https://bangkokjack.com/2020/02/04/tourists-medical-certificates/ …pic.twitter.com/ZsPlR0kbbt",South Korea launches 'drive-thru' COVID-19 testing facilities as demand soars #coronavirus #COVID19 
31,WHO offers basic protective measures against novel coronavirus https://news.cgtn.com/news/2020-02-11/WHO-offers-basic-protective-measures-against-novel-coronavirus-O079GSM6s0/index.html … via @cgtnofficial,Scary thought... coronavirus could actually rush the victory of virtuality over reality.. Humans would just stop any contact and would live through screens in their little bubbles...end of humanity as we know it... noooo ! #COVID19 #coronavirus #VirtualReality
32,Thailand’s hospitals well equipped to handle Coronavirus patients https://thethaiger.com/medical/thailands-hospitals-well-equipped-to-handle-coronavirus-patients …,#IRAN #Coronavirus Infected : 388 Deaths: 34 Official report. #coronavirus #China #Italy #covid19 #Wuhanoutbreak #chinanews #virus #Corona #news #japan #chinavorona #korea #Iran #News #Irancorona #koreacorona #Koreavirus
33,A Chinese biotech partners with GSK to boost its coronavirus vaccine development https://www.statnews.com/2020/02/24/a-chinese-biotech-partners-with-gsk-to-boost-its-coronavirus-vaccine-development/ … via @statnews,Day 5 of #COVID19 quarantine for my 3 teens and the pressure is starting to get to us - do it for me on Monday #Boro
34,"Americans prefer to talk about the coronavirus pandemic and Trump's favorite subject, the booming stock market or the lack thereof, TUNA Charlie. pic.twitter.com/mZuY2HqFp2","#Thailand is looking to tourists from #India to keep the #tourism sector alive, now the #coronavirus #Covid19 is keeping the visitors from #China at home. #BangkokPost"
35,"Can we talk about the coronavirus pandemic and Trump's favorite subject, the booming stock market, TUNA Charlie? pic.twitter.com/y2O59kk7zf","Legend Siam, which is a major tourist attraction in Pattaya, will be closing down due to dwindling visitors caused by the #COVID19 outbreak #Thailand"
36,Reality of coronavirus will challenge Trump's habit of making things up https://www.msnbc.com/11th-hour/watch/reality-of-coronavirus-will-challenge-trump-s-habit-of-making-things-up-79511621586 … via @msnbc,Thailand’s Ministry of Public Health announced today that several #Thailand health organizations have signed a memorandum of understanding on the development of a vaccine for the coronavirus (#COVID19). https://www.who.int/docs/default-source/searo/thailand/20200228-tha-sitrep-10-covid-19-final.pdf?sfvrsn=553c5e34_0
37,"So, there is nothing to know for the millions of foreign passengers passing through your airports? Or is it top secret and you only want to help your Thai passengers?

 https://www.facebook.com/166521497051/posts/10158277054267052 … #ไวรัสโคโรน่า #coronavirus #COVID19 #Thailandpic.twitter.com/80DActdPuy","Thailand’s MoPH recommends that persons returning to Thailand from #COVID19 affected countries, and who do not have fever and symptoms, to place themselves in self-observation, at home for 14 days, avoiding public areas during this period. https://www.who.int/docs/default-source/searo/thailand/20200228-tha-sitrep-10-covid-19-final.pdf?sfvrsn=553c5e34_0"
38,"RT @dawn_com: Shahid Afridi tests positive for coronavirus

Follow our updates on #coronavirus here: https://t.co/vY4fVgAjuk","Today Thailand's Ministry of Public Health announced one new case of #COVID19 , bringing the total number of cases in #Thailand Thailand to 41. See here: //www.who.int/docs/default-source/searo/thailand/20200228-tha-sitrep-10-covid-19-final.pdf?sfvrsn=553c5e34_0"
39,"Wrath on Soi 6 in Pattaya. We Love #Thailand 
and #pattaya See you soon everyone and be safe with #coronavirus… https://t.co/eCfFRHPXfD",#COVID19 #Singapore #Thailand Ministers will take one month pay cut to help medical personnel in the front line
40,"RT @Rajprasong_News: #Thailand Context: Early curfew opening was meant to get the economy moving, talk of 20 billion baht to stimulate tour…","Here Are The 425 Billion Reasons Why WHO Refuses To Call The Covid-19 Outbreak A ""#Pandemic"" | Zero Hedge #Cahoots #coronavirus #COVID19 "
41,"RT @IntachR: The Center for #COVID19 Situation Administration has approved the fourth phase of relaxed measures, begin on 15 June 2020. 

T…","COVID-19 Situation in Thailand as of today (28 Feb 2020, 11.00 Hrs.) https://www.tatnews.org/2020/02/coronavirus-disease-2019-covid-19-situation-in-thailand-as-of-28-february-2020-11-00-hrs/ #Coronavirus #COVID19 "
42,"RT @nokidhungry: Our fundraising events rely on culinary professionals donating their time, passion and heart to our work. But the #COVID19…","BREAKING NEWS! China Issues Statement That New Strain Of Coronavirus Is Behind Mysterious Viral Pneumonia Outbreaks...more..https://lnkd.in/fRVNCBu 
#China #Pneumonia #Coronavirus #NewStrain #ViralPneumonia #SARS #epidemic #health #breakingnews #news #chinesenewyearpic.twitter.com/VYL9mO3cZ2"
43,"RT @picardonhealth: Canadian expert says he is confident #COVID19 vaccine is months, not years away via @globeandmail #vaccination  https:/…","Thailand’s first case of New Coronavirus Pneumonia detected in Chinese tourist https://www.thaipbsworld.com/thailands-first-case-of-new-coronavirus-pneumonia-detected-in-chinese-tourist/ …
#ThaiPBSWorld"
44,RT @alekschwiesow: Perfect shot ❤️#foryoupage #COVID19 #SaturdayThoughts #RIPRodneyLevi #shahidafridi #Parklands #SUGA #gamedev #365daysnet…,Coronavirus-infected Chinese tourist being treated in Thailand https://wp.me/p1onxg-gMy  #Chinese #CoronaVirus #Tourism
45,RT @HotMenFantasy: RT if you want MORE HOT VIDEOS of #STR8 #SEXY #MEN🔥🍆✊🏼💦#alterpinoy #alterph #altermnl #alterworld #alterphilippines #bar…,"A Chinese tourist has been quarantined in #Thailand with a mystery strain of coronavirus, the first time it has been detected outside China, the Thai Health Ministry have confirmed.
A https://bangkokjack.com/2020/01/13/chinese-woman-mystery-virus/ …pic.twitter.com/Hb3J6jhdQC"
46,"RT @AusAmbBKK: 🇦🇺🏆🇹🇭 Australia and Thailand have been ranked first and second best countries in recovering from #COVID19, according to Glob…",The Min of Health will enforce strict health checks (of incoming tourists) during this Chinese New Year holiday period after reporting the first confirmed case of a new stain of the corona virus https://twitter.com/PPTVHD36/status/1216681723523551232 …
47,"Face Masks DO NOT prevent viral infections

Since the outbreak of the novel #coronavirus, that began in China and is now spreading around the world, you may be wondering: Should I wear a #facemask, and do they really work?

Well, it doesn't look like  https://bangkokjack.com/2020/03/05/face-masks-prevent-viral-infections/ …pic.twitter.com/vG5KXPmSLc","Thailand detects first Corona virus infected patient 
https://en.vietnamplus.vn/thailand-detects-first-corona-virus-infected-patient/167251.vnp …"
48,Recommendation to prevent the Novel Coronavirus 2019 or COVID-19 https://bangkokdestination.com/recommendation-to-prevent-the-novel-coronavirus-2019-or-covid-19/ …pic.twitter.com/6rYc7dOSiy,"Thailand responding to the novel coronavirus
http://who.int/thailand/news/detail/13-01-2020-thailand-responding-to-the-novel-coronavirus …"
49,Trump contradicts health experts and officials on coronavirus https://www.msnbc.com/deadline-white-house/watch/trump-contradicts-health-experts-and-officials-on-coronavirus-80093253702 … via @msnbc,"Thailand confirms a Chinese tourist, having infected with the new coronavirus from China’s Wuhan. Her illness was detected at Suvarnabhumi Airport on Jan 8 and she is now receiving treatment at Bamrasnaradura Infectious Diseases Institute in Nonthaburi. @TNAMCOTpic.twitter.com/V4zeAkfuFo"
50,Chulalongkorn University has joined forces with Advanced Info Service (AIS) to develop smart robots with 5G tech to monitor and take care of coronavirus patients and those under monitoring for the first time in Thailand. #BangkokPost #Businesshttps://www.bangkokpost.com/business/1874534/5g-smart-robots-take-care-of-coronavirus-patients …,"The Public Health Ministry has found the first patient infected with the new Coronavirus 2019 in Thailand – a 61-year-old Chinese woman from Wuhan city. 
#Coronavirus2019 #Wuhan #TheNationThailand #ThailandNewshttps://www.nationthailand.com/news/30380478 "
51,#STFUDonny Biden says Trump should 'just be quiet' about coronavirus https://www.nbcnews.com/politics/2020-election/biden-says-trump-should-just-be-quiet-about-coronavirus-n1153351 … via @nbcnews,New post (Confirmed: China Visitor to Thailand Infected with New Coronavirus Strain) has been published on Phuket Travel Tips And Advise - https://www.hoteldealsphuket.com/phukettraveltips/confirmed-china-visitor-to-thailand-infected-with-new-coronavirus-strain/ …
52,"Thailand's leading tech pioneers and research institutes are seeking ways to prevent the spread of the coronavirus through the use of a mobile app, high-performance computing, machine learning and material science. #BangkokPost #Businesshttps://www.bangkokpost.com/business/1875999/agencies-develop-apps-to-halt-virus …","China Issues Statement Indicating That the New Virus Causing Pneumonia Could Spread Between Humans...more...https://www.thailandmedical.news/news/china-issues-statement-indicating-that-the-new-virus-causing-pneumonia-could-spread-between-humans …
#China #Pneumonia #coronavirus #SARS #virus #health #respiratory #epidemic #news #transmissionspic.twitter.com/LwQLcMOStE"
53,"Thailand's fruit shipments are expected to stay intact this year in terms of export value, as international demand for Thai fruit, including from China, remains strong despite the coronavirus contagion. #BangkokPost #Businesshttps://www.bangkokpost.com/business/1875979/fruit-exports-have-sure-footing-as-demand-persists …","If anyone close to you has just returned from #China, #Wuhan city in particular, and begins to show symptoms of a fever, cough, sore throat, shortness of breath, difficulty breathing, they should see a doctor as early as possible to receive proper treatment. #coronavirus https://twitter.com/WHO/status/1217151178884222976 …"
54,"Letter of loan guarantee helps keep SMEs afloat amid Covid-19 situation. - https://bit.ly/3dkZk2Y 
#thailand #coronavirus #covid19pic.twitter.com/fdeIlc7xNG",Officials Confirm 1st Case of Coronavirus From China’s Wuhan http://www.khaosodenglish.com/news/crimecourtscalamity/2020/01/14/officials-confirm-1st-case-of-coronavirus-from-chinas-wuhan/ …
55,"— Good Morning Thailand—

เราจะผ่านไวรัสโคโรน่าไปด้วยกัน นะคะ
We will get through this coronavirus pandemic together
#ไม่ว่าอายุเท่าไหร่ใจฉันจะเป็นวัยรุ่นไปจนตายpic.twitter.com/Jf7Zaz6zHC",Thailand’s first case of New Coronavirus Pneumonia detected in Chinese tourist http://dlvr.it/RN1zGD 
56,,Coronavirus-infected Chinese tourist being treated in Thailand https://www.bangkokpost.com/thailand/general/1834789/coronavirus-infected-chinese-tourist-being-treated-in-thailand …
57,,"61 year old Chinese tourist being treated for new coronavirus in Thailand - more at https://thethaiger.com/news/national/61-year-old-chinese-tourist-being-treated-for-new-coronavirus-in-thailand … #Thailand
A 61 year old Chinese tourist, found to be infected with the new strain of coronavirus dubbed ""Wuhan or Chinese pneumonia"" when she arrived in Thailand last w... pic.twitter.com/7scnqyxaYV"
58,,Chinese visitor to Thailand has new Coronavirus strain https://www.tvnz.co.nz/one-news/world/chinese-visitor-thailand-has-new-coronavirus-strain … via @1NewsNZ
59,,RT @KhaosodEnglish: Officials Confirm 1st Case of Coronavirus From China’s Wuhan #Thailand #KEhttps://buff.ly/2RhgjsL 
60,,"61yo Chinese woman who arrived at January 8, the first person in Thailand with a confirmed case of ‘New Coronavirus Pneumonia’ aka “mystery Wuhan pneumonia.” The mystery virus was identified by Chinese scientists,"
61,,"First case of New Coronavirus Pneumonia detected arriving in Bangkok - more at https://thethaiger.com/news/national/first-case-of-new-coronavirus-pneumonia-detected-arriving-in-bangkok … #Thailand #Virus #Wuhan #Patient #Bangkok #HealthMinister
A first case of 'New Coronavirus Pneumonia' has been identified in Thailand, but the Public Health Ministry is assu... pic.twitter.com/XaYpz61sRF"
62,,Officials Confirm 1st Case of Coronavirus From China’s Wuhan #Thailand #KEhttp://www.khaosodenglish.com/news/crimecourtscalamity/2020/01/14/officials-confirm-1st-case-of-coronavirus-from-chinas-wuhan …
63,,Thailand is the 1st country outside China to report novel coronavirus http://outbreaknewstoday.com/thailand-is-the-1st-country-outside-china-to-report-novel-coronavirus-60384/ …
64,,"Bangkok Post headlines on Tuesday: 
PM says rallies 'waste of time' https://www.bangkokpost.com/thailand/politics/1834939/pm-says-rallies-waste-of-time …
Tourist hit by coronavirus https://www.bangkokpost.com/thailand/general/1834934/tourist-hit-by-coronavirus …
Speed limit hike 'to cut crashes' https://www.bangkokpost.com/thailand/general/1835089/speed-limit-hike-to-cut-crashes … #Thailandpic.twitter.com/Pgq2yLTU44"
65,,"BREAKING NEWS!

China Health Authorities Report First Death From Mysterious Viral Pneumonia Outbreak...more..https://www.thailandmedical.news/news/china-health-authorities-report-first-death-from-mysterious-viral-pneumonia-outbreak …
#China #pneumonia #breakingnews #death #epidemic #health #Warning #viral #SARS #Coronavirus pic.twitter.com/sRJIWsQ8l3"
66,,Japan confirms first case of infection with new China coronavirus | Article [AMP] | Reuters https://uk.reuters.com/article/us-china-health-pneumonia-japan-idUKKBN1ZF02Z …
67,,"New Pneumonia Virus From China Spreads To Japan...more..https://www.thailandmedical.news/news/new-pneumonia-virus-from-china-spreads-to-japan …
#China #Japan #virus #pneumonia #coronavirus #health #news #BreakingNews #SARS #warning #epidemicpic.twitter.com/KwrfuDOnSI"
68,,RT @KhaosodEnglish: Japan Confirms 1st Case of Coronavirus Infection From China (Kyodo) https://buff.ly/2Tr82Fp 
69,,"A Japanese man who visited China recently has been confirmed as the first patient in Japan to be infected with the coronavirus, the country's health ministry said on Thursday (January 16) #Wuhan #coronavirus #TheNationThailandhttps://www.nationthailand.com/news/30380645 "
70,,Japan Confirms 1st Case of Coronavirus Infection From China (Kyodo)  http://www.khaosodenglish.com/news/international/2020/01/16/japan-confirms-1st-case-of-coronavirus-infection-from-china …
71,,TAT sees no impact from coronavirus on Chinese tourists visiting Thailand https://bit.ly/2QXQEGM  #ThailandNewspic.twitter.com/QHjDzlXqKQ
72,,TOKYO: Japan confirmed the first case of infection from the new China coronavirus that has killed one person and prompted a travel alert from the US State Department. #BangkokPost #World https://www.bangkokpost.com/world/1837034/japan-confirms-first-case-of-infection-with-new-china-coronavirus …
73,,"More coronavirus cases detected in China, global alert for Chinese New Year - more at https://thethaiger.com/news/world/more-coronavirus-cases-detected-in-china-global-alert-for-chinese-new-year … #China #Coronavirus #Spread #Screening #US #Thailand
Chinese medical officials have now reported four more cases of the viral pneumonia strain caused by a new coronav...pic.twitter.com/QcqijAuuVQ"
74,,"#Thailand's second case of a Chinese national infected with Novel #Coronavirus 2019 was confirmed on Thursday night while lab results for a Thai suspected of being infected are pending.
China reports 17 new cases of mystery virus. https://www.bangkokpost.com/thailand/general/1839049/china-reports-17-new-cases-of-mystery-virus …"
75,,The Wuhan novel coronavirus no human-to-human transmission narrative is unraveling. Expect to hear a lot more about this virus in the days and weeks ahead. https://twitter.com/Fla_Medic/status/1218751450244964353 …
76,,Coronavirus: what airport measures are in place to detect sick passengers? https://www.theguardian.com/world/2020/jan/18/coronavirus-what-airport-measures-are-in-place-to-detect-for-sick-passengers?CMP=share_btn_tw …
77,,"BREAKING NEWS! Study From London Research Centre Says almost Two Thousand People Infected With Mysterious Virus In China..more..https://www.thailandmedical.news/news/study-from-london-research-centre-says-almost-two-thousand-people-infected-with-mysterious-virus-in-china …
#pandemic #virus #China #pneumonia #coronavirus #deaths #epidemic #health #breakingnews #newspic.twitter.com/7ZTYxNVBop"
78,,Elderly Chinese tourist is Thailand’s second Coronavirus pneumonia case http://dlvr.it/RNHT42 
79,,Elderly Chinese tourist is Thailand’s second Coronavirus pneumonia case http://dlvr.it/RNHNh8 
80,,"#Thailand has found a second case of a new Chinese #coronavirus, authorities said on Friday, as they ramped up checks on Chinese visitors, nearly a million of whom are expected for Lunar New Year holidays next week.
The https://bangkokjack.com/2020/01/18/second-case-chinese-virus/ …pic.twitter.com/RpWUrTAfrV"
81,,"#Coronavirus #Outbreak #Pneumonia 
""We estimate that a total of 1,723 cases of 2019-nCoV in Wuhan City (95% CI: 427 – 4,471) had onset of symptoms by 12th January 2020 (the last reported onset date of any case).""https://twitter.com/MRC_Outbreak/status/1218175738337284096 …"
82,,Coronavirus: more cases and second death reported in China #epidemichttps://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak?CMP=Share_iOSApp_Other …
83,,Public Health Screening to Begin at 3 U.S. Airports for 2019 Novel Coronavirus (“2019-nCoV”) | CDC Online Newsroom | CDC http://www.cdc.gov/media/releases/2020/p0117-coronavirus-screening.html … via @CDCgov
