,Positive,Negative
0,114,528
1,You forgot Ebola and Coronavirus are the same family of disease right? Go and sleep,"At least 13,000 people have died in the Iranian capital #Tehran between February and March, says city council member Mohammad Javad Haghshenas without specifying what proportion of those deaths was due to #coronavirus. #Iran #COVID_19"
2,ABC correspondent Will Reeve has gone viral after appearing in a live segment on Good Morning America without any pants during his video call while #workingfromhome due to the #COVID_19 #coronavirus pandemic. ,US could store 'several hundred million' barrels of oil #coronavirus #COVID19
3,Trump Snubs Handshake to avoid corona virus faux pas | DONALD TRUMP ET... https://youtu.be/FfGH2fA5W6U via @YouTube,Coronavirus: Monkeys given Oxford vaccine did not catch COVID-19 - Business Insider 
4,"But other nations have moved on from coronavirus. Whether we like it or not, we must learn how to live with it.",Facebook weathers first stage of #coronavirus pandemic as usage jumps #COVID19
5,"#Iran's government employees went back to work and President Hassan Rouhani says mosques will resume daily prayers throughout the country, even though some areas are seeing high levels of #coronavirus infections. https://english.alarabiya.net/en/coronavirus/2020/05/30/Coronavirus-Mosques-in-Iran-to-resume-daily-prayers-Rouhani-says-.html",#Coronavirus: Less #AirPollution means thousands fewer die:
6,"Democratics say no one should be congregating in large numbers in public due to coronavirus risks, yet they continue to encourage millions to riot in the streets. That's on top of criticizing Trump supporters for protesting recently over lockdown concerns. Hypocrisy at its finest","Mad woman,you will soon enter market don't worry, please somebody should Corona virus my comment by liking it and I will follow you back sharply "
7,"Join me in helping #CoronaVirus victims with #Ecoin and earn 600 Ecoins ( worth $3 ) free, Ecoin the world's fastest-growing crypto will donate 150 Ecoins when you Sign up. Earn 600 and donate 150 more Ecoins for referring #Donatewithoutspending",Potential coronavirus vaccine being tested in Germany could 'supply millions' by end of year 
8,Coronavirus: Sheikh Mohammed bin Rashid calls for UAE to make 'fastest recovery' from pandemic ,Microsoft reports PC demand during coronavirus and “minimal impact” on latest earnings https://www.theverge.com/2020/4/29/21241681/microsoft-q3-2020-earnings-surface-windows-xbox-revenue-profit via @Verge
9,Combating coronavirus: Free Covid-19 testing to include residents in Abu Dhabi http://dlvr.it/RXgYh8,BBC News - Coronavirus: 98-year-old doctor working through the lockdown 
