,Positive,Negative
0,27,33
1,"@BernieSanders @SenSanders is pro Fidel, pro socialism (a hop, skip, and jump from communism), pro open borders, illegal immigrants (how’s that work with coronavirus), “free” everything (pro taxes), anti capitalist, anti South, anti faith, anti 2d A, and anti military/defense.",The race for coronavirus vaccines: a graphical guide https://buff.ly/3aOoR2f by @nature
2,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Why Is Uruguay Beating Latin America’s Coronavirus Curse? 
3,"RT @billydavies3360: Good morning from London, dear friends!

With Uruguay on my mind...

Congratulations for ""extraordinaria"" performance…",Why Is #Uruguay Beating Latin America’s Coronavirus Curse? - 
4,RT @XHNews: Beijing's major wholesale market has been suspended after personnel working there tested positive for #COVID19 https://t.co/056…,Uruguay Is Beating Latin America’s Coronavirus Curse - Bloomberg 
5,"RT @FAO: The Sultanate of Oman is one of the Gulf's largest fish producers, providing livelihoods to millions. 

How digital innovation is…",Why is Uruguay beating Latin America's coronavirus curse? @MacMargolis has some answers https://www.bloomberg.com/opinion/articles/2020-05-29/uruguay-is-beating-latin-america-s-coronavirus-curse via @bopinion
6,,"@stopyulinforevr I hope cientists explain Chinese &amp; Korean societies that dog&amp;cat meat also have their own strains of @coronavirus and if they dont cease to butch them to eat, the next pandemic will strike bigger and worse..."
7,,"As #coronavirus Spreads, So Does #Anti- #Chinese Sentiment"
8,,"His words are almost verbatim of what Trump tweeted out. That's the official message. ""The covid19 broke out in China..."" Woo. I've noticed that he's become a populist lately, wearing a sweatshirt or tshirt, with his baseball (America's pastime) cap. He reminds me of the Beave."
9,,Aussies told to reconsider travel to China as coronavirus kills 106 people https://ift.tt/2RxrZZZ 
10,,"@stopyulinforevr I hope cientists explain Chinese & Korean societies that dog&cat meat also have their own strains of @coronavirus and if they dont cease to butch them to eat, the next pandemic will strike bigger and worse..."
11,,people from china i hope yall save and dont have corona virus pls take care <33
12,,"Coronavirus in Iran prompts US to extend olive branch amid claim country's death toll far higher than reported

https://www.foxnews.com/world/coronavirus-iran-us-help-death-toll-higher …"
13,,"Coronavirus latest: California monitoring 8,400 people for Covid-19 | Financial Times https://www.ft.com/content/d59c359d-45e3-3801-8b4b-48708ff5fe83?fbclid=IwAR2zF11lsgbiik5qhYNgMISmISwFZ_Uyl7LZ3IxbCJ5xN6y7cM2CBU_Gc54&fbclid=IwAR1dheZbWaBDIYVaynxNH258pJAinQH-XxMQCAtAW4LaYfNvIn7QBx7A1cQ …"
14,,"RT @KemiOlunloyo: #BREAKING #CoronaVirus is INCREASING In Lagos🇳🇬😷🦠
Almost nobody is wearing masks on the streets. They are hanging it on t…"
15,,"RT @CGTNOfficial: Fauci: Slight #coronavirus spikes may get out of control amid U.S. reopening
https://t.co/Mfd1U1o4qb"
16,,#IT Security By @gtpintado is out! https://t.co/G280MivznZ #covid19 #cybercriminals
17,,"RT @ivana909: After a successful @FIFAWWC, is women's football in danger of losing momentum - and money - because of #COVID19? 

I hear how…"
18,,RT @opengovpart: New briefing from @UN_Women highlights emerging trends and impacts of #COVID19 on violence against women and girls facilit…
19,,"RT @voxeu: Difference in #COVID19 infection rates b/t former E &amp; W #Germany attributable not to BCG, find Richard Bluhm &amp; Maxim Pinkovskiy,…"
20,,"#Uruguay, 1st Latam country implementing #Exposure Notification app with @Google 's API. Congrats @OmarPaganini,… https://t.co/xtcTZ4vjkn"
21,,"This is just shameful
#COVID19 capitalism at its highest

Some Ventilator Companies Still Won’t Release Repair Manu… https://t.co/D8wh6niij2"
22,,Coronavirus: British Airways and Ryanair cancel hundreds of flights due to COVID-19 outbreak | Travel News | Sky News https://news.sky.com/story/coronavirus-british-airways-and-ryanair-cancel-hundreds-of-flights-due-to-outbreak-11948097 …
23,,"I would love not to have a war between the west, #Turkey and #Russia.

Especially during the damned #coronavirus thing.

Grazie "
24,,Yooooo I kinda started an argument between the homie and his girl over that coronavirus tweet earlier  his girl big mad then I proceeded to get him big mad back at his girl.
25,,Latest update shows there are no coronavirus cases in Murrumbidgee https://ift.tt/390l9Si 
26,,ABBA Festival not cancelled but postponed because of Coronavirus https://ift.tt/2TSEy34 
