,Positive,Negative
0,10,4
1,"CONTINUING CORONAVIRUS BREAKING NEWS 
@7NewsWatertown
#CoronavirusOutbreak #coronaviruses #nCoV #ncov2020 

READ ALL OF THIS THREAD FROM

Sui-Lee Wee 黄瑞黎 @suilee Reporter for @nytimes
 in China.

@DoobiestBhttps://twitter.com/suilee/status/1221910349848252416?s=20 …","#2019nCoV #coronavirus Wuhan 2019-nCoV
UPDATE
“It would be a lie if I said I was not concerned at all about the infection,” Choi Ji-Young, 21,(AFP). “But I feel like I will be protected from the virus today.”

M
@7NewsWatertown-CNN#KuckolingSquadhttps://www.foxnews.com/lifestyle/thousands-of-couples-tie-knot-in-mass-wedding-amid-coronavirus-fears …"
2,"CONTINUING CORONAVIRUS BREAKING NEWS 
@7NewsWatertown
#CoronavirusOutbreak #coronaviruses #nCoV #ncov2020 

2nd case in Canada wife of first 1st case

@DoobiestB",
3,"CONTINUING CORONAVIRUS BREAKING NEWS @7NewsWatertown
#CoronavirusOutbreak #coronaviruses #nCoV #ncov2020 

Germany reports first case of coronavirus
@DoobiestB",
4,"#2019nCoV #coronavirus Wuhan 2019-nCoV
UPDATE
BNO Newsroom
@BNODesk 3m
NEW: Tianjin's Baodi District, southeast of Beijing, is being put on lockdown due to coronavirus.

M
@7NewsWatertown-CNN#KuckolingSquad",
5,"#2019nCoV #coronavirus Wuhan 2019-nCoV
UPDATE
One of the new cases involved is an American, increasing the ship’s total number of U.S. citizens who have fallen ill to nine, USA Today reported Saturday. 

M
@7NewsWatertown-CNN#KuckolingSquadhttps://www.foxnews.com/travel/coronavirus-cases-quarantined-diamond-princess-cruise-ship …",
6,"Lastest 
#2019nCoV #coronavirus Wuhan 2019-nCoV

Current numbers below
Hong Kong airline asked 27,000 employees take three weeks unpaid leave to lessen the economic impact from coronavirus that has engulfed mainland China.

M
@7NewsWatertown-CNN that WHS won't reply too.pic.twitter.com/BtrC0hMClz",
7,"#2019nCoV #coronavirus Wuhan 2019-nCoV
LATEST REALITY CHECK
Dr. Chris Martenson PhD pathology neurotoxicology
@ Peak Prosperity on YouTube 
Live just ended...
30 minutes of information you'll not get anyplace else!
A Must Watch! 

M
@7NewsWatertown-CNNhttps://youtu.be/Y4Ho96UKfYA ",
8,"#2019nCoV #coronavirus #COVID19 Wuhan 2019-nCoV

Currently 44,754 confirmed cases, 1,112 fatalities. @BNONews @BNODesk 

LATEST 2/11 23 mins
Dr. Chris Martenson PhD pathology neurotoxicology 
WATCH & LEARN! 

M
@7NewsWatertown #wwny Gaslighted Newshttps://youtu.be/HrqRAtViUZw ",
9,"#coronavirus #COVID19 2019-nCoV    Wuhan Hubei outbreak

Get the facts!
LATEST 2/18... 25 mins
Dr. Chris Martenson PhD pathology neurotoxicology 
WATCH & LEARN! 

B
@7NewsWatertown #wwny Dinosaur Newshttps://youtu.be/gojy7ChZ8h8 ",
10,"#coronavirus #COVID19 #2019nCoV nCoV   
Wuhan Hubei outbreak

CHINA DAILY:

Liu Zhiming, president of Wuhan Wuchang Hospital in Hubei province, died of the novel coronavirus pneumonia at 10:30 am on Tuesday 

B
@7NewsWatertown #wwny Dinosaur News

http://www.chinadaily.com.cn/a/202002/18/WS5e4b7c03a31012821727864d.html …",
11,"#coronavirus #COVID19 Wuhan 2019-nCoV

Get the facts!
LATEST 2/14 35 mins
Dr. Chris Martenson PhD pathology neurotoxicology 
WATCH & LEARN! 

M
#wolfwolfpack #Kockoling drinking team news @7NewsWatertown speculation newshttps://youtu.be/MwJ5thwr4C8 ",
