,Positive,Negative
0,16,0
1,did corona virus disappear ain’t heard shit in a week or 2 Like tf,Man sacrificed money to escape the coronavirus running back to his old team I'm dead fam 
2,CoronaVirus is a man-made virus to boost the “fear” so ppl can run to the doctor(pharmaceutical market strategy) to be tested and buy medicine or “cure”.,Lmaooooo. Someone said tayi kama da ragowan corona virus 
3,RT @mymixtapez: Nigerian billionaire Ray Hushpuppi &amp; his friend Woodberry have been extradited to the U.S after allegedly tricking the U.S…,"Cancelled over fears of the coronavirus. It's not the virus itself canceling these events, but fear. It's not organizer's fear, but attendees who will likely fail to show up even if the event is held. https://twitter.com/KimZetter/status/1228458058746957824 …"
4,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",What If I Got The Lil Corona Virus Shit I’m Fina Die 
5,"RT @Tejasvi_Surya: The only CM in India today who can start his weekend with a breakfast at MTR - city’s most famous joint. 

Sri @BSYBJP’s…","RT @Nwankpa_A: If you have a fever and you are losing your sense of taste and/or smell: While screening for malaria &amp; typhoid, you might al…"
6,"RT @He_comes_soon: Muslims in Canada:
The Prophet of Islam taught us that white is'nt superior to black, &amp; that black is'nt superior to whi…",Cruise: Corona virus has already been in Nigeria. 
7,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",
8,"RT @vdwnico: #covid19 situation in 20 countries. Acceleration in Sweden. No model is perfect, be careful with numbers. https://t.co/gl9pE78…",
9,"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…",
