,Positive,Negative
0,54,108
1,"A Woman Gave Birth In Prison While On A Ventilator. Weeks Later, She Died Of The Coronavirus. ",Who knew: False myth that African Americans were immune to coronavirus has a whole historic precedent with yellow fever &amp; racism. I just learned. 
2,"As Trump looks ahead to his reelection, he is intent on salvaging a cratering economy & insistent on projecting victory but cautious at being blamed should coronavirus surge again, a conflicting mindset that’s led to a similarly conflicting public stance. ","Listen, the looters etc. Need to be punished for the destruction they have caused. Why do they go to different states to carry out their hatred and destruction, it makes me ill. The Corona virus is enough for now. "
3,#Constitution Dies Of #Coronavirus ,#coronavirus Cancer treatment I KNOW they also use it in K-9's &amp; Felines with cancer too. 
4,What is the art world reading during the coronavirus lockdown? http://dlvr.it/RVjlJT,"With the Coronavirus Lockdown plan failing, the Gen. Flynn framing exposing the Deep State Democrat corruption &amp; then Joe Biden having his famous “You Ain’t Black” moment, it’s no surprise that Soros, Antifa, &amp; the radical extreme left mobilized to try &amp; change the narrative."
5,Jennie-O Turkey pauses operations at another Minnesota plant to mitigate coronavirus spread https://fxn.ws/2xkTKO8 #FoxBusiness,All they're doing is motivating people to vote. No question it's attempt to cover fat-ass' coronavirus failures but today WAPO published story on Yale study they commissioned: death toll as much as 105K higher than reported. George Floyd's death brought out worst of fat-ass.
6,Damn by the time my Coronavirus Relief Payment is deposited They will probably be giving out another one ,#BREAKING CHINA CORONAVIRUS - UPDATE WHO declares China coronavirus outbreak a GLOBAL health emergency https://www.scmp.com/news/china/society/article/3048314/china-coronavirus-world-health-organisation-declares-outbreak #foxnews #QAnon #maga @MaryWalterRadio #cnbc #bloomberg @rt_com #reuters #BBCNews @wmalDC @marklevinshow @DBongino @TheFive
7,Sources believe coronavirus outbreak originated in Wuhan lab as part of China's efforts to compete with US ,"Only China....not Italy, Japan, Germany, Turkey, Iran, France, Nigeria, Eygpt, ect ect infected by #COVID19 #coronavirus...considering atleast a 2wk incubation &amp; INFECTIOUS period b4 symptoms present, shouldve locked down ALL international travel &amp; quarantine repatriate citizens"
8,Looks for a spike in #coronavirus cases as people gather in large crowds.,"#COVID19 has a 2% death rate... considering #MAGA regularly disregard scientific fact as liberal hoax, THEY ARE NOT GONNA COVER THEIR MOUTHS, WASH THEIR HANDS, STAY HOME IF SICK..Its gonna spread it..its gonna be bad..but silver lining it'll whittle down the % of ignorance in "
9,"NEW: During #CoronaVirus Pandemic, @ICEgov AGAIN Doing Family Separation, Deporting Children. READ: http://smartdissent.com/article/during-pandemic-ice-again-doing-family-separation #SmartDissent #Immigrants #FamiliesBelongTogether #HumanityFirst #ImmigrantsAreEssential",Coronavirus outbreak: Passengers refuse to board flight with Wuhan travelers in 5-hour standoff https://nypost.com/2020/01/28/coronavirus-outbreak-passengers-refuse-to-board-flight-with-wuhan-travelers-in-5-hour-standoff/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost
10,"$9.6B 13M children food insecure on daily basis. 1 in 5 adults now because of coronavirus. 550K homeless in US, 40% veterans.",Widespread Outcry in China Over Death of Coronavirus Doctor - The New York Times https://www.nytimes.com/2020/02/07/business/china-coronavirus-doctor-death.html …
11,My neighbors are having a party to celebrate the end of coronavirus. Who knew race riots were the cure?!??!,"THE TRUTH OF THE VIRUS IS LESS THAN THE TRUTH OF TYRANNY
Wuhan resident risking his life to tell the Coronavirus truth.
#maga #QAnon #BBCNews #reuters #Xinhuanet @asianenews #ChinaDailyAsia #snmpNews #BBCNews @hongkong_news #foxnews #KAG @Taiwan_Todayhttps://youtu.be/3sUMMys4tPg "
