,Positive,Negative
0,16,4
1,Chatrapur Sub-Divisional Police Officer and Chatrapur police station inspector-in-charge test positive for… https://t.co/ztIkamc70n,"Promoting handloom, servitors who will be engaged for the conduct of annual #Puri #RathaJatra will wear face masks… https://t.co/wjiQmH0NWl"
2,"RT @Asish_TNIE: Chatrapur Sub-Divisional Police Officer and Chatrapur police station inspector-in-charge test positive for #coronavirus, in…",RT @XpressOdisha: One more person died of #COVID19 taking the death toll to 10 in #Odisha in the last nearly three months. https://t.co/zTD…
3,RT @HFWOdisha: Hon'ble Minister Shri @nabadasjsg expressed his confidence on the steps taken by #Odisha Government to contain the disease i…,"RT @bjd_odisha: In a precedent-setting effort to provide employment during the #COVID19 pandemic, @DMNabarangpur ensure employment for 1,01…"
4,"RT @HFWOdisha: Another 120 #COVID19 patients have recovered and are being  discharged on 13.6.2020.

33 from Ganjam
18 from Gajapati
13 fro…",RT @CMCCuttack: Five must-follow guidelines for shop owners and citizens in #Cuttack city to ensure adherence to #COVID19 guidelines during…
5,Another 120 #COVID19 patients have recovered in Odisha today https://t.co/3KJ5H1lmO7,RT @HFWOdisha: #COVID19 pandemic is at its peak during June and carries tangible risk for everyone. Self regulate yourself &amp; save your fami…
6,RT @ANI: Delhi High Court directs Central Government and Delhi Government to increase the number of beds for #COVID19 patients and try to i…,"RT @timesofindia: ANI quotes Balkrishna, CEO Patanjali: We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was…"
7,The Health and Family Welfare department said Saturday that 120 persons who had earlier tested positive for COVID-1… https://t.co/ciyKcg33Xx,"RT @peijin_zhang: #Beijing 's largest wholesale food market shutdown after the spike in #COVID19 cases. The city's Fengtai district is in ""…"
8,"RT @otvnews: 11 #CoronaWarriors test positive for #COVID19 in Ganjam, confirms Collector 

All of them tested positive in the past 24 hours…",RT @MoHFW_INDIA: Malaria can also attack in times of #COVID19. Take ample precautions to stay protected from #Malaria. Let's #BeatMalaria w…
9,,"RT @SriRamya21: Let's spread this .....wowwwwww .Is it not a welcome break ,much needed break ???
""Kaduvul irukkan Kumaru........"""
10,,"RT @bmcbbsr: Update on newly detected &amp; cured #COVID19 cases in the last 24 hrs under the BMC area on 13th Jun 2020(till 9am).

Further con…"
11,,RT @ANI: Maharashtra has capacity to test 38000 samples per day for #COVID19 but only 14000 tests are conducted. Mumbai has capacity to tes…
