,Positive,Negative
0,17,1
1,"Chahatt Khanna: “China Has Been On The Forefront On Bringing Coronavirus”

@TheChahatt #COVID19 #Coronavirus… https://t.co/SerCnzVWEn","RT @drsfaizanahmad: List of Indian Doctors who died due to #coronavirus while serving patients.
RIP #coronawarrior https://t.co/gQsddzkYhO"
2,"RT @jamewils: Let's compare the #COVID19 statistics of 6 states with comparable population. 

This data will reveal some facts and give you…","Dropping sales of the Cars dues to COVID 19 crisis! Know How much is the drop! Will this bounce back?

#Covid19… https://t.co/H5JLgWBFqs"
3,RT @ChaiMIRROR: Breaking. #covid19 testing rates reduced in Maharashtra. Private labs testing charges now ₹2200 for bulk collection from ho…,RT @abantika77: Loss of smell and taste now officially among symptoms of #COVID19 as per clinical management guidelines notified by @MoHFW_…
4,"RT @ANI: Maharashtra Government caps maximum price for #COVID19 tests (RT-PCR) at Rs 2200, the earlier price was 4400. Maximum price for th…",RT @FoodFood: How to minimize the risk of infection against the different disease and viruses? Follow FoodFood's Immunity Boosters guide an…
5,"RT @orfonline: Top 10 countries that have been impacted the most by #COVID19. India is the 4th most affected nation. 

Visit ORF's #COVIDTr…",RT @Francesco_Tokyo: Confusion reigns as #India battles the #pandemic. #cornavirus #COVID19 #Modi #Delhi #lockdown2020 #lockdown @MediaSumi…
6,"RT @priyadamini24: #Thread 🧵 

As India’s #COVID19 tally inches towards the 3 lakh mark, here is a thread of IMPORTANT CRUCIAL THINGS THE G…","RT @nandtara: #COVID19 has seen business &amp; salaried class lose incomes, struggle/default on EMIs to feed their families while @narendramodi…"
7,RT @ANI: 4 police personnel who had tested positive for #COVID19 have lost their lives in the last 24 hours: Mumbai Police    #Maharashtra…,
8,"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…",
9,"Great. All ministers, politicians, babus should start on these medicines.",
10,"RT @Mint_Lounge: TV and film production has received the go-ahead to resume. However, the practicalities of shooting in a #covid19 world ha…",
11,RT @ANI: Maharashtra has capacity to test 38000 samples per day for #COVID19 but only 14000 tests are conducted. Mumbai has capacity to tes…,
