,Positive,Negative
0,10,20
1,"I feel like you shouldn't be allowed to even *say* anything about coronavirus until you've had your flu shot* *unless of course, you have a condition that prevents you from getting vaccinated",80% of inmates at this prison in Ohio are infected with #coronavirus . 
2,Amazing effort #sciencematters Initial genome release of novel coronavirus http://virological.org/t/initial-genome-release-of-novel-coronavirus/319 …,Did the Eagles draft QB Jalen Hurts because of coronavirus? http://dlvr.it/RVjmz6
3,@SpeakerPelosi @SenSchumer @SenGillibrand In view of the purge going on at the White House I urge you to be vigilant in case IMPOTUS starts messing with the CDC because he doesn't like what they are publishing to protect our Nation from the coronavirus.,"Demonize the protestors, get them sick with #coronavirus, watch the cities burn as many die, consolidate power, get reelected, fascist America is permanent."
4,"I'd let the coronavirus self police just like any red blooded, free speech love'n, gun tote'n, 'Merican would do.","Since the rioters and looters seem to be ignoring social distancing guidelines, I’d say we get back to being on the baseball field. #LetsGo It’s almost as if the Coronavirus has disappeared. "
5,Watch as Einstein’s Dominick P. Purpura Department of Neuroscience shares a heartfelt message of thanks to all of t… https://t.co/NHiAOW5Xd9,Me watching everyone protest in Harlem knowing the coronavirus is still going on #BlacklivesMaters #brooklynprotest #newyorkprotest
6,#DYK: @MontefioreNYC's STAY STRONG video series provides the latest information and guidance from Montefiore-Einste… https://t.co/dN4R2F1RaR,"Indeed, #SARSCoV2 shedding lasts longer in patients with severe #COVID19 disease https://www.bmj.com/content/369/bmj.m1443 via @bmj_latest And #PCR and #coronavirus #infectivity seem to be closely linked https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7185831/pdf/10096_2020_Article_3913.pdf via @ESCMID https://twitter.com/SeanLucan/status/1266831391616045056"
7,"Trump worried his poll numbers will go down if the number of coronavirus patients goes up.

We can't trust the CDC anymore for accurate information. He'll work to suppress it.",Then I'll cough into your mouth and infect you with the coronavirus 
8,I may have the coronavirus but i’m still cleaner ,I’m feeling alittle under weather today and i’m not fucking with this corona virus shit so ima just walk around like this from now on 
9,,"China Reports First Death From New #Virus: “The #coronavirus, which surfaced in the city of #Wuhan, has put the region on alert, but there is no evidence that it can spread among humans.”https://www.nytimes.com/2020/01/10/world/asia/china-virus-wuhan-death.html …"
10,,"I won’t lie...first thoughts when I saw #coronavirus was, who poisoned beer.  Let me live in my dumb moment."
11,,Coronavirus Outbreak: Video Shows Bodies In Halls Of Chinese Hospital! - https://go.shr.lc/37qzqYu  via @Worldstar #WSHH #WORLDSTAR
12,,The Flu is a coronavirus…
13,,This how the coronavirus gonna spread in the US
14,,"The United States should stop all imports from China until the Country has been cleared by the World Health Orig. of any threat to our National Security!

Where’s Xi? China’s Leader Commands Coronavirus Fight From Safe Heights
https://www.msn.com/en-us/news/world/wheres-xi-chinas-leader-commands-coronavirus-fight-from-safe-heights/ar-BBZN2vS?ocid=spartandhp …"
15,,"Florida (not shocking) Preacher Rick Wiles is now claiming God sent the Coronavirus because to eradicate homosexuality.

Geez, floods, hurricanes, brush fires, tornadoes etc and we’re still here.
God must suck if he didn’t get it right the first time."
16,,gotta use a new netflix or u get coronavirus
17,,"I get that you’re scared of the corona virus but if you staring at me when You got your mask on, I’m putting paws on you."
