,Positive,Negative
0,22,17
1,"@NY_Coronavirus Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2) - It brings enlightenment for people who have no idea about the New Corona Virus, please help me out with this and retweet it. https://youtu.be/aCcpNob8cak","@CoronaTurkeyEN Why does the coronavirus have only a limited impact in China (in Wuhan), but not on the whole country, while in other countries it has become a nationwide rather than local problem? "
2,"Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2) - It brings enlightenment for people who have no idea about the New Corona Virus, please help me out with this and retweet it. https://youtu.be/aCcpNob8cak",@NY_Coronavirus What would happen if there were no vaccinations? 
3,"@ChrisGombeski https://youtu.be/aCcpNob8cak Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2) - It brings enlightenment for people who have no idea about the New Corona Virus, please help me out with this and retweet it. ","@NY_Coronavirus Why does the coronavirus have only a limited impact in China (in Wuhan), but not on the whole country, while in other countries it has become a nationwide rather than local problem? "
4,"Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2). It brings enlightment for people who have no idea about the New Corona Virus, please help me out with this and retweet it. ","@SEACoronavirus Why does the coronavirus have only a limited impact in China (in Wuhan), but not on the whole country, while in other countries it has become a nationwide rather than local problem? "
5,"@OlympicIndia https://youtu.be/aCcpNob8cak Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2) it will change the world - It brings enlightment for people who have no idea about the New Corona Virus, please help me out with this and retweet it.",@subgap Why is quarantine ordered for coronavirus but not for influenza virus? 
6,"@NOCoronaVirusNO &lt;blockquote class=""twitter-tweet""&gt;&lt;p lang=""en"" dir=""ltr""&gt;Dear Beloved Community &lt;br&gt;This is a very useful Information about COVID-19 (Sars.CoV.2) it will change the world - It brings enlightment for people who have no idea about the New Corona Virus",@CoronaTurkeyEN Why does the corona virus seem to hit the USA so much harder than in Europe? 
7,#Coronavirus #COVID19 #COVID_19 #COVID2019 #Coronavirus #Covid19 #Coronavirus Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2) it will change the world - It brings enlightment for people who have no idea about the New Corona Virus,"If the coronavirus is so deadly, why was Sweden able to treat it by not actually introducing stricter rules? "
8,"https://youtu.be/aCcpNob8cak Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2) it will clarifiy - It brings enlightment for people who have no idea about the New Corona Virus, please help me out with this and retweet. ","Veredus Laboratories announces development of detection kit for Wuhan Coronavirus | MobiHealthNews https://www.mobihealthnews.com/news/asia-pacific/veredus-laboratories-announces-development-detection-kit-wuhan-coronavirus …, see more http://tweetedtimes.com/v/374?s=tnp "
9,"@rehmat_baba https://youtu.be/aCcpNob8cak Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2) it will clarifiy - It brings enlightment for people who have no idea about the New Corona Virus, please help me out with this and retweet. ",Time . . . #cologne #copenhagen #brøndby #covi̇d_19 #coronavirus #business #travel #scandinaviandesign… https://t.co/H5CBotXpXX
10,"@NOCoronaVirusNO https://youtu.be/aCcpNob8cak Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2) it will clarifiy - It brings enlightment for people who have no idea about the New Corona Virus, please help me out with this and retweet. ",
11,"@AFgCorona https://youtu.be/aCcpNob8cak Dear Beloved Community This is a very useful Information about COVID-19 (Sars.CoV.2) it will clarifiy - It brings enlightment for people who have no idea about the New Corona Virus, please help me out with this and retweet. ",
