,Positive,Negative
0,11,29
1,Has Sweden found the best response to the coronavirus? Its death rate suggests it hasn’t. https://www.vox.com/2020/4/28/21240381/coronavirus-sweden-death-rate-cases-new-york?utm_campaign=vox&amp;utm_content=entry&amp;utm_medium=social&amp;utm_source=twitter via @voxdotcom,Why the coronavirus may be killing more Americans than the government data says https://www.vox.com/coronavirus-covid19/2020/4/29/21240393/voxcare-us-coronavirus-covid-19-deaths-how-many-yale?utm_campaign=vox&amp;utm_content=entry&amp;utm_medium=social&amp;utm_source=twitter via @voxdotcom
2,Jair Bolsonaro undermined Brazil’s coronavirus response. Now there’s a political crisis. https://www.vox.com/2020/4/28/21228512/brazil-bolsonaro-coronavirus-moro?utm_campaign=vox&amp;utm_content=entry&amp;utm_medium=social&amp;utm_source=twitter via @voxdotcom,Russia’s coronavirus outbreak is getting bad. Putin says the worst is yet to come. https://www.vox.com/2020/4/29/21240085/coronavirus-russia-putin-cases-deaths?utm_campaign=vox&amp;utm_content=entry&amp;utm_medium=social&amp;utm_source=twitter via @voxdotcom
3,What we know about the next coronavirus funding package https://www.vox.com/2020/4/29/21227979/what-we-know-next-coronavirus-funding-package-states?utm_campaign=vox&amp;utm_content=entry&amp;utm_medium=social&amp;utm_source=twitter via @voxdotcom,British PM Johnson's fiancée gives birth to boy amid coronavirus crisis 
4,Houston Astros block World Series ring being auctioned off for coronavirus charity ,"India suffers its worst daily rise in coronavirus cases with 7,964 new infections as the country prepares to lift two-month lockdown "
5,“It’s going to go away”: Trump’s blind faith won’t solve America’s coronavirus testing problem https://www.vox.com/2020/4/29/21241120/trump-us-coronavirus-testing-problem?utm_campaign=vox&amp;utm_content=entry&amp;utm_medium=social&amp;utm_source=twitter via @voxdotcom,Could Xanax fight coronavirus? Scientists identify seven common medicines including anti-anxiety drug that could be used to block infection 
6,Latin America becomes epicenter of coronavirus pandemic ,US ill-prepared for coronavirus-fueled mental health crisis 
7,Elton John lays off staff and bandmates after taking a £60m hit when his farewell tour is cancelled due to coronavirus pandemic (even though he's worth £360m) ,Coronavirus outbreak could threaten Trump economy 
8,Hong Kong Airlines fires 400 workers and asks remaining staff to take unpaid leave as coronavirus hits travel firms https://www.dailymail.co.uk/news/article-7977841/Hong-Kong-Airlines-fires-400-workers-coronavirus-hits-travel-firms.html …,Mystery pneumonia may be coronavirus variant: report https://thehill.com/policy/healthcare/477505-mystery-pneumonia-may-be-coronavirus-variant-report …
9,CDC begins shipping coronavirus tests to state and local health departments https://thehill.com/policy/healthcare/481944-cdc-begins-shipping-coronavirus-tests-to-state-and-local-health-departments …,China increasing measures to contain coronavirus outbreak https://thehill.com/policy/healthcare/public-global-health/478993-china-increasing-measures-to-contain-coronavirus …
10,"Facebook canceled a 5,000-person conference in San Francisco because of coronavirus https://www.vox.com/recode/2020/2/14/21138181/facebook-coronavirus-conference-covid19-san-francisco-google-china-silicon-valley-tech-san-francisco?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter … via @voxdotcom",Restaurants in New York City's Chinatown see business plummet as much as 50 per cent amid fears over coronavirus - despite there being NO confirmed cases in the Big Apple https://www.dailymail.co.uk/news/article-7978865/New-York-City-Chinatown-restaurants-business-plummet-50-cent-amid-coronavirus-fears.html …
11,"China tries to contain coronavirus, as Apple warns of earnings impact https://www.axios.com/coronavirus-latest-developments-8b8990c4-6762-494a-8ee0-5091746bda9b.html …",More than HALF of South Korea's 433 coronavirus cases are linked to secretive Shincheonji Church of Jesus cult whose leader believes he's IMMORTAL https://www.dailymail.co.uk/news/article-8032317/Over-HALF-South-Koreas-433-coronavirus-cases-linked-cult-leader-immortal.html …
12,The University at Albany comes under fire for 'racist' coronavirus-themed party where students drank Corona beers and wore surgical masks https://www.dailymail.co.uk/news/article-8029613/College-investigating-reports-coronavirus-themed-party.html …,Cruise ship passengers can’t catch flights home due to coronavirus fears  https://nypost.com/2020/02/22/cruise-ship-passengers-cant-catch-flights-home-due-to-coronavirus-fears/ …
13,Don’t buy China’s story: The coronavirus may have leaked from a lab  https://nypost.com/2020/02/22/dont-buy-chinas-story-the-coronavirus-may-have-leaked-from-a-lab/ …,"Parents are struggling to cope as coronavirus worries shut down schools, leaving kids scared and confused https://www.businessinsider.com/coronavirus-school-closures-have-left-kids-feeling-scared-confused-2020-3 …"
