,Positive,Negative
0,20,13
1,Wall Street rallies on promising coronavirus drug ,Coronavirus savages U.S. economy in first quarter; bigger hit still to come 
2,Trump thanks China's Xi Jinping for handling of coronavirus https://www.cnbc.com/2020/01/24/trump-thanks-chinas-xi-jinping-for-handling-of-coronavirus.html …,"Coronavirus live updates: Global health emergency declared, US confirms first human transmission "
3,Jump in coronavirus cases halts stock rally; dollar gains https://reut.rs/39Bt8G9 ,"Coronavirus live updates: Global health emergency declared, US confirms first human transmission https://www.cnbc.com/2020/01/30/coronavirus-latest-updates.html …"
4,South Korea stocks on watch as country raises coronavirus alert to 'highest level' - https://www.cnbc.com/2020/02/24/asia-markets-south-korea-coronavirus-currencies-china.html …,China's Hubei province confirms 15 more deaths due to coronavirus https://www.cnbc.com/2020/01/24/chinas-hubei-province-confirms-15-more-deaths-due-to-coronavirus.html …
5,Coronavirus treatment: Officials are cautious about chloroquine and hydroxychloroquine - Vox https://www.vox.com/2020/3/20/21188433/coronavirus-hydroxychloroquine-chloroquine-covid-19-treatment …,"Last weekend, Singapore Corona Virus outbreak created a panic. It is somewhat subdued now. We want to see the impact on the stock market today."
6,,Macau casino revenue drops 11.3 percent in January as coronavirus worries mount https://reut.rs/3b18VLn 
7,,"China reports outbreak of deadly bird flu among chickens in Hunan province, close to coronavirus epicentre of Wuhan | South China Morning Post https://www.scmp.com/news/china/society/article/3048566/china-reports-outbreak-deadly-bird-flu-among-chickens-hunan …"
8,,Coronavirus: Wuhan doctors battle outbreak in diapers as masks rub their faces raw | South China Morning Post https://www.scmp.com/news/china/society/article/3050339/coronavirus-clad-protective-suits-wuhan-doctors-battle-outbreak …
9,,Wall Street slips as coronavirus fears mount https://reut.rs/39AW3u2 
10,,"Dow plunges 1,000 points on coronavirus fears, 3.5% drop is worst in two years - https://www.cnbc.com/2020/02/24/us-futures-coronavirus-outbreak.html …"
11,,"China coronavirus outbreak has not yet peaked says politburo, Government & Economy - THE BUSINESS TIMES https://www.businesstimes.com.sg/government-economy/china-coronavirus-outbreak-has-not-yet-peaked-says-politburo …"
12,,"Coronavirus fears, U.S. business data drag down Wall Street - Reuters https://www.reuters.com/article/us-usa-stocks/coronavirus-fears-u-s-business-data-drag-down-wall-street-idUSKBN20F1U8 …"
13,,"Dow drops more than 200 points, posts losing week as coronavirus fears resurface https://www.cnbc.com/2020/02/21/us-futures-point-to-lower-open-on-wall-street.html …"
14,,"Corona Virus change the paradigm in 2020, from meeting target to barely survive. From central bank tightening to easing. This is truly a black swan event."
15,,U.S. manufacturing sector stalls as coronavirus hits supply chains - Reuters https://www.reuters.com/article/us-usa-economy-manufacturing/u-s-manufacturing-sector-stalls-as-coronavirus-hits-supply-chains-idUSKBN20P29T …
