,Positive,Negative
0,5,6
1,"Well, Darren, if you’re looking to die of Coronavirus, then this government will not disappoint you.","""Scientists know the shape of proteins on the new coronavirus’s surface down to the position of individual atoms. Give me two hours, and I can do a dramatic reading of its entire genome. But much else about the pandemic is still maddeningly unclear."" "
2,JUST IN: Another confirmed case of coronavirus in China,Coronavirus/COVID-19 Special Issue in progress_Bio-protocol https://bio-protocol.org/Special_Issue_info.aspx?siid=43
3,"Confirmed coronavirus cases in Singapore.

The Grand Hyatt Hotel cluster should be extended globally.
https://twitter.com/0bFuSc8/status/1226255031684489218?s=20 …","ICYMI: Dr. Li Wenliang, the Chinese doctor who tried to raise awareness of the coronavirus outbreak in its early days, has been memorialized in a smart contract on ethereum after his death of the disease last week. http://ow.ly/C3BX50ygSOR  

Report by WolfieZhao"
4,"""Cigna CEO talks success of Express Scripts deal, coronavirus outbreak"" https://ift.tt/2UyExSK ","""Clorox CEO on Q2 earnings report, demand amid coronavirus outbreak"" https://ift.tt/2vb2THK "
5,"A package holiday in Tenerife does sound like hell. 

The coronavirus doesn't sound too good either...
 https://www.theguardian.com/world/2020/feb/25/no-one-has-told-us-anything-tourists-on-lockdown-in-tenerife-hotel-coronavirus?CMP=share_btn_tw …","#WHO smells like #corruption now...
#coronavirus"
6,"RT @MicrobesInfect: Mutation in #SARSCoV2 variant circulating in Europe &amp; US increases its ability to infect cells in vitro.

The D614G mut…","I, criticize the way MPs have treated the British people during the Coronavirus pandemic. Especially when they put… https://t.co/d4ubb8lnos"
7,RT @Ianblackford_MP: Memo to @Keir_Starmer it is notable that the Labour first minister in Wales recognises the need to protect jobs throug…,"Actually tweeted ""our plan is working.""

Let that sink in."
8,RT @EUSmartCities: #ICT plays a major role in the response to #COVID19 but what role will data and connected cities play in the recovery? D…,"RT @DrJDrooghaag: 🔵 Poland invaded the Czech Republic last month, but says it was just a misunderstanding

#Poland #CzechRepublic #Czechia…"
9,"""Splunk CEO talks Q4 earnings report, coronavirus and digital transformation"" https://ift.tt/2wxe2mS ",RT @altmann_tim: Whether over #Brexit or #covid19 why does this wretched conservative government impose it's catastrophic diktats without a…
10,,RT @DCBMEP: Does the public have any idea of these dangerous associations BLM has? https://t.co/9hPd2AOX0H
11,,"Re: Coronavirus outbreak among prisoners in Iran

A catastrophic situation is about to arise in prisons in Iran. We urge you to take action and pressurise the government in Iran to stop a human tragedy."
