,Positive,Negative
0,93,455
1,"My Inbox has never looked so good. Thanks, #coronavirus",Inmates With #Coronavirus Are Being Thrown Into 'Extremely Difficult' Confinement: Prison Watchdog 
2,"My God this is heart breaking. Trump is too busy making coronavirus commemorative coins, opening businesses, and planning rallies. He doesn't care about the dead.","The intellectual dishonesty of implying that Trump's failure to act is responsible for coronavirus infection rates is incredible. Congress approves legislation and Federal spending bills. Pelosi was instructing Americans on 24 February 2020 to not fear the virus. But sure, Trump!"
3,Don't forget the unsung heroes during lockdown: The janitorial staff and cleaners who make it possible for medical staff to do their jobs and who are also putting their lives at risk. #NeverForget #Clapforthecleaners #Covid_19 #coronavirus,"Twitter offers data to researchers studying virus ""Twitter said Wednesday it would allow researchers to access data on real-time conversations about the coronavirus pandemic to help deepen their understanding of the disease."" "
4,One time Alex tells the truth... Alexa how long will the coronavirus last ,Make them all work in a coronavirus Ward or the morgue. Put them on mass grave detail... let them see for themselves the truth of it and let them die for their ignorance. 
5,"that post-transplant we look and mostly feel well, but underneath it all we know we will one day very likely need a second or even a third transplant. The issue around the current #coronavirus crisis in that as transplant patients on immunosuppressants we are shielding as we are",#Eritrea Total Cases: 39 New Cases: 0 Total Deaths: 0 New Deaths: 0 Total Recovered: 13 Active Cases: 26 #Covid19 #CoronaVirus #Coronavid19 #StayHome #StaySafe #WashYourHands #Corona #CoronaOutbreak #COVID2019
6,Doctors Face Troubling Question: Are They Treating Coronavirus Correctly... https://youtu.be/bp5RMutCNoI via @YouTube,"...covering the pitifully minuscule protests against social distancing measures because of the coronavirus pandemic is another. The fact that many of those protesters see fit to walk around with assault rifles &amp; the police do nothing to them, holy shit. Imagine if they were black"
7,You said coronavirus would magically disappear in April. You’ve got one day left.,#Macao Total Cases: 45 New Cases: 0 Total Deaths: 0 New Deaths: 0 Total Recovered: 32 Active Cases: 13 #Covid19 #CoronaVirus #Coronavid19 #StayHome #StaySafe #WashYourHands #Corona #CoronaOutbreak #COVID2019
8,"intelligence keeping close watch on Wuhan lab scientist Zhou=researched #coronavirus in bats His work=bat immunology Nthe role of interferons Nhow 'bats R rich reservoirs for emerging viruses, including many that are highly pathogenic 2humans #WhereIsXiZhou #WhereIsZhouXi",Russia’s coronavirus outbreak is getting bad. Putin says the worst is yet to come. https://www.vox.com/2020/4/29/21240085/coronavirus-russia-putin-cases-deaths via @voxdotcom
9,A closed mind is such a waste. THEY DIED IN A MONTH of coronavirus. Facts matter.,CHINA Stole Remdesivir from Gilead then Tried to Patent the Drug in January -- Knowing Months Ago It Would Treat Coronavirus and Trying to Make Money off the Pandemic https://www.thegatewaypundit.com/2020/04/china-stole-remdesivir-gilead-tried-patent-drug-january-knowing-months-ago-treat-coronavirus-trying-make-money-off-pandemic/?utm_source=Twitter&amp;utm_medium=PostBottomSharingButtons&amp;utm_campaign=websitesharingbuttons via @gatewaypundit
10,Sign the petition: Jared Kushner cannot be anywhere close to the coronavirus response ,Jared Kushner’s ‘princely arrogance’ set back the coronavirus response by weeks: report - 
11,Do y’all know anyone who has died from coronavirus,#French_Polynesia Total Cases: 58 New Cases: 0 Total Deaths: 0 New Deaths: 0 Total Recovered: 49 Active Cases: 9 #Covid19 #CoronaVirus #Coronavid19 #StayHome #StaySafe #WashYourHands #Corona #CoronaOutbreak #COVID2019
12,Oh you didn't hear? We don't care about coronavirus anymore. We're rioting now!,Will Coronavirus Kill - Or Embolden - Neocon Foreign Policy? https://youtu.be/38qTDeNinyQ via @YouTube
13,"""as COVID-19 ripped through Europe and Central Asia, Canadian authorities were telling the public not to worry. In early-March, the country’s top public-health officer, Theresa Tam, described the new coronavirus’s risk to Canadians as low."" #TrudeauMustGo",'So what?': Bolsonaro shrugs off Brazil's rising coronavirus death toll 
14,"""as COVID-19 ripped through Europe and Central Asia, Canadian authorities were telling the public not to worry. In early-March, the country’s top public-health officer, Theresa Tam, described the new coronavirus’s risk to Canadians as low."" #TrudeauMustGo https://www.capnews.ca/news/preventable-tragedy-covid19-long-term-care-homes-canada-public-health","We need to stop pushing false unverifiable news, to trust the same governments you called liars yesterday is a sign of hypocrisy. How do we know these are coronavirus fatalities &amp; not Mohammed ""Mr. Bone Saw (MBS)"" Bin Salam (#MBS²) fatalities?"
