,Positive,Negative
0,3,1
1,Italian prime minister Giuseppe Conte says the first two #coronavirus cases have been confirmed in the country and all air traffic has been blocked between Italy and China. ,43 airlines have canceled flights to China amid #coronavirus fears — here's the full list. 
2,China #coronavirus: evacuation begins of US and Japanese citizens in Wuhan – live updates https://www.theguardian.com/world/live/2020/jan/29/coronavirus-live-updates-china-wuhan-death-toll-cases-symptoms-treatment-evacuation-us-japanese-citizens-latest-news?CMP=share_btn_tw …,"Air France announced on Thursday it will suspend all its scheduled flights to and from mainland China until Feb 9, the latest reaction in response to the deadly #coronavirus outbreak in China. "
3,"[2.2] Breaking News: Moderately Strong Confirmation of a Laboratory Origin of #2019-nCoV. #Coronavirus. This might change everything. Looking for clarification on this. 
https://jameslyonsweiler.com/2020/02/02/moderately-strong-confirmation-of-a-laboratory-origin-of-2019-ncov/amp/?__twitter_impression=true …","#Coronavirus Grounds Flights to China From 3 Continents. Airlines in Europe, Asia and North America are cancelling flights to and from China as the novel #coronavirus has infected at least a few thousand people in China and dozens beyond its borders. "
4,"RT @JenniferHYChan: #China is happy. Not long ago, Media were all focused on #CCP covering the truth about #COVID19. Now, all focus re-dire…",More airlines drop flights to China as #Coronavirus spreads. British Airways halted all flights to China and American Airlines suspended Los Angeles flights to and from Shanghai and Beijing as efforts to contain a new virus intensifies. 
5,,[1.30] Statement on the second meeting of the International Health Regulations (2005) Emergency Committee regarding the outbreak of novel coronavirus (2019-nCoV) 
6,,"Is #WHO a slave to the CCP?: WHO declares #coronavirus outbreak a global health emergency, formally recommends that countries NOT limit TRAVEL and TRADE to China, though other nations do not have to comply. https://www.statnews.com/2020/01/30/who-declares-coronavirus-outbreak-a-global-health-emergency/ via @statnews"
7,,"The deadly #Coronavirus epidemic spreading globally may have originated in a #Wuhan laboratory linked to China’s covert biological weapons program, according to an Israeli biological warfare expert. - https://go.shr.lc/38J7yPD  - @washtimes"
8,,"#Wuhan seafood market may not be source of #coronavirus spreading globally. The virus may have infected people elsewhere first. ""But to be honest, we still do not know where the virus came from.” https://www.sciencemag.org/news/2020/01/wuhan-seafood-market-may-not-be-source-novel-virus-spreading-globally …"
9,,"[1.29] Genomic characterisation and epidemiology of 2019 novel #coronavirus: Phylogenetic analysis suggests that bats might be the original host of this virus, an animal sold at the seafood market in #Wuhan might be intermediate host. https://marlin-prod.literatumonline.com/pb-assets/Lancet/pdfs/S0140673620302518.pdf …pic.twitter.com/cNdepBgxmF"
10,,"Indonesian Screening May Be Missing Virus Carriers
The popular tourist destination has had no coronavirus cases. They say its because of 'Prayers'. Meanwhile, the Indonesian government seems more determined to fight critics than the virus. https://foreignpolicy.com/2020/02/19/indonesia-coronavirus-screening-may-miss-virus-carriers/ …"
11,,"Exclusive: Chinese Regime Deploys 1,600 Online Trolls to Suppress Information on Coronavirus https://www.theepochtimes.com/exclusive-chinese-regime-deploys-1600-internet-trolls-to-suppress-information-on-coronavirus_3242454.html … via @epochtimes"
12,,All these numbers out of China are irrelevant to a certain degree as China is not testing all people who get infected or die from #Coronavirus.
