,Positive,Negative
0,301,300
1,New post (Cruise Giant Carnival Works to Manage Deepening Coronavirus Crisis) has been published on easy stock market - http://easy-stock-market.com/cruise-giant-carnival-works-to-manage-deepening-coronavirus-crisis …,"So when the boy recovered from coronavirus and didn't have problems to breathe, the couple said what now they think what nothing it is more beautiful than just be able to breathe. They no more worried about delays in wedding. They started to enjoy every single moment they breathe https://twitter.com/MariaMargiyeva/status/1255639006676729859"
2,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",I watched in tv the movie of couple from NY about their life during coronavirus. They had planned their wedding and honeymoon trip in next month. Instead he got coronavirus. He had difficulties to breathe for few days &amp; then recovered.
3,"RT @RT_com: New cluster of #COVID19 cases linked to #Beijing food market prompts 'wartime-like’ measures 

https://t.co/pA4WQv77ij",What makes me sad the most is the fact that a lot of them were talking about coronavirus or Australia... and now??? nothing.... 
4,"RT @GlblCtznImpact: Thank you 💙 @mileycyrus 💙 for calling on world leaders to unite &amp; commit billions of dollars to make testing, treatment…",They have a massive influence. Drivers should use the fact that they have a lot of followers and many of people look up to them to talk about current important issues. It's kinda sad that only Lewis has spoken. How many of them posted sth about Australia/coronavirus... and now??
5,FUCK! This is gonna be A BRILLIANT RAINBOW PARTY...our #PRIDE2020 os for real despite #COVID19 WE ALL WILL BE DANCI… https://t.co/AlzJjwbPiD,Just think about how many F1 drivers posted something about Australia or coronavirus.... and now? 
6,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",New post (China reports rising death toll from coronavirus ) has been published on easy stock market - http://easy-stock-market.com/china-reports-rising-death-toll-from-coronavirus …
7,como dua lipa dijo love the simulation we’re living in, Coronavirus: Five Britons in French ski chalet catch virus - BBC News  #ZirigozaGroup #e-commerce #marketing #ENKIL.es #8020 https://buff.ly/2SxP8L9 
8,"RT @rebecasrz: Miley I get you girl, our president is hot, but he is in a serious relationship with our VP The Ponytails, so please, back o…",El coronavirus hace temblar el Mobile World Congress https://ift.tt/2v2hftK  #socialrepublica
9,"RT @carlos_chaccour: Brief thread on the latest twitter #harassment.

Several ivermectin ""enthusiasts"" have been either commending my #COVI…",New post (Apple Warns That Coronavirus Will Hurt Revenue) has been published on easy stock market - http://easy-stock-market.com/apple-warns-that-coronavirus-will-hurt-revenue …
10,"RT @Aligarciaherrer: #covid19 #Beijing: Financial markets globally are going to love this 😱😬
https://t.co/o90N7fugai"," Coronavirus ""infodemic"" threatens world's health institutions - Axios  #ZirigozaGroup #e-commerce #marketing #ENKIL.es #8020 https://buff.ly/32sClOM "
11,,"More on #COVID19 - Another 29-year-old female doctor in #Wuhan died from #coronavirus after she contracted the virus in mid-January and her symptoms deteriorated on February 7. She died in the early hours on Sunday, making her the second young doctor to die within the last week."
12,,"RT @Jerusalem_Post: #Russia reported 8,706 new #coronavirus cases, bringing its cumulative infection tally to 520,129.

https://t.co/EFQrVv…"
13,,the sky's so blue in... mallorca next to you in... mallorca
14,,Collab pls
15,,RT @IACOVID19: The Inflammatory Arthritis and COVID-19 Study from @KingsCollegeLon is launching today! We are recruiting participants aged…
16,,"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
17,,Soros approves this tweet.
18,,Son friends
19,,RT @elpadrejesus_: ¿Relaxing cup of café con leche in Plaza Mayor?
20,,YASH
21,,Please @sanchezcastejon try to reach your goal of being a celebrity and let technical experienced workers do their… https://t.co/mzidioXbBr
22,,"RT @CDCgov: As of June 8, forecasts suggest the total number of #COVID19 deaths will exceed 124,000 by July 4. Additionally, 6 states will…"
23,,"RT @UN_Women: Economic uncertainty
Health concerns
Movement restrictions
Anxiety over security
Crowded homes
Reduced peer support
Stress of…"
24,,RT @soyjuancarrasco: Helou Miley Ray. You can also count with me. Spain is open for you. LOGROÑO is open for you and I invite you to singin…
25,,I'm really proud that to read that Spain is rising in it's global leadership role @sanchezcastejon 🇪🇸
26,,"RT @A_MacLullich: NB #delirium, reduced mobility, &amp; falls can be presenting features of #COVID19.

Very important esp at the front door as…"
27,,The effect of travel restrictions on the spread of the 2019 novel coronavirus (COVID-19) outbreak https://science.sciencemag.org/content/early/2020/03/05/science.aba9757 …
28,, Former Real Madrid president dies from coronavirus - WKMG News 6 & ClickOrlando  #ZirigozaGroup #e-commerce #marketing #ENKIL.es #8020 https://buff.ly/33Apjzf 
