,Positive,Negative
0,66,51
1,"Nope. The reason is because your US ""Government"" is bloody useless. On another note; remember when Trump said Corona virus probably isn't even a thing and if it was, it probably wouldn't even reach the US? Yeah... that hadn't aged well...","Also, people who are obese, with a BMI of over 30, are more likely to be admitted into intensive care & die from Coronavirus: Warning as major study claims most elderly victims 'would not have died otherwise' http://news.sky.com/story/coronavirus-warning-as-major-study-finds-most-elderly-victims-would-not-have-died-otherwise-11980675"
2,"The EU wants to support researchers, across borders, disciplines and healthcare systems. EU COVID19 Data Platform is for researchers to be able to store & share findings on #coronavirus. All researchers can join the EU data platform: #OpenAccess",Coronavirus: Why did Dominic Cummings say he predicted it? - does anyone really know what goes on in such a twisted mind? 
3,"Opinion: Fight coronavirus pessimism with true solidarity Faced with this future that condemns us, we rely on and answer with more solidarity, true solidarity, the one that makes us feel more together than ever in spite of the physical distance. ",Is there no depths to which Johnson won’t sink to get #DominicCummings off the front pages? Who won’t he kill #sackCummings #ToriesAreKillingUs #NotMovingOn Coronavirus: Shielders in England allowed outdoors again from Monday 
4,"This Week in Apps: Facebook launches trio of app experiments, TikTok gets spammed, plus coronavirus impacts on app economy ",People can shout all they want about ‘selfish’ people in Clapham Common. This was my local ice cream parlour - non stop queues from 2-5pm - very little organisation. Our politicians not people lost control of Coronavirus some time ago. If fact they’ve never had control. 
5,"Boris Johnson now ranks alongside Trump, Putin and Bolsonaro in his utter failure over coronavirus https://uk.news.yahoo.com/boris-johnson-now-ranks-alongside-071031447.html?soc_src=social-sh&amp;soc_trk=tw via @yahooNewsUK",Everyone knows that if you use the word 'racism' in the USA it has a mobilising force. The guy that committed the crime has been sacked and now will face trial. These are social riots due to the wider coronavirus social malaise and 'racism' long got lost in it all ages ago.
6,"I can exclusively confirm to you - my vast twitter audience - that, contrary to popular belief, I will NOT be hosting tomorrow's UK coronavirus briefing. This should not come as a surprise. Keir Starmer will likely also not be hosting, though we are not sure at this time.",Spain further eases coronavirus restrictions in four small islands 
7,Coronavirus: 'Don't tear the pants out of it' warns scientist on lockdown easing ,Spain's daily coronavirus death toll drops to a handful 
8,Enes Kanter says he heard that there are NBA stars who won't play without a coronavirus vaccine | Eurohoops ,"Italy records 111 new coronavirus deaths, 416 new cases "
9,"Is one of the side effects of coronavirus that, for a short space of time, we can admit that we don't always have the answers? ","Today for the 5th day in a row, Sweden has the HIGHEST number of coronavirus deaths in the world per capita. 5 days in a row! What's going on Sweden? "
10,Russia plans coronavirus vaccine clinical trials in two weeks: report ,"Friends don't push forward illegal immigrants in order to blackmail Europe. Further, it is evident that Turkish government does not provide true numbers of coronavirus cases and deaths in Turkey. PS I thought you were Assyrian."
11,"A second case of #coronavirus #2019nCoV has been confirmed in Queensland, bringing Australia’s total number of cases to nine. A Chinese man with coronavirus boarded a flight from Melbourne to the Gold Coast on 27 January ...","The death toll in Hubei, the Chinese province in which Wuhan is located, has risen to 204, the province’s health commissioner has said. #coronavirus #2019nCoV"
12,"A new case of #coronavirus #2019nCoV has been reported in France, taking their total up to six. The latest victim is a doctor. Air France has followed British Airways’ lead and is suspending flights into and out of China until 9 February. via @Guardian",A 15% fall in the PF in a week is put into perspective when your 13 year old son is going to be picked from school (we are abroad) by people in hazmat suits in an ambulance and taken to hospital for testing. Am almost certain he does not have Covid19 but frightening all the same.
13,"Italy confirms first two cases of #coronavirus #2019nCoV, according to Reuters. Italy is the fourth European country, after France, Finland and Germany, to have confirmed cases. PM Giuseppe Conte suspended air travel between Italy and China after the announcement. via @Guardian","And, at that moment, Johnson realised he'd brought the wrong props for the #CoronaVirus photo-op. #COVID19 "
14,Very informative and important thread regarding how #coronavirus #2019nCoV is transmitted and how to protect yourself and others (hint: wash your hands regularly and don't touch your face),"An example of how the #Iran regime is handling the #COVID19 outbreak: - Minu Mohrez, Health official - Feb. 24: Qom has to be quarantined, else the virus will spread. - Minu Mohrez - Feb. 27: Imposing a quarantine is for medieval times. I don't agree with it at all. "
15,Exotic animal food in Wuhan-China is the Main Cause of #coronavirus? https://www.liveleak.com/view?t=CJwfc_1580239584,"I’ve checked MSM - although low level, a pet of an owner with CoVID19, has been identified &amp; isolated in Hong Kong #Coronavirus"
16," Wear gloves when in public Avoid personal contacts Wash your hands regularly Sanitize surfaces daily Don’t bring dirty hands to your face Dont’s share forks/chopsticks Use masks &amp; protective gear Be smart, be safe! #Coronavirus https://www.nature.com/articles/d41586-020-00154-w?utm_source=twt_nnc&amp;utm_medium=social&amp;utm_campaign=naturenews","Worrying points on US ability to cope with Covid19 Coronavirus: -A test can cost $3,270 https://www.miamiherald.com/news/health-care/article240476806.html -Almost 1/3 private sector workers have no paid sick leave https://www.bls.gov/opub/ted/2019/private-industry-workers-with-sick-leave-benefits-received-8-days-per-year-at-20-years-of-service.htm -Trump fired the government's pandemic response unit in 2018 https://foreignpolicy.com/2020/01/31/coronavirus-china-trump-united-states-public-health-emergency-response/"
17,China Eastern Airlines has a huge job in maintenance and cleaning. Like all the other airlines flying to and from #China. #WuhanCoronavirusOutbreak #coronavirus #health #airports #medicine,"BREAKING: British cruise ship passenger dies from #COVID19 in Japan, health ministry says "
18,Thank you. I am sure he will be. At the moment everybody gets a bug and it must be Covid19. He did fly in out of Milan at half term but into airport and out so I would be very surprised if he was the first person to get from flying into and out of Milan.,Conspiracy theories and uncertainty are common companions in times of crisis and there is no exception with #Covid19. But trust in health experts is crucial for responding to this threat. Here a review on what research says about this https://bit.ly/32z46VL @DrDanielJolley
19,"#WordsCount Thread by @OneHealthUF : W/ the #COVID19 outbreak, it is important to use language responsibly. Here are the definitions: #Pandemic #PandemicsCost #SARS_CoV_2 #Isolation #Quarantine (per @CDCgov) #ContagiousWords https://threadreaderapp.com/thread/1232049188701011968.html Thank you @ilariacapua",#COVID19 panic has sent global #stocks tumbling in what could be the worst week since the 2008 crisis.
