,Positive,Negative
0,11,17
1,"Health Department spiking the coronavirus numbers, again. R/T if you believe the spike in deaths is to help Northam demand new rules to keep GOP in lockdown. http://thebullelephant.com/health-department-spiking-the-coronavirus-numbers-again/ via @bullelephant","Health officials shift tone on coronavirus, say elderly and sick at risk https://www.politico.com/news/2020/03/08/health-officials-coronavirus-elderly-sick-risk-123889 …"
2,Videos Show Chinese People Eating Bats As Experts Link Animal to Coronavirus Outbreak - ,
3,I was reading a article about the coronavirus talking about it orgins from snakes &amp; bats bruh you was really selling this to eat on top of people actually eating this then wonder why ,
4,Three possible coronavirus cases may be in metro Detroit area https://www.fox2detroit.com/news/three-possible-coronavirus-cases-may-be-in-metro-detroit-area …,
5,Videos Show Chinese People Eating Bats As Experts Link Animal to Coronavirus Outbreak - https://summit.news/2020/01/23/videos-show-chinese-people-eating-bats-as-experts-link-animal-to-coronavirus-outbreak/ …,
6,Update on student with symptoms of coronavirus >> https://fal.cn/36f23 ,
7,Update on student with symptoms of coronavirus >> https://fal.cn/36f1Z ,
8,Boston Man Becomes 8th U.S. Coronavirus Diagnosis http://bit.ly/2GMTyZa  via @BreitbartNews,
9,"""corona virus can be caught multiple times"" we don't know that yet.",
10,SOME SERIOUS INFO:...US military prepping for coronavirus pandemic https://www.militarytimes.com/news/your-military/2020/02/13/us-military-prepping-for-coronavirus-pandemic/#.XkcuE3O0dys.twitter …,
11,Coronavirus: Thousands queue to buy face masks in South Korea https://mol.im/a/8037595  via @MailOnline,
12,New England Journal of Medicine: Coronavirus Could Be No Worse than Flu http://bit.ly/3afv6MF  via @BreitbartNews,
13,RT @MilitaryHealth: International Health Specialists' experience in global health engagements proved important to support the @DeptofDefens…,
14,Change the World #TipswithTodd #COVID19 #KnuggetsofKnowledge https://t.co/JNxmrLFk2j,
15,Change the World #TipswithTodd #COVID19 #KnuggetsofKnowledge https://t.co/kQiN7UyCBh,
16,Very important read!,
17,Donald Trump Donates Fourth Quarter Salary to Health and Human Services to Fight Coronavirus http://bit.ly/2wtZJ25  via @BreitbartNews,
