,Positive,Negative
0,274,268
1,Mexican farmers give away tomatoes as demand squashed by coronavirus - ,China Opposes International Coronavirus Investigation That Presumes China's Guilt - Vice Foreign Minister
2,Facebook sees 'signs of stability' in ad spending after coronavirus drop - ,Poor handling of pandemic ‘could damage student recruitment’: financial losses for universities could amount to billions in nations perceived to have failed on tackling coronavirus outbreak https://bit.ly/2KLRTVw
3,"According to Calculator 4.6mn exam papers marked every day of the year would equate to 12,200 but obviously that doesn't happen whereas #Coronavirus testing will happen every day so you're right. Excuse me waffling on but like to be precise #Newsnight",Coronavirus Australia: MPs cry foul over billionaire Twiggy Forrest’s Chinese ambush Don’t touch test kits from China lots have been contaminated with COVID ask USA Twiggy must have CCP pockets looks like a load of CCP CN Butt kissing give twiggy da flick 
4,Thousands of health care workers demand investigation of hospitals' coronavirus response - https://covid19globalupdates.com/thousands-of-health-care-workers-demand-investigation-of-hospitals-coronavirus-response/,"UK Car Output Fell By An Annual 38% In March, Firms Face Losing Production Worth More Than 8 Billion Pounds ($10 Billion) Due To Coronavirus- Industry Body SMMT"
5,"Tesla posted a profitable first quarter despite the coronavirus crisis. Still, the electric carmaker said it couldn't promise that its unexpected profit will continue. ",#HealthJustice 'This is why Singapore's coronavirus cases are growing: a look inside the dismal living conditions of migrant workers' https://theconversation.com/this-is-why-singapores-coronavirus-cases-are-growing-a-look-inside-the-dismal-living-conditions-of-migrant-workers-136959?utm_source=twitter&amp;utm_medium=bylinetwitterbutton @ConversationEDU
6,Coronavirus-driven robotics adoption could become a fixture https://bit.ly/2Yjd758 #Robotics #logistics #SupplyChain #future,COVID-19: Osinbajo lists FG&#8217;s plans to cushion negative effect of coronavirus 
7,Coronavirus slashes UK car output as industry warns of big hit - ,"Too late. Too limited. Scarce testing. Not over yet. Jared Kushner Calls Coronavirus Response ‘a Great Success Story’ as Death Toll Nears 60,000 "
8,"Suzy Levi, who is the first Israeli medical worker to succumb to the coronavirus, died on April 26. A nurse, she worked at the Sheba Medical Center in Ramat Gan for almost a half century. Her sister died of Covid-19 two weeks ago. ",Coronavirus death toll shines light on ‘inequality’ in health care for African Americans - MSNBC 
9,Sending #Healing blessings to you! #JoyTrain #Joy #Love #MentalHealth #Mindfulness #GoldenHearts #IAM #Quote #CoronaVirus #COVID19 #IQRTG #ChooseLove #WednesdayMotivation #WednesdayMorning #WednesdayWisdom RT @loveGoldenHeart,The Coronavirus and Inequality Meet in Detroit - The New Yorker 
10,Our research reporter @cytkeenan shared his research on how popular Chinese platforms like WeChat helped spread a coronavirus origin conspiracy theory with @donie for a @CNN story on how disinformation spreads between countries,"Earth administration misled the world: in just a week from famine, water, cool shortage, more people have died than in THE ENTIRE Corona Virus pandemic; there is not a person who would not redirect WHO funds for answers in great construction, new architecture econplan, investors"
11,"S&P lowers Boeing's credit rating on coronavirus hit to earnings, cash flow - ",Times of India @timesofindia: Coronavirus LIVE: India to open up in phases; deaths cross 5000-mark. #aistrategy #AI #MachineLearning
12,"Despite coronavirus concerns, Trump wants to hold another Fourth of July celebration in downtown D.C. ",Coronavirus outbreak: B.C. premier extends provincial state of emergency due to COVID-19 | FULL - https://covid19globalupdates.com/coronavirus-outbreak-b-c-premier-extends-provincial-state-of-emergency-due-to-covid-19-full/
13,From @SPGlobalPlatts: Italian steelmakers resume after #coronavirus #COVID19 lockdown: http://ow.ly/9wMA50zshJf,French coronavirus case numbers extend decline https://www.reuters.com/article/us-health-coronavirus-france-casualties-idUSKBN2360OY?taid=5ed2d3dcb4f701000163234c&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter http://onerazz.com/2020/05/31/french-coronavirus-case-numbers-extend-decline-https-t-co-3lg6nmjmqq-https-t-co-9pjvvvhdze/
14,Florida governor announces plan to reopen Sunshine State on Monday after coronavirus shutdown - NBC News ,"avoid all these confusion cos I honestly don't see how any leader can really get anything done with all the confusion everywhere! Frm CoronaVirus-Minneapolis crisis- US-China trade war-economic sabotage-ethnicity-wanton killings etc, even leaders are human beings with limitations"
15,Coronavirus is shining a bright light on ils of poverty- what now? - The Rolla Daily News ,"As officials scramble to contain suspected COVID-19 cases, some unexpected spaces are being turned into quarantine camps | #Coronavirus "
16,Coronavirus: The last places on Earth which have no reported COVID-19 cases | World News | Sky News ,On the low I know y’all have offended THE FUCK out of the corona virus 
17,"Its 36 days since the lockdown started and 680,000 people have been tested for #coronavirus in UK that is a figure of 18,800 a day which is paltry. #Newsnight","Italy records 111 new coronavirus deaths, 416 new cases "
18,Russia plans coronavirus vaccine clinical trials in two weeks: Report ,The coronavirus crisis could push the US to adopt online voting by 2024 
19,"Best Coronavirus Projections, Predictions, Dashboards and Data Resources http://dlvr.it/RXgngj",BBC News - Coronavirus: WHO halts trials of hydroxychloroquine over safety fears 
20,"Where have you been? Because of small coronavirus, you disappear ","Coronavirus outbreak: B.C. reports 10 new cases of COVID-19, 2 new deaths | FULL - https://covid19globalupdates.com/coronavirus-outbreak-b-c-reports-10-new-cases-of-covid-19-2-new-deaths-full/"
21,"We Are One. We are Humans and we feel humanity. Don't loose compassion and love for your fellow brothers and sisters We are deeply saddened by the recent events in our world. Police brutality and the Corona virus pandemic. Not only do we stand in solidarity, but we are se… ",Increased border controls and #coronavirus testing of truck drivers put food security at risk in East Africa 
22,New study: Ethics in the Time of Coronavirus: Engaging the Conversation http://dlvr.it/RXgjXl @JAmCollSurg,Coronavirus outbreak: New Brunswick reintroduces certain restrictions in ‘Zone 5’ | FULL - https://covid19globalupdates.com/coronavirus-outbreak-new-brunswick-reintroduces-certain-restrictions-in-zone-5-full/
23,"Covid-19: The number of reported positive cases of #COVID19 has just surpassed 6 million worldwide, according to data from Johns Hopkins University and Medicine Coronavirus Resource Center ","Maria Ortiz kneels beside the body of her partner Jose Holguin, 50, who died of coronavirus complications in Harlem, New York. More photos of the week: https://reut.rs/2yHPfOa Andrew Kelly"
24,What Will Happen as the Coronavirus Pandemic Epicenter Moves to Latin America ,"Op-Ed: #CoronaVirus #Pandemic getting worse globally and what it means, writes Paul Wallis."
25,Ripple effect of the coronavirus: College baseball programs canceled ,Caribbean island nations face the double whammy of a hurricane season combined with a pandemic that has already drained public coffers and leveled tourism | #Climate #Coronavirus 
