,Positive,Negative
0,1,12
1,Now that I have an .@UprightPose #posture trainer I'm learning new ways to secretly #slump. ________ #Coronavirus #ChinaVirus #ImpeachmentTrial #Trump,Twitter has convinced me I long ago arrived on the wrong #planet. ________ #Coronavirus #WereAllGonnaDie #LiberalismIsAMentalDisorder #SenateTrial
2,"Pay attention.

#Patriots are in an all out internal war with the #deepstate.

#Trump has exposed them and their e v i l. Ds no longer hide their communist ideology.

#impeachment won’t nullify Election 2016 and it won’t derail Election 2020.

#KAG #truthwins
#coronavirus","Twitter has convinced me I long ago arrived on the wrong #planet.

________

#Coronavirus #WereAllGonnaDie #LiberalismIsAMentalDisorder #SenateTrial"
3,"Now that I have an .@UprightPose #posture trainer I'm learning new ways to secretly #slump. 

________

#Coronavirus #ChinaVirus #ImpeachmentTrial #Trump",The Coronavirus could end up being the black plague of the 21st century.
4,"#NicolleWallace is a coward.

Once she offs #Trump “politically” there is the matter of well more than 60 million Trump voters.

Many are #pewpew owners and do not off easily. Oh, “politically” of course.
________
#coronavirus #fakenews #EnemyOfThePeoplehttps://twitter.com/ChuckCallesto/status/1224841313474023425 …","No. D O U C H E. #RickWilson 

--------

#coronavirus #DonLemon #ThesePeopleAreSickhttps://twitter.com/SebGorka/status/1222358416225718272 …"
5,,"#BullSchiff 

Ds are covering up actions of the #BidenCrimeFamily because #Pelosi, #Romney, #Kerry et al.

#Ukraine is Dem ATM for laundered money.

--------

#Coronavirus #BoltonMustTestify #BoltonVideohttps://twitter.com/SenTedCruz/status/1222632045362470913 …"
6,,"#Trump's use of the word bullhockey describing Dems fake #impeachment pursuit:

Apologies to the refined but my #Missourian Mom would have approved this appellative for that unlawful, unconstitutional #WitchHunt.

Most don't comprehend the high stakes for 
________
#coronavirus"
7,,"Ninth US Case of Coronavirus Confirmed in Bay Area, California

https://www.theepochtimes.com/ninth-us-case-of-coronavirus-confirmed-in-bay-area-california_3224768.html …"
8,,China’s Coronavirus Figures Don’t Add Up. ‘This Never Happens With Real Data.’ https://www.barrons.com/articles/chinas-economic-data-have-always-raised-questions-its-coronavirus-numbers-do-too-51581622840 …
9,,"The coronavirus will speak for itself.   If it is virulent enough, contagious enough, & the medical labs are unable to get a vaccine soon enough, the market will adjust no matter what the administration has to say."
