,Positive,Negative
0,7,12
1,RT @SylvesterTurner: We are reopening our state at a fast pace. I agree with Dr. Fauci that we should practice the measures we were doing a…,everybody that’s going to florida the coronavirus not there or some ??? 
2,,Hmmm with the timing of the Coronavirus and the Netflix release of “Pandemic” is perfect. Everyone go watch it and educate yourself 
3,,Why are we not giving these coronavirus peeps haldi wala doodh?
4,,San Jac sent an email about the corona virus and damn that makes me want to drop out and take online classes
5,,"The World Health Organization out here doing population control with this coronavirus virus, since y’all popping out kids like they are tic tacs"
6,,who cares. I got some puts on SPY I'm holding over till Monday. say something false about the corona virus. like its cured by jelly beans or something.
7,,RT @tonetalks: Also @thereval needs to cancel his #covid19 March around Washington. Or offer health insurance to all the marchers if they g…
8,,"RT @dabeard: She said Florida fired her for wanting to tell the truth about the number of residents infected with #COVID19.

Now she's got…"
9,,Im definitely not having sex now. #Coronavirus
10,,I was gonna get some maternity clothes but the mall I wanted to go to got infected with the coronavirus so ima chill
11,,"I hope the old man that called me a wetback gets the coronavirus. 

Todo se puede en esta vida, Dios es muy grande."
