,Positive,Negative
0,10,7
1," WATCH On-Demand: Governor Lamont Briefing on the Coronavirus (Wed., April 29) http://ct-n.com/ctnplayer.asp?odID=17335",New Strain of Coronavirus Behind Lung Infections in China http://dlvr.it/RMlmmL  #Travel #China #Hongkongpic.twitter.com/Vu6KWKTcMH
2,"Believe it's SARS-related, but not enough knowledge on the strain to be sure. since it's a coronavirus, it will behave somewhat similarly.",Death toll from Wuhan coronavirus tops 100 as infection rate accelerates https://fox61.com/2020/01/28/death-toll-from-wuhan-coronavirus-tops-100-as-infection-rate-accelerates/?taid=5e30c556ecb7110001ba1e81&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/XJWbssAM3b
3,"""Japan Confirms First Case of New Chinese Coronavirus"" by BY SUI-LEE WEE via NYT New York Times https://nyti.ms/30xvZN2 ","Carona Virus is only a big thing right now because it’s a mystery. Here in Connecticut we may not have Corona Virus but we have the Flu. They flu has killled thousands more then Corona has. It’s just the new topic, the new trend."
4,"Mortality rates in Wuhan v. elsewhere: 

Yale doctors say it’s “case ascertainment bias.” Patients are more concentrated there. Many elsewhere who have contracted #coronavirus have had mild symptoms. #wfsb","China, Desperate to Stop Coronavirus, Turns Neighbor Against Neighbor https://nyti.ms/2GTJf5z "
5,"""‘I Feel Abandoned’: How Residents in Wuhan Are Coping With Coronavirus"" by BY MUYI XIAO, BARBARA MARCOLINI AND NATALIE RENEAU via NYT New York Times https://nyti.ms/3b8FTcH ",College campuses educate students and staff about coronavirus scare  http://via.fox61.com/kfOn6  via @FOX61News
6,"""Coronavirus Worsens U.S.-China Ties and Bolsters Hawks in Washington"" by BY STEVEN LEE MYERS AND EDWARD WONG via NYT New York Times https://nyti.ms/3bR7zTU ",HAPPENING NOW: A forum is being held at Yale University on educating students about the outbreak of the Coronavirus pic.twitter.com/tit78dBd3h
7,"Can wearing a face mask protect you from the new coronavirus (COVID-19)?
https://www.fox61.com/article/news/health/can-wearing-a-face-mask-protect-you-from-the-new-coronavirus/101-98a6dfed-951e-4f34-8557-7f32e5763d68 … #coronavirus #covid19","RT @SecularCT: .@GovNedLamont - We see allowing 100 people to gather for religious reasons as contradictory to this CDC post. 

Do you have…"
8,Will Hartford be hit by Coronavirus? I’m gonna go a little extra tomorrow when food shopping just to make sure,
9,Ok Do you know the cure to Corona virus?,
