,Positive,Negative
0,64,15
1,@WHO: NEW: WHO interim guidance on a range of topics to help countries manage the new #coronavirus  https://buff.ly/2sY8Sin  https://buff.ly/36KPow2 ,@WHO: NEW: WHO interim guidance:  Surveillance case definitions for human infection with a novel #coronavirus  https://buff.ly/2sY8Sin  (under ‘Technical documents’) https://buff.ly/2sdInVy 
2,"@WHO: WHO is reassured of the quality of the ongoing investigations and the response measures implemented on the novel #coronavirus (2019-nCoV) in #Wuhan, #China and the authorities’ commitment to share information regularly with WHO … https://buff.ly/2FIBTBq ",@WHO: NEW: WHO interim guidance:  Infection prevention and control during health care when a novel #coronavirus infection is suspected  https://buff.ly/2sY8Sin  (under ‘Technical documents’) https://buff.ly/2QGNcjJ 
3,"@WHO: RT @DrTedros: Today @WHO received genetic sequences for the novel #coronavirus (2019-nCoV) from Chinese authorities. I sincerely thank all the Chinese scientists and health workers who have been working around the clock, for their commitment to kee… https://buff.ly/2NhG9f0 ",@WHO: NEW: WHO interim guidance: Laboratory testing of human suspected cases of novel #coronavirus infection  https://buff.ly/2sY8Sin  (under ‘Technical documents’) https://buff.ly/2tNJQm4 
4,"@WHO: @WHOWPRO @DrTedros WHO encourages all countries to continue preparedness activities, and has issued interim guidance on how to do this. #coronavirus (2019-nCoV) https://buff.ly/3a33uuY ","@WHO: RT @WHOWPRO: On January 11, Chinese authorities reported to @WHO that, with use of the genomic test kit, the number of cases affected by the new coronavirus in #Wuhan, #China was narrowed from the previous 59 suspected cases to 41 cases. (1/3)"
5,"@WHO: @WHOWPRO @DrTedros WHO thanks the Chinese authorities for their commitment to sharing information on the novel #coronavirus (2019-nC0V) as they continue intensive surveillance and follow-up measures, including environmental investigations in #China… https://buff.ly/3a1aJDs ",@WHO: RT @WHO: Q&A on coronaviruses https://buff.ly/2uuZfrA  #coronavirus https://buff.ly/2uDyjWP 
6,@WHO: All of the WHO interim guidance and technical documents on novel #coronavirus will be updated as needed.  https://buff.ly/2sY8Sin  https://buff.ly/2TdBKh3 ,"@WHO: WHO advice for international travel and trade in relation to the outbreak of pneumonia caused by a new #coronavirus in Wuhan, #China https://buff.ly/2NdKaRW  https://buff.ly/39XRz1y "
7,"@WHO: Preliminary investigations conducted by the Chinese authorities have found no clear evidence of human-to-human transmission of the novel #coronavirus (2019-nCoV) identified in #Wuhan, #China. https://buff.ly/2ToYwme ",@WHO: Q&A on coronaviruses https://buff.ly/2uuZfrA  #coronavirus https://buff.ly/2uDyjWP 
8,@WHO: @WHOThailand @WHOSEARO @WHOWPRO WHO has issued guidance on how to detect and treat persons ill with the new #coronavirus (2019-nCoV) https://buff.ly/2Tm0mEj ,@WHO: NEW: WHO interim guidance: ‍‍ Clinical management - how to care for patients with severe acute respiratory infection when novel #coronavirus (nCoV) infection is suspected  https://buff.ly/37SPrWO  https://buff.ly/2QM6owE 
9,"@WHO: More comprehensive information and ongoing investigations are required to better understand the novel #coronavirus (2019-nCoV) outbreak’s epidemiology, clinical picture, source, modes of transmission, and extent of infection; as well as the counter… https://buff.ly/35Nkfab ","@WHO: @WHOWPRO @DrTedros Genetic sequences of the novel #coronavirus (2019-nCoV) will allow countries to develop specific diagnostic kits, quickly identify and then care for anyone infected, and ensure better health outcomes and containment of the virus. https://buff.ly/2QIKkTi "
10,"@WHO: The patient reported a history of visiting a local fresh market in Wuhan on a regular basis prior to the onset of illness; however, she did not report visiting the Huanan South China Seafood Market from where most of the novel #coronavirus (2019-nC… https://buff.ly/3a9ZXuR ",@WHO: BREAKING: WHO has received the genetic sequences for the novel #coronavirus (2019-nCoV) from the Chinese authorities. We expect them to be made publicly available as soon as possible. https://buff.ly/37YS3CM 
11,@WHO: Q: What can I do to protect myself from #coronavirus? A: https://buff.ly/2uuZfrA  https://buff.ly/372Oyeg ,@WHO: NEW:  WHO draft list of supplies needed for laboratories and health centers managing a novel #coronavirus.  https://buff.ly/2sY8Sin  (under ‘Technical documents’) https://buff.ly/2QKnWsX 
12,@WHO: RT @WHO: NEW: Diagnostic detection of novel #coronavirus (2019-nCoV) by real-time RT-PCR https://buff.ly/2sqrCXh  Note: This protocol has not been validated by WHO. More protocols will be posted when they become available https://buff.ly/2NswyCs ,@WHO: NEW:  WHO tool for national authorities to review their capacity to detect and respond to a novel #coronavirus  https://buff.ly/2sY8Sin  (under ‘Technical documents’) https://buff.ly/35KHEcj 
13,@WHO: NEW: Diagnostic detection of novel #coronavirus (2019-nCoV) by real-time RT-PCR https://buff.ly/2sqrCXh  Note: This protocol has not been validated by WHO. More protocols will be posted when they become available https://buff.ly/2NswyCs ,@WHO: Reduce your risk of #coronavirus infection: https://buff.ly/36LcD9n 
14,@WHO: RT @WHOJordan: What is a #coronavirus ? Where do they come from?  How can I protect myself? Watch this Q&A from @WHO for the answers. https://buff.ly/2tJ7eBg ,"@WHO: @WHOThailand @WHOSEARO @WHOWPRO Given the developments on the novel #coronavirus (2019-nC0V), WHO Director-General @DrTedros is consulting with Emergency Committee members and could call for a meeting of the committee on short notice … https://buff.ly/2TkLuX4 "
