,Positive,Negative
0,4,3
1,"These fine cops did the Reich thing. She has permission to go outside, its called the Constitution. #Lockdown #coronavirus ",Enshrine...who does not know that... Corona virus is enshrine in a disaster management of constitution too.... Just get real and shut up and grow up... Or stay in a corpsy shell of Stellenbosch...
2,"Gets blue collar job, works hard to be able to invest in real estate to get subsidiary forms of income, finally have enough to get one, Corona virus hits, becomes a massive fiscal deficit, now drowning in debt, barely skimming by and having to work even harder",Avengers end game -2019.... real life end game -2020! Corona virus is thanos 
3,rt @wef @mikequindazzi @antgrasso @fisher85m COVID-19: These countries show us what education looks like after lockdown http://bit.ly/2YYMgMd #coronavirus #education,@POTUS State of the Union: Protecting Americans’ health also means fighting infectious diseases. We are coordinating with Chinese government and working closely together on coronavirus outbreak in China. My administration will take all necessary steps to safeguard our citizens
4,"#coronavirus The entire planet is now uniting to fight corona, which means we finally get it: WE ARE **ALL** IN THIS TOGETHER, for better and for worse. If we are able to unite when things are bad, why can't we then unite to make things good BEFORE they are good?",Ummm what did he do wrong? It’s not his fault everyone fell for coronavirus. It’s not his fault animals are burning down cities.
5,Am sure the Chinese are not giving the right figures of the deaths from #CoronaVirus.,You're not infected with the corona virus; the corona virus is infected with you. I like your thinking dude.
6,Woo hoo! Spread that Communism and coronavirus!!! https://twitter.com/ShenYun/status/1221022811252281344 …,Why is trump INTENTIONALLY lying on twitter about #coronavirus Now see is this MOFO WANTING people to let down their guard which could cause more deaths I mean this is SICK that he is lying about this epidemic
7,"If their numbers are accurate, why no media? No pictures of how seamlessly they are handling this crisis? to those who have ears.

#Coronavirus","You literally let 15 people into the United States with corona virus because you had an “obligation” too. It is quite literally, your fault #COVID19 is here. https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vice-president-pence-members-coronavirus-task-force-press-conference/"
8,Every red dot will soon be a corona virus hot spot!,"Ethiopian ministry of health should stay alert and begin screening @flyethiopian airport for the new Chinese Coronavirus that has caused 2 deaths and more than 40 infections in China.

@lia_tadesse"
9,So glad Trump put Mike Pence in charge of the coronavirus problem. I worried he'd put Rush Limbaugh who just thinks it's a cold and a weapon the Dems created to piss Trump off.,"Not to be a hater, but armchair epidemiologists on Twitter are trash.

#coronavirus"
10,The fact that Trump put Pence in charge of a Coronavirus task force just shows how dumb Trump is. https://twitter.com/chrislhayes/status/1232814135022321664 …,"China Arrested Doctors Who Warned About Coronavirus Outbreak. Now Death Toll’s Rising, Stocks Are... https://news.yahoo.com/china-arrested-doctors-warned-coronavirus-111252311.html?soc_src=community&soc_trk=tw … via @Yahoo"
11,Pence will pray el coronavirus away.,"RT @NHSConfed: ""Remember to take care of you too!""

A plea from @Marsha_MHAdvMcr for chief executives, chairs and executive team members to…"
12,RT @TheWorldsLesson: Henrietta Fore @unicefchief is inviting you to join her and @UNICEF's youngest Goodwill Ambassador Millie Bobby Brown…,"RT @NCDCgov: FAQs ON #COVID19 CASE MANAGEMENT

Is #COVID19 a severe form of malaria?

Though #COVID19 presents with symptoms similar to mal…"
13,"RT @Ironhorse76: Let's get this show on the road!  FOLLOW ALL WHO: 

LIKE 
RT
COMMENT 

Nov will soon be upon us &amp; the #OrangeShitGibbon mu…","RT @subaduper: LMAO, these folks flew in to the country forcefully trying to evade the virus in their own country, but now it's ""Kenya's he…"
14,"RT @FamilyRightsGp: NEW: Delivering good practice initial assessments of family &amp; friends carers in the context of #COVID19
Designed to hel…","RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
15,"RT @geoffreywoo: It’s now published! 

I speak with @JamesTodaroMD, the man who sparked the retraction of the major @TheLancet hydroxychlor…","They're all going to be 'experts' in coronavirus next thanks to the Daily Fail and a dodgy paper doing the rounds. Which is *really annoying* bc then, if you try to put anyone straight, walls go up, they don't listen to you. So cynical, deliberately dividing people like that. :("
16,"RT @CherylBlueWave: OPEN SCHOOLS?  Are you out of your mind!

You just announced a dramatic spike in COVID cases. What the actual....

I ve…",
17,"RT @nokidhungry: Our fundraising events rely on culinary professionals donating their time, passion and heart to our work. But the #COVID19…",
18,"RT @NightShiftMD: The evidence is in. Wear a mask. If enough people follow that advice, it will make a big difference in preventing the spr…",
19,He does have a point about the coronavirus tests being as perfect as his letter.,
20,"If I had to rely on Trumps intelligence for the Coronavirus as well as when he had the trade Tariffs under control, we are all doomed.",
21,"What is the Democrat Coronavirus Doomsday Cult?

Did this come from right wing radio or Fox News?",
22,"For anyone concerned about #CoronaVirus
@DrDenaGrayson is a fantastic resource!",
23,@wokyleeks @Ginger624 @HunterJCullen @100FrogLegs @guitarviator Speaking of coronavirus...guess what? We’re hunkered down as of today. Found out today a Dell employee that was at a conference with my husband tested positive so we are in self quarantine through Friday. ,
24,"When Don Lemon loses it over Trump's coronavirus speech, John Kashich has to set him straight https://www.wnd.com/2020/03/don-lemon-loses-trumps-coronavirus-speech-john-kashich-set-straight/?utm_source=Twitter&utm_medium=PostSideSharingButtons&utm_campaign=websitesharingbuttons …",
