,Positive,Negative
0,20,8
1,"NBC News: Trump administration asks intelligence agencies to find out whether China, WHO hid info on coronavirus pandemic. https://www.nbcnews.com/politics/national-security/trump-administration-asks-intelligence-agencies-find-out-whether-china-who-n1194451?cid=googlenews-politics via @GoogleNews This should be interesting they don't believe the reports about Russia but then want info on #China &amp; #WHO.",Russia’s coronavirus outbreak is getting bad. Putin says the worst is yet to come. - Vox 
2,87 in Lagos and you still wanna go out for meagre reasons?? Coronavirus sighting you outside on the 4th of May: ,"The coronavirus pandemic is steeped in uncertainty, confusion, shifting information, and muddled messages. Here’s a guide to cutting through it all, from @edyong209:"
3,@EAMaddenNFL hey maybe while this whole coronavirus thing is going on you fucking morons could work on the pube string coding you got going on here,the corona virus is shook
4,@WaseemBadami You verbally and practically spread awareness regarding #coronavirus through your shows to the best of your ability. God bless u and save us all from this awful disease! ,JANET STREET-PORTER: Brits could die from coronavirus complacency  https://mol.im/a/7997597  via @MailOnline
5,@WaseemBadami You verbally and practically spread awareness regarding #coronavirus through your shows. God bless u and save us all from this awful disease! ,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
6,"Believe you can and you're halfway there. Coronavirus will not defeat us. We shall overcome, 2,727,137 people recovered globally as at this day. #chinesevirus","RT @EmekaOkoloH2: @IAmRonaldX @NCDCgov Before now, Anosmia and loss of taste are not known symptoms of #covid19. So there was no way I coul…"
7,I’m more concerned with White Supremacy than I ever was with coronavirus.,"6 coronavirus deaths confirmed in Washington state
https://cnn.it/3cyJ1iW "
8,I won’t take the coronavirus cure unless a woman creates it. Said no ever! ,I have the corona virus
9,If someone gave me the option I’ll take a dose of the coronavirus if that means they don’t win,I realise this is a tiny violin observation to the lawyer/liar cynics but if the coronavirus knocks the courts out for a while as well as criminal justice chaos more than a few barristers will be bankrupted.
10,Novel coronavirus complete genome from the Wuhan outbreak now available in GenBank https://ncbiinsights.ncbi.nlm.nih.gov/2020/01/13/novel-coronavirus/ … via @NCBI,Follow corona virus for 5k?
11,#HAPPYHEARTDAY: LOVE In the Time of Corona Virus https://youtu.be/xvYAEMMkIVA  via @YouTube,
12,"RT @ii_tunes: 😂😂 what were you expecting 

#Be2Sure 
#COVID19 
#nkemowoh https://t.co/n75eHBv9q3",
13,RT @sarkodie: You guys got me on @JumiaGhana and I’m hooked 😊👌🏾 ... perfect way to shop without stepping out ... very essential in these #C…,
14,@rahulkanwal any story on this,
15,RT @jenncanvasser: @eerogersmd @Ped_Research @DDukhovny @MolloyElesean @cynobear @ccroehr @EBNEO @ESPNIC_Society @ProfitJochen @Jenny_Quinn…,
16,"RT @ianbremmer: If California were an independent country, it would have the 5th largest economy in the world. A pre #COVID19 #GraphicTruth…",
17,"RT @WestPoint_USMA: Under the experienced leadership of our command team, West Point stands ready and is leading through the fight of #COVI…",
18,"#Trump keeps making things worse. He & #Pence are not capable of keeping us safe in the #USA and who keeps covering for Trump?? #TrumpVirus. #Trumpdemic #DumpTrump
#JoeBiden2020
#VoteBlueNoMatterWho #coronavirus #CoronaVirusUpdates #CoronavirusOutbreak #CoronaVirusUpdatehttps://twitter.com/gtconway3d/status/1237599302056173574 …",
19,How many lawsuits is the coronavirus going to create?,
