,Positive,Negative
0,16,12
1,Abortion shapes God’s Justice. It has to be eliminated from the world for us to be safe again. #Covid_19 #Covid19UK #coronavirus #LockdownEnd #lockdown #Quarantine #AbortionIsMurder #abortion #AllLivesMatter #ChooseLife #prochoice #reproductivejustice #ProLife #prolifegen,#BREAKING 30 people in Japan confirmed infected with coronavirus. Japan has the most confirmed cases of coronavirus after China.: #BREAKING 30 people in Japan confirmed infected with coronavirus. Japan has the most confirmed cases of coronavirus after… http://dlvr.it/RPPClV 
2,Kerby Jean-Raymond Is Supporting Communities Affected by Coronavirus https://www.elle.com/fashion/a31780848/kerby-jean-raymond-pyer-moss-coronavirus/ via @,There are a lot of misconceptions causing panic amongst the population due to the outbreak of Corona Virus. I will be writing some facts over the next few days to reveal the truth about this virus and help dispel some myths which may be frightening you. #DrMargo #coronaoutbreak
3,"Cut air pollution to help avoid second coronavirus peak, MPs urge ",
4,Pa be strong with all this poison floating around in the air...called coronavirus...I can feel it... Mars ,
5,"Please @CDCgov change your recommendations. The world is watching. This is not responsible and thoughtful. @CDC_eHealth @CDCGlobal Cut air pollution to help avoid second coronavirus peak, MPs urge - https://www.theguardian.com/environment/2020/may/29/cut-air-pollution-avoid-second-coronavirus-peak-mps-urge?CMP=Share_AndroidApp_Copy_to_clipboard",
6,Factbox: Latest on the worldwide spread of the coronavirus ,
7,"BBC News - Coronavirus: What attacks on Asians reveal about American identity, By Helier Cheung &amp; Zhaoyin Feng &amp; Boer Deng https://www.bbc.co.uk/news/world-us-canada-52714804 via @BBCWorld",
8,Expanding #bike storage in #UK #trains #socialdistancing: a #creative idea that does not demand further financial investment rather than #creativity and goodwill to #change. Let ´s do not be blocked emotionally to find answers #coronavirus #COVIDー19,
9,"⁦@CDCgov⁩ Centers for Disease Control and Prevention is closely monitoring an outbreak caused by a novel (new) #coronavirus in Wuhan City, Hubei Province, China   Novel Coronavirus 2019 | CDC https://www.cdc.gov/coronavirus/novel-coronavirus-2019.html …",
10,"Coronavirus: Legal Issues Employers Should be Aware of.

The February issue of HR Legal & Compliance Excellence is live. This digital publication helps organizations on legal issues relating to HR. 

Enjoy your complimentary copy here: https://okt.to/ArFhEm pic.twitter.com/3vmERZkpcj",
11,Hubei province was expected to release a 6 a.m. update on coronavirus. It is now 7:30 a.m. and nothing yet. It has never been this late since they started doing daily updates at 6 a.m.: Hubei province was expected to release a 6 a.m. update… http://bit.ly/2weAKjt  #CORONAVIRUS,
12,The patient was a 77-year-old man in Monselice in northern Italy https://twitter.com/BNODesk/status/1230984826599215106 … …: The patient was a 77-year-old man in Monselice in northern Italy https://twitter.com/BNODesk/status/1230984826599215106 … … http://bit.ly/38P8x13  #CORONAVIRUS,
13,"RT @ShingetsuNews: Karaoke shops in Tokyo have been allowed to reopen, but masks, face shields, and other coronavirus anti-infection measur…",
14,"RT @IrexitFreedom: Our ChairWoman Professor Dolores Cahill has more expertise,experience and qualifications around #Covid19 than the entire…",
15,"Bump the corona virus, y’all need to stop catching the pregnant",
16,Equinor suspends helicopter flights while waiting on coronavirus results https://ift.tt/38GVYEb ,
17,"Profit still rolls in...

Coronavirus triggers sharp rise in price of pain relief medication

https://www.theguardian.com/world/2020/mar/12/coronavirus-triggers-sharp-rise-in-price-of-pain-relief-medication?CMP=Share_AndroidApp_Tweet …",
18,"I am an amateur player, been on front lines fighting to prevent Coronavirus (COVID-19) in mid-Atlantic, now on lock down. Would love to take time to improve my game",
