,Positive,Negative
0,8,18
1,"[WATCH] Coronavirus: Face masks, hand sanitisers sold out https://www.themalaysianinsight.com/v/215939?utm_source=dlvr.it&amp;utm_medium=twitter",Coronavirus outbreak has been declared public health emergency by WHO.
2,China’s Wuhan admit new coronavirus can transmit human-to-human https://theleaders-online.com/chinas-wuhan-admit-new-coronavirus-can-transmit-human-to-human/ …,Coronavirus: Four more individuals detained for spreading fake news https://socialmediamalaysia.my/blog/2020/01/31/coronavirus-four-more-individuals-detained-for-spreading-fake-news/
3,U.S. to screen passengers for new China coronavirus at three airports https://theleaders-online.com/u-s-to-screen-passengers-for-new-china-coronavirus-at-three-airports/ …,My students and @FACArtsComm staff made a short info film about the #coronavirus. Worth a watch: https://youtu.be/4u1-bK8nih0. Do #masks work? Is the #corona #virus breeding #racism? Are people overreacting? @HELPUni #muhan #China. Should I be shaving off my #beard? Are scare stories?
4,On high alert against Wuhan coronavirus https://www.themalaysianinsight.com/g/214976?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/Wpn61xINoI,Coronavirus death toll in China hits 54 https://www.themalaysianinsight.com/s/215000?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/eujK4XU4zY
5,Coronavirus questions answered https://youtu.be/QnSbyoXnyRo  via @YouTube,China’s coronavirus death toll hits 717 https://www.themalaysianinsight.com/s/217680?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/M029z4PZZ5
6,#coronavirus Youtube Moonjay goodman pic.twitter.com/uJHQ9jRHUc,China coronavirus death toll soars to 803 https://www.themalaysianinsight.com/s/217847?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/s2DLZEjmrf
7,#coronavirus Youtube Moonjay goodman pic.twitter.com/c1DWr34Fmu,China coronavirus death toll tops 490 https://www.themalaysianinsight.com/s/217047?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/dJM1iMpUGZ
8,"Video is good and concise. Explains it well and how to deal with the corona virus

What is the coronavirus? https://youtu.be/aerq4byr7ps  via @YouTube",10 Italian towns in lockdown over coronavirus fears https://www.themalaysianinsight.com/s/220785?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/XitGtmRRxY
9,Hong Kong becomes a tenant’s market as coronavirus puts home rentals on slippery slope http://dlvr.it/RPrrMD pic.twitter.com/3ft9AIG73M,"#Covid19: 43 New Cases, Including 38 Local Infections https://t.co/Xfd6PVKHx5 via @The True Net
#thetruenet… https://t.co/wgzpsXOKjm"
10,"RT @CyberSecDN: #Infosec20: Resilience Required to Survive #COVID19 Pandemic, Says UBER CIO https://t.co/sVqmkURepJ #InfoSecMag via @Securi…","RT @adibahnoor: Dont let this happen in our country.
Please adhere to the needs of the new normal.
Dont be selfish."
11,RT @Mommajaayyy: Love My daily visitor(s) ❤️❤️❤️.  #hummingbird #nature #peace #peaceful #love #COVID19 #birdwatching #Boston #SaturdayThou…,
12,You will be missed. Thank you datuk for everything. You deserve the whole world and respect,
