,Positive,Negative
0,2,4
1,"I have to say too, if we don’t see a spike in corona virus cases, something is not gonna add up ",I’m sure Tony Stark saw the real Tony Stark @elonmusk doing history along with the two astronauts @AstroBehnken @Astro_Doug who happen to be the safest people from #Coronavirus 
2,"No fatalities reported yet happily, but could be d/t the age spread of current cases; still no idea what it even is, but my guess is novel coronavirus. It's def an exciting part of my job (without any intention of minimizing the real and devastating effect on those impacted).",It took them 6 days to realize that 6th person was infected from coronavirus. So there are others that dont know they’re infected yet....
3,"Another Case of Coronavirus Confirmed in Bay Area, Marking 4th in California and 9th in U.S. http://on.ktla.com/5b8T0  via @ktla",Should I be nervous that daughter’s school sent an email regarding that Novel Coronavirus...? I mean.. is it just precautionary info OR was there a student on campus with the virus?! 
4,"Bong Joon Ho is home in #Seoul, says upon arrival: “Thank you for the applause, I would like send a round of applause back to you all for coping so well with the coronavirus...I will join the effort to overcome the virus by washing my hands diligently. Happy to be home.” pic.twitter.com/3VxdMkQZ5k"," when they appoint illiterate as efcc boss to fight crime ,how can he point corruption as corona virus LMAO"
5,"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…",Secretive Church Sect At The Center Of South Korea's Coronavirus Outbreak https://www.npr.org/sections/goatsandsoda/2020/02/24/808914718/secretive-church-sect-at-the-center-of-south-koreas-coronavirus-outbreak?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social …
6,"The pros and cons of the Coronavirus 

Cons: a lot of people are dying
Pros: overpopulation is being solved",Corona virus will solve the homeless crises. When there are 50k dead they’ll say homelessness is at an all time low
7,"maybe if you stopped sharing all these random peoples “information” on the coronavirus and went to legit sources, you wouldn’t be panicking so hard rn ","Coronavirus, you suck and Gov Gavin Nuwsom just restricted bars and restaurants in California as things get worse... https://designinglife.biz/coronavirus-sucks/ …pic.twitter.com/ItQyuSk4go"
8,Impact of the Coronavirus on the U.S. Housing Market https://www.simplifyingthemarket.com/en/2020/03/05/impact-of-the-coronavirus-on-the-u-s-housing-market/?a=319345-831bf89c3a6dfa325c2b5489d86c9602 …,
9,"Jason, are you gonna make ""The Purge against the coronavirus""?",
