,Positive,Negative
0,9,6
1,well - I have learned that #coronavirus is mutating and learning pretty fast - but reaching Twitter so fast is impressing me  pic.twitter.com/SOLBX0LDSY,Trump imploded the #JCPOA and subsequently imposed harsh sanctions which decimated Iran’s health care system (Sanctions that the UN has compared to a blockade and called inhumane and illegal) #Pompeo @GOP have more blood on their hands @CNN @MSNBC @maddow #coronavirus #COVID19 
2,"“[#Chunyun] has been called the largest annual Human migration in the world.”

Only 5 major cities #quarantined.

Perfect storm for #pandemic. 900 cases, most confirmed by the reputable sources who lied about the 2003 #SARS cases by an order of magnitude. 

#coronavirus #Wuhan",I won’t be too concerned about the #COVID19US outbreak until there’s a confirmed case at Atlanta’s Hartsfield-Jackson International Airport. #COVID19
3,My dad had a branch of the coronavirus. So thankful he’s okay. ,Almost 500 fresh confirmed cases of #coronavirus just released. And these are the ones they are telling us about. China only lied about #SARS cases by a factor of 10 in 2003. #WuhanCoronavirus
4,Probably market buy $NDX because @realDonaldTrump says stocks are looking good and #coronavirus is under control,"China solved #Wuhan #coronavirus , they just don’t release any new stats now, situation is solved. @realDonaldTrump wasn’t lying when he said Xi was doing a beast job."
5,"Trump nominates Mike Pence as Coronavirus Czar

#CoronavirusOutbreak #coronavirususa #CoronaVirusUpdates #COVID2019",Coronavirus outbreak spells trouble for China’s banks https://www.ft.com/content/deb2f19a-4d44-11ea-95a0-43d18ec715f5 … via @financialtimes
6,,RT @karynmaughan: South Africa now ranked 21 in the world for its number of #COVID19 infections. It has most cases in Africa - 20000 more t…
7,,"What is the most bizarre in such ""studies"" that  non of the researchers is epidemiologist, virologist or microbiolo… https://t.co/Kzindg7PVs"
8,,RT @DrTomFrieden: 2 million cases is just the tip of the iceberg of how #COVID19 is spreading. Looking at identified deaths and the latest…
9,,"Short this garbage with leverage

#coronavirus #COVIDー19 #COVID19
$RCL $CCL"
10,,"What about faculty and staff? Does Corona virus not spread amongst them? HEC has given notice that all faculty and staff must still come to ""complete hours"". Every first world country has asked people to work from home which is also logical. Truly shows an ingrained  mentality."
