,Positive,Negative
0,20,43
1,Do you believe in miracles? YES! #covid19 #coronavirus,Among the major changes coming to our post #COVID19 economy...residential and commercial tenants defaulting em masse on their leases...tourism way down...restaurants/malls foot traffic way down and fewer movie theatres. #coronavirus #USA #Canada
2,Canada's first 'presumptive positive' case of coronavirus found in Ontario http://dlvr.it/RNllNR pic.twitter.com/RK3DM2hErk,Follow along and stay updated with our #coronavirus in Canada blog: 
3,"As other countries begin removing citizens from areas of China hit by the coronavirus, Canada announces similar plans but without a clear timeline. Nigel Newlove reports. https://bddy.me/37yXsAx ",Brazil leaves its many poor hanging amid coronavirus surge. https://montreal.citynews.ca/2020/04/29/brazil-leaves-its-many-poor-hanging-amid-coronavirus-surge/
4,RT @colvilleandersn: Again the tables in my favourite street - great Friday night. The loosened #covid19 regulations for taking back urban…,Breaking: Trump White House Orders Intelligence Agencies to Comb Communications on China-World Health Organization Collusion on Coronavirus https://www.thegatewaypundit.com/2020/04/breaking-trump-white-house-orders-intelligence-agencies-comb-communications-china-world-health-organization-collusion-coronavirus/?utm_source=Twitter&amp;utm_medium=PostSideSharingButtons&amp;utm_campaign=websitesharingbuttons via @gatewaypundit
5,"RT @UNICEF: Singing 🎤, filming 🎥 and learning 📖 

This is how nine-year-old Ria stays connected and healthy during New York's #COVID19 lock…",More national and international media starting to recognize how poorly Quebec has done on the #coronavirus file. Don't allow the first couple days to fool you- Premier Legault and his team presided over a mass casualty event that could have been mitigated. @francoislegault
6,A wonderful initiative.,"It was a Hoax remember ? United States Coronavirus Cases: 1,810,937 Deaths: 105,325"
7,@realDonaldTrump Folle the wisdom of #BobbyKennedy - Trump has done the opposite in #COVID19 and #GeorgeFloyd  and #ConfederateStatues,"No, You Still Can't Have Hook-Ups, But Quebec Does Have Some Other 'Recommendations' http://zpr.io/tBJc9 #Montreal #COVID19 #Coronavirus"
8,Isn't he the one who also asked her during one of the first QPs in January if they had stockpiled vaccines for the coronavirus? He seems uhmm...not that bright.,"So the World Health Organization declares coronavirus outbreak a public health emergency, please use all the sanitary precautions so it doesn’t spread even more Hope the experts find a cure "
9,"I'm not sure what's more scary, Donald Trump explaining the coronavirus or Wolf Blitzer yelling Super Tuesday results....","Charmant. Utiliser le hashtag coronavirus juste pour grossir son audience. ""Major news events present opportunities for conspiracy theorists to broaden their viewership."" "
10,"Italy’s wealthiest region is sealed off, while a top health official says lockdowns in the U.S. are possible. Caryn Ceolin with how the global fight against coronavirus is intensifying. https://bddy.me/3cGUg8O ",Drop GTA 6 @RockstarGames before coronavirus wipe us man ffs
11,,Read this thread. #coronavirus 
12,,Brossard mayor calls out racist misinformation about coronavirus and local Chinese sommunity http://dlvr.it/RP4lJG
13,,"Some merchants notice a definite lull lately. Some like Dobe and Andy Restaurant say they believe some people are staying away because of worries over #Coronavirus but hoping it’s short lived, adding that they remain open for business. #CJAD800"
14,,Merchants in Chinatown feeling the ripple effect of #Coronavirus. One restaurant posted a sign advising recent visitors from China to stay away for at least two weeks but took it down after a day saying it was awkward to refuse customers &amp; make them uneasy for nothing. #CJAD800
15,,"Working in the infection control industry, I can tell you first-hand that consumer panic around the coronavirus outbreak is already causing supply issues for hospitals &amp; other healthcare agencies. Get properly informed. The panic is not merited or helpful."
16,,"First case of #COVID19 reported in Montreal, info from our Uni Taking a flight today Wash your hands #AlertNotAnxious"
17,,Lived in #Toronto during the #SARS outbreak... it was not pretty...#healthcare #coronavirus https://www.nbcnews.com/news/amp/ncna1115376 …
18,,Trudeau Airport taking precautionary measures over coronavirus http://dlvr.it/RNJjy3 pic.twitter.com/CFHhfDJ6cF
19,,"All these women are now dead or dying from the Coronavirus, this guy was truly playing the long game. Rest in peace aunties."
20,,Health officials announce ‘presumptive’ case of coronavirus in Toronto | http://Globalnews.ca  https://globalnews.ca/news/6462626/coronavirus-toronto-hospital/ …
21,,"So the World Health Organization declares coronavirus outbreak a public health emergency, please use all the sanitary precautions so it doesn’t spread even more
Hope the experts find a cure 
 
https://twitter.com/i/events/1222652004838690816 …"
22,,"As the number of cases in the coronavirus outbreak rises, its reach around the world is expanding.

http://trib.al/8wmkd5n "
23,,"Or, if you drink too much shitty beer with fruit in it, instead of a hangover,  you have the coronavirus!"
24,,"Sir.  Can I ask you to share your insight into this trending panic?  Globally, 800 people died of SARS.  This year in Canada, 3000 will die of influenza.  I think there's less than 10 dead in China of corona virus.  Why the fuss? Thank you."
25,,Montreal Airport & Hospitals Are Taking Precautions In Response To Deadly New Coronavirus https://www.mtlblog.com/news/canada/qc/montreal/new-coronavirus-leads-montreal-airport-and-local-hospitals-to-take-precautions …
26,,"Montreal Airport & hospitals are taking precautions in response to deadly new coronavirus.

#canada #quebec #montreal #coronavirus
http://bit.ly/3aul7nz "
27,,"#Coronavirus

Stay safe. Its not looking good.

We will get over this.

Countries who reported Corona virus
 -China
- US
- France
- Japan
- South Korea
- Taiwan
- Singapore
- Thailand
- Aus
- Nepal
- Vietnam
- Hong Kong
- Macau
- Malaysia
- Canada
- Cambodia
- Sri Lanka
- Germany"
28,,"Honestly, all the imports and exports happen with China so coronavirus will spread 

It's like playing Call of Duty infected you touch, you play infected FUCCCCK"
29,,What you need to know about the Wuhan coronavirus https://youtu.be/Q_4fIkc2k6g  via @YouTube
30,,Pressure mounting on the World Health Organization to decide whether to sound an international alarm over the new coronavirus. Caryn Ceolin with how the world is preparing its defences. https://bddy.me/36BDOTk 
31,,Here's a slide from our upcoming animation on the news coronavirus. pic.twitter.com/WkS4c6Qa3f
32,,"#coronavirus 
How are all the masks being disposed of?Are there places2deposit them safely?Are they incinerated?I ask b/c if people are isolated for 14 days, what happens to all the masks worn by infected+non-infected alike?Can this virus grow in garbage/ground or in the air etc?"
33,,Interview with Dr. Eric Rubin and Dr. Lindsey Baden on what physicians need to know about the current 2019 Novel Coronavirus outbreak. | NEJM https://www.nejm.org/action/showMediaPlayer?doi=10.1056%2FNEJMdo005701&query=TOC#.XkSKt-TgMzU.twitter …
34,,"#CoronavirusUpdates
#coronavirus
.
Data-Based Analysis, Modelling and Forecasting of the novel Coronavirus (2019-nCoV) outbreak !!http://disq.us/t/3m4xbrs "
35,,"Foreign Affairs Minister Francois-Philippe Champagne is advising Canadians to “check before you go” when it comes to the coronavirus and overseas trips. The advice comes weeks before March break, when many Canadians will travel overseas. https://bddy.me/37ZnGeX "
36,,Map: Here's where coronavirus cases have been confirmed https://www.nbcnews.com/health/health-news/coronavirus-map-confirmed-cases-2020-n1120686 … via @nbcnews
37,,"Not a useful comparison, I'm afraid. If coronavirus becomes a full-fledged pandemic, millions of people will need acute care, overwhelm emergency services. Containment and other measures will strain state budgets, lead to social and political unrest. Etc, etc."
38,,first case of the coronavirus in montreal. its really happening. https://twitter.com/LP_LaPresse/status/1233177758169088000 …
39,,"RT @dustynlanz: The gap between science &amp; public policy on #COVID19 aerosols has made me feel like I'm losing my mind

The latest research…"
40,,"RT @Aaron_Derfel: 1) For what appears to be the first time in the #pandemic, the city of Toronto surpassed Montreal in the number of new #C…"
41,,"""Whether it's a matter of faulty detection, climatic factors or simple fluke, the remarkably low rate of coronavirus infection in African countries, with their fragile health systems, continues to puzzle – and worry – experts."" https://twitter.com/FRANCE24/status/1234115814720077826 …"
42,,Why are people buying all the toilet paper to prepare for the apocalypse?!  I don’t get it... #COVID19 #CoronavirusOutbreak #Coronavirus
43,,@AirCanada what happens to our tickets if we have to cancel our trip to Disney World because of Coronavirus? We bought our tickets in February so the 1 year rebooking doesn’t seem to apply
44,,Coronavirus story provides chance to push service journalism https://bddy.me/3aOj3pT 
