,Positive,Negative
0,3,5
1,It was an international airline. Writing ‘Lavatory for cabin crews only’ in KOREAN ONLY means keeping a specific ethnicity from using the lavatory. The attendant explained it was to protect cabin crew from potential coronavirus carriers. Is it now clear to you?,"No case of a child passing coronavirus to an adult exists, evidence review shows' | via @telegraph"
2,,Coronavirus: ‘Hectic day’ before lockdown measures relaxed – NEWPAPER24 
3,,"#Coronavirus is not a #pandemic, at least not yet - some clarity on the definition World Health Organization #COVID19 https://lnkd.in/dT7fwXn"
4,,RT @Thomas_Wilckens: THIS IS HOT STUFF Prevalence of Asymptomatic #coronavirus Infection Up to 80% Infections without symtoms https://t.co/…
5,,Be inspired by the spirit of the Italian people + share your empathy daily! https://t.co/Uw37z2v4Qh #covid19… https://t.co/gsI5stRzh5
6,,"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…"
7,,RT @UMoodco: Urban Mood masks are all handmade by the artisans of small European workshops. Very high quality materials are picked by our t…
8,,RT @captainsacks: I don't want to say I told you so... but we did tell them #MasksSaveLives #CoronavirusOutbreak
9,,"RT @ummymwalimu: Today, I visited Mkonze Health Centre which has been designated as an Isolation Centre for COVID-19 patients in Dodoma. Ha…"
10,,"RT @avkwong: I suspect there are hospitals in UK with more ventilators than ENTIRE African countries....

#COVID19 #esicmtv https://t.co/5G…"
11,,RT @drdavidsamadi: NO SECOND WAVE.  The toughest part of #COVID19 is behind us. This was a nursing home virus.  Small baby waves and spikes…
