,Positive,Negative
0,54,29
1,Coronavirus government response: Trump rejects a new normal: ‘This is going away’ ,"Fed holds interest rates near zero, vows forceful action amid coronavirus's economic fallout "
2,Shipping container medical rooms for #coronavirus patients now in D.C. - Washington Business Journal https://buff.ly/355swHC #COVID19 #shippingcontainer,"The coronavirus started in bats, then may have jumped t rateo pangolins In the past 45 years, at least three other pandemics (besides SARS) have been traced back to bats. Ebola, which has killed 13,500 since 1976; Mes, found in r28 countries; the Nipah virus, has a 78% fatality "
3,‘World vs. Virus’: Trump White House selling coronavirus souvenir coins https://coronaviruscall.com/world-vs-virus-trump-white-house-selling-coronavirus-souvenir-coins/,"It seems there's also lack of diversity among the recently deceased from coronavirus, at least for now."
4,How Coronavirus Created The Perfect Conditions For Conspiracy Theories https://www.huffpost.com/entry/coronavirus-conspiracy-theories-misinformation-social-media_n_5ea9e762c5b6a89866f9cec6 #COVID19,Is your child concerned about #coronavirus and other recent events? Our expert Sharon Selby (@child_family) shares tips on how you can help them manage their #anxiety.
5,"Russia to start coronavirus vaccine clinical trials in two weeks, health minister says ","Crazy, #KimJongUn just put the world on notice. He's prepared to cull his population or shoot anyone who enters the country infected. #COVID19"
6,Guest At Packed Memorial Day Weekend Pool Party Tests Positive For Coronavirus https://www.huffpost.com/entry/lake-of-the-ozarks-partygoer-coronavirus_n_5ed22951c5b65c5a49952b60 #COVID19,"See, how do you deal with a situation where a barista visibly looks sick, but she's still working? I asked her if she is well. She says, yes. Points to her nose, says ok. She doesn't speak a lick of english. Doesn't understand it much either. No COVID19 awareness Spread?"
7,#Flu season is basically November to May .. Expect the #PPE nonsense to start again in November tho ‘they’ are promising this time you will have a reason to wear it. #Covid19 #Coronavirus,"Three U.S. Airports to Screen Passengers for Chinese Coronavirus 
Passengers from Wuhan, China, will screened for infection at J.F.K. beginning Friday night, and in San Francisco and Los Angeles starting Saturday. https://nyti.ms/2G0j1Os "
8,Good news for the astronauts: the coronavirus doesn't exist in outer space.,God!  The stupidity has started!  I’m not going to comment on the coronavirus going forward. Too many experts who have zero medical training! https://twitter.com/barogue1_can/status/1221213696841715713 …
9,"SPR member, Dr. Mark Denison, was featured in a Bloomberg @business article discussing the spread of #Coronavirus. Denison is Director of #InfectiousDiseases and #pediatrics professor at @VUmedicine. Read the article here: https://bloom.bg/2HEBUXU #COVID19 ","From NPR News How Does Wuhan Coronavirus Compare With MERS, SARS And The Common Cold? https://www.npr.org/sections/goatsandsoda/2020/01/22/798277557/how-does-wuhan-coronavirus-compare-to-mers-sars-and-the-common-cold?sc=18&f=798277557 …"
