,Positive,Negative
0,19,9
1,"Good grief. Rally opposing coronavirus restrictions draws activists, militia leaders to eastern Oregon ",Florida medical examiners were releasing coronavirus death data. The state made them stop 
2,"My mom was one of the passengers on the cruise ship that recently docked in New Jersey where there was suspected coronavirus among a few passengers. Fortunately, it turned out they 𝙙𝙤𝙣'𝙩 have it!  So she was on the ship when it pulled into port. And w…https://lnkd.in/gnzeYJq ","Corona Virus testing is FREE. If it is NOT Free in your area, you may have been misdirected in locating a real testing site, or there is possible FRAUD where 'testing' is happening. Look 4 your STATE Health Dept 'Testing Sites' from Gov website on Corona https://www.cdc.gov/publichealthgateway/healthdirectories/healthdepartments.html"
3,"I had Coronavirus a long time ago on the beach. Surprisingly, there were a number of lovely ladies in bikinis there too. The symptoms were constantly staring.",This is his path to re-election. Destruction of our cities under the guise of calls for justice will erase his missteps with the #coronavirus.
4,Economic Impact of the Coronavirus COVID-19:  @pnwerhttp://lnkd.in/ecvBpPj ,He looks pale and feverish. Maybe they should check him for coronavirus. When was he last in Wuhan?
5,"That or our new best buddy, CoronaVirus",First we get the corona virus and now this news. Seems pretty dumb....
6,Indeed! The beautiful #coronavirus hasn’t even arrived here yet and the stock market dropped >1000 points in one day. Imagine how much better the market will look once it gets out of control! Much praise to CDC & World Health for their hard work to make that happen faster  https://twitter.com/realDonaldTrump/status/1232058127740174339 …,"First US case of #coronavirus North of Seattle. This person had recently been visiting the Wuhan province in China where the virus has been identified. So, maybe gonna stay home for the next few weeks."
7,"He's one of those guys that doesn't get a flu shot, tells everyone else the flu shot is stupid, then is surprised when everyone gets the flu. // Coronavirus is more serious because there's no shot, no easy cure, and our healthcare system involves employers denying sick days. https://twitter.com/WestWingReport/status/1232813657194672128 …",Anyone else getting nervous that this coronavirus outbreak is going down EXACTLY like the plot of Contagion?
8,"RT @CDCgov: As of June 8, forecasts suggest the total number of #COVID19 deaths will exceed 124,000 by July 4. Additionally, 6 states will…",Li Wenliang's Coronavirus Death Gives Wuhan Its First Martyr https://foreignpolicy.com/2020/02/06/li-wenliang-coronavirus-lies-wuhan-gets-its-first-virus-martyr/?utm_source=PostUp&utm_medium=email&utm_campaign=19533&utm_term=Editor#39;s%20Picks%20OC&?tpcc=19533 …
9,"RT @girlsreallyrule: I did a re-up on this piece, with an added intro for the people in Texas and Arizona and all of the states after them…",What Is Causing Deaths from the Coronavirus COVID-19? http://lnkd.in/edTb6Xq 
10,"RT @AsianAmProject: .@WSJ reporting: NYC targeted travelers from China for #COVID19, completely missing those returning from Europe who end…",Cause of Cluster of Italian Coronavirus Infections Discovered:  @pnwerhttp://lnkd.in/etCzuyC 
11,"RT @peta: Slaughterhouses KILL both animals and workers! 

Local activist and PETA supporter Arianna is outside of a @JBSCareers slaughterh…","Did you know there's loads of Americans who are afraid to get tested for the Corona Virus because they're worried about medical costs and/or they don't have insurance?

SURE WOULD BE NICE IF WE HAD MEDICARE FOR ALL 

https://thehill.com/changing-america/respect/poverty/485666-how-much-will-getting-coronavirus-cost-you … #NotMeUs #Bernie2020 #supertuesday"
12,"RT @OlympiaJoe: NEW: Washington isn't meeting its goal to complete broad testing of nursing home residents &amp; staff for coronavirus.

Goal w…",going to step outside of my messy volvo with two cans of lysol and beat the shit out of the coronavirus
13,Maybe you already know about local high school kid's coronavirus tracker at http://nCoV2019.live  He is one Avi Schiffmann.,"A little late, aren't they?
This network should be held accountable for any deaths associated with these pronouncements that Coronavirus is a big nothing. Shame on all of them. https://twitter.com/joncoopertweets/status/1240246056513949700 …"
14,"This can only be effective with compassion. The Homeless need shelter, medicine and food. The Bay area probably has 50,000 homeless. That is a waste of all the shut down efforts

California: millions told to 'shelter-in-place' to stop spread of coronavirus https://www.theguardian.com/world/2020/mar/16/california-coronavirus-shelter-in-place-bay-area?CMP=share_btn_tw …",
