,Positive,Negative
0,10,6
1,"@NIH #remdesivir study shows NO statistically significant difference in mortality between using remdesivir &amp; placebo. However, decrease in recovery time for those who survived, from 11 days vs 15 days w/placebo. #Gilead #MarketManipulation #coronavirus ",#BREAKINGNEWS: Extremely concerning reports of children experiencing inflammatory conditions due to previously undetected #coronavirus #COVID19 - this is REALLY BAD: https://www.cnbc.com/2020/04/28/coronavirus-may-cause-new-inflammatory-disease-in-children-medics-say.html #PleaseBeCareful #StayAtHome
2,So is this good for climate change? Oh what happened to the coronavirus? @cnn #LiberalismIsTheRealPandemic,Florida medical examiners were releasing coronavirus death data. The state made them stop. 
3,A student at PBG has coronavirus. I need y’all to take your health and cleanliness serious.,Corona Virus is cancelled. Democrats say we riot instead.
4,RT @modmed: Could #COVID19's silver lining be the increased adoption and innovation of #telehealth? Read more about the staying power of te…,"#COVID19 death rate in China is roughly 2%. 10-15x more deadly than the common flu. It’s foolish to not think the US death rate will be lower than China. So the question is, is a virus that’s ~5-8x more deadly than a virus that’s a non-market event worth a 15% haircut?"
5,Not feeling too well right now so I’m going to kill #coronavirus with #mojitoflupic.twitter.com/dYOJLt5tZX,some mf is gonna bring the coronavirus to south fl bc they’re here for spring break just watch
6,For a sec I thought that said How to Get High Safely During the Coronavirus Pandemic https://twitter.com/RollingStone/status/1240788282176417798 …,"⁦@SenatorBurr⁩ will learn downside to insider trading, along w/ any of his ⁦@GOP⁩ or ⁦@TheDemocrats⁩ colleagues breaking ethics rules @SEC_Enforcement⁩ ⁦@CREWcrew⁩ ⁦@OfficeGovEthics⁩ ⁦@CNN⁩ ⁦@MSNBC⁩ #coronavirus https://apple.news/AOSEhUe8VSCqSpzNDu0XOEw …"
7,"Coronavirus Florida: DeSantis reopens most of state but not Palm Beach, Broward and Dade ",⁦You are not a doctor ⁦@POTUS⁩ stop lying ! ⁦@VP⁩ ⁦@CDCgov⁩ ⁦@GOP⁩ get him to shut his mouth - lies must stop! #TrumpLiesPeopleDie #TrumpVirus ⁦@realDonaldTrump⁩ #coronavirus ⁦@CNN⁩ ⁦@MSNBC⁩ ⁦@foxnation⁩https://apple.news/An1x5G3K8T8aIUzCffTGwJw …
8,Why do I always read “coronavirus” as “carnivorous” !?!,
9,94% of the Fortune 1000 are seeing #coronavirus #supplychain disruptions: Report – @FortuneMagazinehttps://fortune.com/2020/02/21/fortune-1000-coronavirus-china-supply-chain-impact/ …,
