,Positive,Negative
0,17,77
1,Trump’s Coronavirus Testing Chief Confirms Trump Has No Earthly Clue What He’s Talking About #DumboTrumpo,"Consumers are putting brands on notice over coronavirus behaviour, study finds | Marketing | Campaign Asia https://bit.ly/3apwfRm"
2,#UNPROVEN Has Dr. #Zelenko Successfully Treated 669 #Coronavirus #Patients? A blog post asserting that people responded well to an experimental #COVID19 #treatment is in no way an #evidence-based contribution to #science.,Tucker Carlson just flipped the script on coronavirus by exposing the Deep State’s big secret - 
3,"Missouri officials investigate coronavirus spread after Memorial Day parties. WOW, YOU DON'T SAY!? WHO COULD HAVE SEEN THAT ONE COMING!? OH WELL, THOUGHTS AND PRAYERS,... - ", Florida ordered coroners to stop releasing coronavirus death data: report | TheHill 
4,The Top U.S. Coronavirus Hot Spots Are All Indian Lands ,Why wasn't giving American's direct cash payments for the duration of the crisis on the very first coronavirus bill?
5,WTF is he talking about when he says a very good ending? Trump says Coronavirus outbreak will ‘have a very good ending for us’ ,Coronavirus: China's Global Intimidation Campaign - 
6,This sounds like this is not getting better any time soon. #covid19 #sarscov2 #coronavirus #2019nCoV #wuhan #pandemichttps://twitter.com/lookner/status/1230960905048985613 …,"Pence has killed more. His own inaction, and gutlessly doing Trump's biding re corona virus Has killed Many."
7,"RT @yinkasoja: Accessories made easy for you. Get  affordable wristwatches, shades etc without stress. Call or Whatsapp 09061595206 for you…",No community transmission of coronavirus in Kashmir: Pole - Business Insider India http://dlvr.it/RVjlQN
8,RT @Poland_MOD: Today we thank all the Military Police @Zandarmeria 🇵🇱 soldiers for their service. We also thank for their fight with #COVI…,"Well said. This should have been done long ago, shame We needed Coronavirus to spur city council to action..."
9,"RT @ANI: The total number of #COVID19 positive cases in Maharashtra crosses 1 Lakh, stands at 1,01,141 after 3493 positive cases were repor…",Man who goes out jogging when one of his family had Coronavirus symptoms worries we’re going to become cavalier
10,"The Trump administration doesn’t yet have a plan to handle Grand Princess coronavirus cases, officials say #TrumpCoronavirushttps://flip.it/Dos5vf ",Will you quarantine yourself in this house? #coronavirus 
