,Positive,Negative
0,40,10
1,"""US News: Kushner calls US coronavirus response a 'success story' as cases hit 1 million - CNN #News"" #StayHomeSaveLives:","""Coronavirus outbreak: B.C. Premier John Horgan extends state of emergency for two weeks | FULL #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :"
2,"""US News: Upbeat news on a possible coronavirus treatment powers U.S. stocks, lifting Dow more than 500 points - The Washington Post #News"" #StayHomeSaveLives:","""#WorldNews: Coronavirus Showed How Globalization Broke the World - The New York Times #News"" #StayHomeSaveLives:"
3,"""#POTUS News: #Trump says coronavirus relief aid shouldn't go to sanctuary cities, teases upcoming travel #News"" #StayHomeSaveLives:","""#WorldNews Story: Taliban Leadership in Disorder in Wake of Coronavirus #News"" #StayHomeSaveLives:"
4,"""#POTUS News: #Trump set to travel to Arizona next week amid push to lift coronavirus restrictions #News"" #StayHomeSaveLives:","""#NBA News: Michael Jordan Voices Against Meaningless Games as a Part of #NBA’s Return Post Coronavirus - Essentially Sports #News"" #StayHomeSaveLives:"
5,"""Coronavirus around the world: April 29, 2020 #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :","""Coronavirus outbreak: WHO officials praise Chinese response amid declaring public health emergency #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :"
6,"""#Science News: Remdesivir is the first drug found to block the coronavirus - #Science News #News"" #StayHomeSaveLives:","""Coronavirus outbreak: #Health minister says WHO health emergency does not change Canada risk level #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :"
7,"""#SportsNews: NJ high school sports coronavirus: When will team practices start? - My Central Jersey #News"" #StayHomeSaveLives:","""#WorldNews: First Death In China From New Coronavirus Pneumonia Outbreak #News"": https://www.robinspost.com/news/world-news/daily-global-news/1042117-world-news-first-death-in-china-from-new-coronavirus-pneumonia-outbreak.html …"
8,"""#Health News: Chicago man is first US case of person-to-person coronavirus spread #News"": https://www.robinspost.com/news/health-news/health-daily-report/1045657-health-news-chicago-man-is-first-us-case-of-person-to-person-coronavirus-spread.html","""#Health News: China reports 1st death from new type of coronavirus #News"": https://www.robinspost.com/news/health-news/health-daily-report/1042006-health-news-china-reports-1st-death-from-new-type-of-coronavirus.html …"
9,"""How easy is it to catch coronavirus on a plane? #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :https://www.youtube.com/watch?v=H0yronxKXak …","""Coronavirus outbreak: Manitoba #Health says they're prepared to handle potential cases | FULL #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :https://www.youtube.com/watch?v=0bf7NGNZoDs …"
10,"""Coronavirus outbreak: Wuhan lockdown leads to empty streets, train stations #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :https://www.youtube.com/watch?v=57GeEbPM8AQ …","""A background on the coronavirus and its symptoms #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :https://www.youtube.com/watch?v=tForicJOors …"
11,"""How airports are screening for the coronavirus #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :https://www.youtube.com/watch?v=F0sQL1bSJfg …","""Coronavirus outbreak: Canada working to return some citizens from China #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :https://www.youtube.com/watch?v=_-qfvDyLCF8 …"
12,"""#Health News: Minneapolis-St. Paul Airport to screen for coronavirus #News"": https://www.robinspost.com/news/health-news/health-daily-report/1045473-health-news-minneapolis-st-paul-airport-to-screen-for-coronavirus.html …","""Coronavirus outbreak: WHO officials praise Chinese response amid declaring public health emergency #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :https://www.youtube.com/watch?v=1sRxfbzI19k …"
13,"""Patient with coronavirus remains in stable condition at Toronto hospital #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :https://www.youtube.com/watch?v=jaYsuejrrPo …","""Coronavirus outbreak: #Health minister says WHO health emergency does not change Canada risk level #NewsVideo #BreakingNews #Youtube #GlobalNews #CBSN #FoxNews #ABCNews #NBCNews #CNN"" :https://www.youtube.com/watch?v=iBTK78JtvRs …"
