,Positive,Negative
0,11,8
1,Donald Trump Encouraged Sean Hannity to Go After the New York Times for Its Coronavirus Coverage ,"New Coronavirus Scam Threatens,‘Pay Up or We’ll Infect Your Family With COVID-19’ "
2,Kids newspapers during coronavirus - Washington Post ,Fauci says it is 'inevitable' coronavirus will return in the fall - The Washington Post 
3,"Donald Trump's name should not be coronavirus stimulus checks, lawyers say - The Washington Post ","Jared Kushner Calls Coronavirus Response ‘a Great Success Story’ as Death Toll Nears 60,000. Some people are just too stupid. "
4,2nd NoVA Coronavirus Patient Awaits Test Results https://trib.al/MGPtavA,Commerce secretary says coronavirus will help bring jobs to North America - CNNPolitics WTAF. Next thing you’ll want to bring back the plague? 
5,Traveler from China Hospitalized With Coronavirus in Thailand | Time https://time.com/5763805/thailand-chinese-person-hospitalized-sars-virus/ …,"With coronavirus concerns rising, Carilion Clinic's Infection Control Medical Director Dr. Baffoe-Bonnie sat down with @WDBJ to discuss why the flu poses a bigger health risk in Southwest Virginia than the coronavirus. Watch his full interview: http://bit.ly/2uEMf2L ."
6,2nd NoVA Coronavirus Patient Awaits Test Results https://trib.al/MGPtavA ,"RT @VACovidBot: Virginia COVID-19 cases and deaths as of Saturday, June 13, 2020:

Cases: 53,869 (+658)
Deaths: 1,541 (+7)

#COVID19 #Coron…"
7,Coronavirus Alert: What VA Health-Care Workers Need To Know https://trib.al/9vhtLD9 ,NBC Nightly News just called the coronavirus “the world’s most contagious virus.”  I don’t think that’s true...or at least not known yet.  @NBCNightlyNews?  #COVID19 #coronavirus #COVID
8,I'm so glad @BrotherMob has recovered from #COVID19,They tryna say my mans got the corona virus lmaoo chill  https://twitter.com/TheTraeYoung/status/1236067416003747840 …
9,China Is Still Living in the Shadow of the Coronavirus | Time https://time.com/5804136/china-coronavirus-quarantine-new-normal/ …,If you think you can get the #coronavirus from #CoronaBeer you are part of the problem.
