,Positive,Negative
0,21,20
1,Lake of the Ozarks pool party attendee tests positive for coronavirus - Business Insider ,Blessed be the nightmare that shows us that we have the ability to create hell #Borges #COVID19 #coronavirus
2,"some armchair ""when will it be safe to go out again?"" estimates for #coronavirus #nCoV2019https://twitter.com/LotaInsLotaOuts/status/1226188822687256582 …","#Coronavirus May Be a #Vascular Disease, Which Explains Everything | @Elemental @danagsmith"
3,"Wuhan Coronavirus Looks Increasingly Like a Pandemic, Experts Say.
https://www.nytimes.com/2020/02/02/health/coronavirus-pandemic-china.html …
#coronavirus #pandemic","Finished it off with: “Bonus sub topic: How Corona Virus killed more BLACK people than anyone else, because of - (you guessed it) - RACISM”"
4,"Ok, coronavirus patient being treated at the hospital closest to me, where I got a procedure last year.","i have confidential evidences against, for corona virus affecting and killing Americans...how china engineered the attack unknowingly. DM for details"
5,So Ultra in Miami is canceled but @airbnb won’t refund the money the kids were going to spend to say there?  Everyone is applying their own policies and it makes no sense.  Just do the right thing people #coronavirus #cancelled #airbnbhelp,"the sars and mers coronavirus (related to the new strain) don't survive longer than a few hours on surfaces. plus in the case of aliexpress, orders take weeks to process. not to mention packages go through ultraviolet treatment when travelling through customs. it's fine. christ."
6,"What #coronavirus #COVID19 looks like for outstanding public records requests. #FOIA

""...the City is unable to access its records to respond to public information requests at this time.""pic.twitter.com/VnP0RFwY3C","Coronavirus live updates: First two cases in Europe, second case confirmed in U.S. - The Washington Post #totallyundercontrol #TrumpLiesEverytimeHeSpeakshttps://www.washingtonpost.com/world/coronavirus-china-live-updates/2020/01/24/4e678f9c-3e03-11ea-afe2-090eb37b60b1_story.html …"
7,," Cases of #coronavirus in China has increased 50% in 24 hours

 50 million Chinese people are quarantined

 This should be declared a public health emergency 

https://twitter.com/b52malmet/status/1221481971626496006?s=21 …https://twitter.com/b52malmet/status/1221460361758617601?s=21 …"
8,,"first photo I've seen of an actual test kit

#coronavirus #nCoV2019 #COVID19https://twitter.com/sciencecohen/status/1233530782951411712 …"
9,,@IAmBiotech BIO Asia Conference in Tokyo Cancelled Amid COVID-19 Outbreak #COVID19 #coronavirus https://finance.yahoo.com/news/bio-asia-conference-tokyo-cancelled-201100363.html …pic.twitter.com/HQqFtJfRFi
10,,"#collaboratetowin on June 18 @wslab #wise24

50 #femalefounders pitching from around the globe including #covid19 a… https://t.co/cPvslZuS6a"
11,,"Voters in #SantaClaraCounty @SCCgov said they wanted BART @SFBART, and they funded it, but will changes wrought by… https://t.co/opoBLTCiSJ"
12,,Monday we launch a new #FightBack episode hosted by @StevePoizner - Accessing every day healthcare needs in the era… https://t.co/EdPpKcQbrf
13,,"In response to #journalists wishing for the #coronavirus to be pervasive and disastrous to bring about the downfall of #DonaldTrump, may it therefore affect you first and hardest...

#FakeNews #MAGA #KAG #POTUSpic.twitter.com/GuXy34auaI"
14,,Coronavirus with asthma: What the CDC says you should know if you have asthma during COVID-19 pandemic https://abc7news.com/health/what-you-should-know-if-you-have-asthma-during-covid-19-outbreak/6036317/ … via @abc7newsbayarea
