,Positive,Negative
0,46,12
1,"Nah. Gap down is from $GILD trials news. Any ""back to work soon"" news will drive down coronavirus safe havens.","Amid protests, New York continues to battle coronavirus "
2,"Interesting discussion here of how this particular group intends to approach getting patients comfortable with coming back to doctors’ offices, hospitals, etc for non-coronavirus-related visits. ",CDC to resume regular coronavirus briefings after being sidelined by White House 
3,"RT @VANurse1212: ➡️ Covid Poll 

🔄 Please RT After Voting For a Better Illustration

➡️ Did Anyone You Personally Know Test Positive For #C…","Coronavirus, Racism and Injustice: No One Is Coming to Save Us "
4,Mostly bc I want that sweet sweet relief of the coronavirus after yesterday :),"Here's everything you need to know, including symptoms and contagions of the coronavirus. "
5,"Here’s why coronavirus tests sometimes come back positive again after recovery

https://flip.it/9DXFcA ",Me: It's disheartening how racist the response to the coronavirus has been. A Chinese-American friend: Let's not meet at [the Chinese buffet] just in case b/c coronavirus LOL sorry it's not PC. Me:
6,Having fun not distancing #colorado #covid #coronavirus ,This is sad. My condolences to his family and close ones. #HeroWithOutACape #WuhanHero #WhiteCoatHeros #WhiteCoats #CoronaVirus 
7,"Totally understand. My 3 y.o. is the most important thing to me, and my trust level for Trump & the PRC with regards to the lethality distribution of COVID19 is quite low. But excess anxiety (in a mob can turn to panic) increases cortisol production which kills immune response.","some girl I met @plaza went to the hospital and they think she has the coronavirus so they gave her hella medicine, this shit really real y’all "
8,Well that didn’t take too long.... #Dogyears #COVID19 #CDC Revises SARS-CoV-2 Assay Protocol; Surveillance Testing on Track to Start Next Week | GenomeWeb,"What is wrong w/ @CDCgov? WHY?!?!? ”On Tues this week, the Association of Public Health Labs had asked FDA to grant an exception so that labs could develop their own tests but the request was DECLINED.” #norespect for Dx Labs @permedcoalition @ACLAlabs #COVID19"
9,"Soon media pundits....""It can't be dismissed that @realDonaldTrump insistence on a #China trade deal has had reverberating effects which have lead to the #coronavirusoutbreak.""

#Coronavirus","FiFi isn't ok.  She has advanced kidney disease & tested positive for the corona virus (precursor to FIP, which is fatal).  We'll be monitoring her closely, as she still has quality of life.  I wasn't prepared for her becoming a hospice baby.  https://twitter.com/KayEmily2/status/1215648718789070848 …"
10,PLEASE @kennybeats THIS COLLAB WILL CURE CORONAVIRUS,Is he talking about the corona virus?
11,"RT @DrZoeHyde: Study showing airborne transmission is dominant route for novel #coronavirus spread.

Wearing masks in public effectively re…",No Corona virus for me cuz I only fuck with IPAs
12,Common sense and good music! @coronavirus @covid-19https://www.youtube.com/watch?v=V9YirNgAzXI …,omw to the swap meet to see if i can catch coronavirus and finally get strike down from this matrix
13,Why the U.S. Wasn’t Ready for the Coronavirus https://www.nytimes.com/2020/03/11/podcasts/the-daily/coronavirus-us-testing.html …,In an experimental prophylactic procedure to limit the spread of Wuhan coronavirus  Chinese authorities are absconding with sick people and isolating them in old abandoned refrigerators.  Sick people are avoiding The Authorities at all costs  !
14,,Talking About the New Coronavirus https://amazingstories.com/2020/02/talking-about-the-new-coronavirus/ … via @AmazingStories0
15,,China accuses US of spreading 'panic' over coronavirus outbreak https://nypost.com/2020/02/03/china-accuses-us-of-spreading-panic-over-coronavirus-outbreak/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost
16,,"Besides, according to Kudlow, the #coronavirus has been contained"
17,,"As scientists and health experts around the world issue warnings about the #coronavirus President dumbfuck and his stooges are all claiming there's nothing to worry about.

If only he hadn't told 15,000 lies already maybe people would believe him"
18,,Maybe we should open a corona virus center in Syria and let it work itself out.
19,,"Can you please put a travel ban? Please stop allowing foreigners in to our country. Wait till there is a vaccine for the Corona Virus please. It doesn’t matter what race they are. Just protect your fellow Americans. This is getting out of hand. 7,000 quarantined in San Francisco."
20,,"RT @StephenMcDonell: This is a massive wholesale market, reportedly the largest in Asia. It’s not unlike the type of wholesale market you’d…"
21,,"RT @girlsreallyrule: As many governors continue to choose the economy over lives, I am re-upping this, with an added intro for those in Tex…"
22,,@LEAD_Coalition I am in a nursing home and it has been 3 months since visitors have been allowed. I understand why… https://t.co/oC9V2kC2i8
23,,well someone just squeezed $60B more from taxpayers over what medical textbooks define the coronavirus as the common cold https://twitter.com/Doc_0/status/1235266990421553153 …
24,,"Google recommends Washington State employees work from home, citing coronavirus risk https://tcrn.ch/2TubGy9  via @techcrunch"
25,,Coronavirus updates live: Emergency declared in California as cruise ship delayed off shore https://www.nbcnews.com/health/health-news/live-blog/coronavirus-updates-live-california-declares-emergency-governments-race-stop-spread-n1150561 … via @nbcnews
26,,Seems silly to diet or go to the gym while CoronaVirus is still a threat.
27,,"Next sure to win major candidate for Governor of California.  Disgusting but true.
'Comedian' Patton Oswalt fantasizes about Trump fans dying of coronavirus infection https://www.wnd.com/2020/03/comedian-patton-oswalt-fantasizes-trump-fans-dying-coronavirus-infection/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_campaign=websitesharingbuttons …"
28,,'Huge cloud' hangs over concert industry as Live Nation and AEG shut down tours amid coronavirus https://www.latimes.com/entertainment-arts/music/story/2020-03-13/coronavirus-live-nation-aeg-concert-industry …
29,,"Coronavirus School Closings Expose the Severity of the Homework Gap

https://flip.it/pYz1s4 "
30,,"26 Eerie Pictures Of Famous Landmarks From Around The World Before And After The Coronavirus Outbreak

https://flip.it/jUCRSQ "
31,,"How women could be uniquely impacted by the coronavirus
https://flip.it/gQE9qE "
32,,"What Does Shortness of Breath Feel Like? Here’s What Doctors Say Amid Coronavirus
https://flip.it/jZZIZr "
33,,"CDC investigation reveals why coronavirus likely hit Seattle-area nursing homes so hard

https://flip.it/Z72.NG "
