,Positive,Negative
0,13,6
1,"China reports 17 new cases of coronavirus in Wuhan - as JFK, San Francisco and LAX screen all passengers arriving from the city for the deadly viral pneumonia

#BiologicalWarfare

via https://dailym.ai/ios https://mol.im/a/7903819 ","World share prices fall as authorities rush to contain deadly coronavirus outbreak 
via https://dailym.ai/ios https://mol.im/a/7921117 "
2,"Shocking footage shows hospital in China flooded with hundreds of patients amid deadly coronavirus outbreak as leading expert warns the situation 'is already uncontrollable'
via https://dailym.ai/ios https://mol.im/a/7921709 ","'How are we supposed to get home?': Fury as Foreign Office warns ALL 30,000 Brits in China to LEAVE as death toll hits 427 - but tells them 'find your own way back' and stops repatriation flights

#coronavirus

via https://dailym.ai/ios https://mol.im/a/7965149 "
3,"Texas investigates a THIRD potential US coronavirus case as second suspected victim is hospitalized in LA and doctors monitor SIXTEEN people who came into contact with Patient Zero in Washington State
via https://dailym.ai/ios https://mol.im/a/7919851 ","'Captive' Briton on coronavirus cruise liner quarantined off Japan says tourists' poor hygiene is making things worse and passengers have been told to avoid public toilets

#coronavirus

via https://dailym.ai/ios https://mol.im/a/7964349 "
4,"Hong Kong sees its first coronavirus death as 39-year-old man who visited Wuhan in January dies

#coronavirus

via https://dailym.ai/ios https://mol.im/a/7963719 ","SEVEN now dead in Italian coronavirus outbreak, 229 infected: EU admits explosion of cases is just the first of many 'clusters' - but REJECTS calls for border checks to be brought in across Europe 
via https://dailym.ai/ios  #coronavirus https://mol.im/a/8038243 "
5,"Thailand claims coronavirus break-through: Patient now 'disease-free' 

https://www.dailymail.co.uk/news/article-7957889/Thai-medics-claim-coronavirus-break-Patient-declared-disease-free-48-hours.html?ito=amp_twitter_share-top … via @MailOnline #Q","Dozens of passengers who were allowed off the Diamond Princess cruise ship after testing negative for coronavirus ARE now showing symptoms 
via https://dailym.ai/ios  #coronavirus #DiamondPrincesshttps://mol.im/a/8046727 "
6,"US military approves 11 COVID-19 quarantine camps 'for up to 1,000 people' next to major US airports
via https://dailym.ai/ios  #coronavirus #COVID19https://mol.im/a/7992909 ","Miami cruise ship with 6,100 on board becomes the latest to be turned away over coronavirus fears after Jamaica and Cayman Islands block vessel because crew member was unwell
via https://dailym.ai/ios  #coronavirus #Miamihttps://mol.im/a/8045997 "
7,Harvard Professor's Arrest Raises Questions About Scientific Openness https://www.npr.org/2020/02/14/806128410/harvard-professors-arrest-raises-questions-about-scientific-openness?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social … #coronavirus #Harvard #wuhan,RT @marty_walsh: Today I am declaring racism a public health crisis in the @CityofBoston. The health impacts of historic and systemic racis…
8,"RT @AngelaInKy502: #Kentucky #covid19 New numbers 
for Friday June 12th as of 4 pm

331 New cases😢
Gov. Beshear States the backlog and data…",
9,"Vatican City reports its first case of coronavirus, days after Pope tested negative 
via https://dailym.ai/ios  #coronavirusVaticanCityhttps://mol.im/a/8082259 ",
10,"“Lieber had lied about his affiliation with the Wuhan University of Technology (WUT) in China...

He was being paid $50,000 per month by the Chinese university and given $1.5 million to establish a nanoscience research lab at WUT” #coronavirus https://www.cnn.com/2020/01/28/politics/harvard-professor-chinese-nationals-arrest-espionage/index.html …",
