,Positive,Negative
0,39,32
1,Theres plenty of coronavirus memes around,How coronavirus charts can mislead us https://youtu.be/O-3Mlj3MQ_Q via @YouTube
2,"Helping clients through challenging times is part of our DNA! Discover how a world-class media intelligence platform, together with a team of media specialists can help you stay alert and respond quickly. #covid19 #mediaintelligence #coronavirus ","I lost a much older cousin as well. I'm sick of hearing from the truly protected class about what sacrifices are palletable and who should get what. If primary victims of the #coronavirus were white males between the ages of 28 and 52, we know how the relief effort would look."
3,Isentia's Insights Specialist Andrew Ledovskikh caught up with AdNews Australia to discuss a shift in conversations around COVID-19 as the pandemic increasingly impacts lives on a personal level. #covid19 #mediainsights #coronavirus https://lnkd.in/gbPtVPS https://bit.ly/2SjsvuE,Damn #coronavirus you scary
4,The CDC confirms remarkably low #coronavirus death rate. Where is the #media ?,"""Are all these Corona Virus questions driving you batty?"""
5,"New York's Governor Cuomo, Health Commissioner Zucker and Executive Deputy Commissioner Dreslin Have Coronavirus Blood on Their Hands https://www.thegatewaypundit.com/2020/05/new-yorks-governor-cuomo-health-commissioner-zucker-executive-deputy-commissioner-dreslin-coronavirus-blood-hands/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons a través de @gatewaypundit",China deploys 40 incinerators amid fears of coronavirus death toll 'cover up' https://www.dailystar.co.uk/news/world-news/china-deploys-40-incinerators-wuhan-21529067?utm_source=twitter.com&utm_medium=social&utm_campaign=sharebar … #china
6,We should all be worried by an administration that muzzles scientists and takes an anti-science position in favor of political ideology and religious mythology. Fauci has been ordered not to speak out about the COVID19 outbreak. And we can't trust the Trumpians to speak truth.,"I hate to admit it but I am getting anxiety about coronavirus since it ""arrived"" around my neighbourhood. But I am more annoyed people don't watch where they are going and stopping abruptly when they are walking."
7,"JFK, SF and LAX airports to screen for Chinese #coronavirus #EIDhttps://mol.im/a/7900341 ",Coronavirus is just the flu my guy. You can survive that shit if you ain’t a bitch
8,So my theory is that we are a http://Plague.Inc  rin and the coronavirus by some 13 year old kid about to killl us all,RT @allieyoung13: The death toll on #NavajoNation has reached 298 due to #COVID19. That’s 298 Navajo lives including 5 Medicine People gone…
9,"British patient tested for coronavirus treated by 'spacemen' doctors
 https://mol.im/a/7926343 ",RT @ANI: Loss of smell (anosmia) or loss of taste (ageusia) added to the list of #COVID19 symptoms by the Health Ministry. https://t.co/PM6…
10,"US testing 12 patients for coronavirus including Texas A&M student
 https://mol.im/a/7925203 ",RT @techinsider: What's the fastest way to potentially end the #covid19 crisis? https://t.co/51o14ru6r5
11,Y’all had me thinking the coronavirus was like the bubonic plague lol. That shit is not that serious,"RT @GrandmaSaidNo: Never forget that the US federal government is responsible for the high COVID-19 death toll on our Nation. 

The magnitu…"
12,"Chinese villages around coronavirus epicentre prevent Hubei residents
 https://mol.im/a/7941947 ","It's the corona virus, I'm telling you"
13,"It’s coronavirUS for a reaosn, bc when I cough on u it’s over for u",
14,With his present condition - if he gets hit by coronavirus he wouldn’t last long.  Just saying.,
15,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",
16,"I hope you have a great weekend. Whatever you've got planned please stay safe!
#coronavirus #covid19… https://t.co/76NlIuQXNM",
17,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",
18,RT @Ollivergwed: #Ebola coming back to teach #covid19 a lesson https://t.co/ls5kLQmXGg,
19,Hey @shahid_siddiqui for your eyes only,
20,"RT @TransEquality: Every person deserves the right to life-saving testing &amp; treatment as we navigate #COVID19, but the Trump admin wants tr…",
21,RT @alexsmann: @BackgroundBrief @mariochristo Anti-Chinese racism has been around in Australia since the gold rush. This is the story of ho…,
22,RT @karynmaughan: South Africa now ranked 21 in the world for its number of #COVID19 infections. It has most cases in Africa - 20000 more t…,
23,RT @cathynewman: Excellent work by @darshnasoni on the #COVID19 impact on black and minority ethnic communities here: https://t.co/EvKcfl32…,
24,RT @sarkodie: You guys got me on @JumiaGhana and I’m hooked 😊👌🏾 ... perfect way to shop without stepping out ... very essential in these #C…,
25,"RT @veganforlife365: Zoos are animal prisons.
There is no middle ground. 

They do nothing for the conservation of animals. 

Stop supporti…",
26,"Hey VP Mike @VP since you’re now heading the coronavirus task force (whether you like it or not), maybe you can put Mob Boss Don, Beavis (Eric), and Butthead (Don Jr) as the first test subjects for the COVID-19 vaccine.

That’ll truly make America great again!   Think about it!",
27,This corona virus better not get near my town or else I’m bouta throw hands with it.,
28,USA the last country that is taking measures to control and avoid #coronavirus spreading #Resistancepic.twitter.com/2J5eoQSBoO,
29,Corona Virus came at a great time for Bernie - his stance on universal healthcare will help him win the nomination IMO.  I think he will overtake Joe Biden.,
30,Good morning...fight for corona virus ,
