,Positive,Negative
0,20,9
1,March 25th China boasted no new coronavirus cases.... I am surprised they had 237 adults with coronavirus since they haven’t had a new case in over a month and most patients either die or get better on average of 15 days.,Tomorrow we will be uploading a timeline of all the maps from the #COVID19 outbreak starting in January and will continue uploading pictures every 2 months. Remember to wash your hands and watch for symptoms.
2,"Army will 100% if and Idol has any sort of wrongdoing we will NOT cover it up. As you can clearly see from anyone will at least some experience of the Korean language. It's a wrong translation. Yoongi meant that due to the Corona Virus QUARANTINE, he could finish up the mixtape!!","The #coronavirus has infected 4,500 people. Fist case in Germany is first human to human infection in Europe. 14 cases in Thailand. Tour bus driver in Japan who has never been to Wuhan has been infected. Citizens of Wuhan not warned until the 20th because the government said so."
3,Told my mom I was OTW to get my nails done! She said ask them when was the last time the went to China? Now she got me scared to get my fill-in #coronavirus,Reports show that a 5th person in the United States has been confirmed to have the #coronavirus and experts have warned that it may not be possible to contain the virus. Social media videos show people crying for help and there’s many more infected.
4,5 RTs and I’ll send this to my mom CNN: Boston officials have confirmed a case of coronavirus within the city. Check to follow updates: http://pbs.twimg.com/media/BG48ENgCEAAIDl9.jpg (Spread the News),
5,Twitter isn’t letting me retweet this #coronavirus #covid19 ,
6,This is how the past three weeks have felt #coronavirus #coronavirusoutbreak #covid19 ,
7,Coronavirus will be the excuse for banning paper money. #COVID2019 #Coronavirustruth #COVID19 #CoronaOutbreak,
8,"between this, the viruses unleashed from a Tibetan glacier, the Australian fires, and the Coronavirus... how much longer do we have? I say 20 years before total collapse so let's enjoy it while we can. https://twitter.com/BulletinAtomic/status/1220362329864462338 …",
9,Y’all think this coronavirus shit is just China trying to do population control like I honestly wouldn’t be surprised if they really created that shit,
10,"Alaye fight for yourself 

@Zlatan_Ibile
#coronavirus #MUFCpic.twitter.com/3IsFh5qZ18",
11,Yo can the Coronavirus please get tf out of my state pic.twitter.com/uAtFecpXs3,
12,"Symptom-based screening ""ineffective"" at detecting travelers with coronavirus, report says https://www.cnn.com/asia/live-news/coronavirus-outbreak-02-18-20-intl-hnk/h_aff24b6560c038a59dba25c76ed07708 …",
13,Coronavirus COVID19 articles should not be behind paywalls. Information can save lives in situations like this.,
14,Maybe they should focus on fighting the virus instead? Wtf. #covid2019 #coronavirus https://twitter.com/NBCNews/status/1228448877872893960 …,
15,It’s the fashionable coronavirus protection suit. Just needs a face mask and gloves.,
16,That’s like 10 years in coronavirus time,
17,"RT @GlblCtznImpact: Thank you 💙 @mileycyrus 💙 for calling on world leaders to unite &amp; commit billions of dollars to make testing, treatment…",
18,Coronavirus Spread - Time is Getting Short - Prepare Now https://youtu.be/LnLZNpnSuJw  via @YouTube,
19,"Which countries have coronavirus...

https://youtu.be/x88Z5txBc7w ",
20,*copped Corona virus. Lol but ,
21,The U.S. Isn’t Ready for What’s About to Happen by @TheAtlantic https://link.medium.com/q5LR44ATI4  #COVID19 #coronavirus,
22,Two People Who Attended Cyber Event Contract Coronavirus https://www.bloomberg.com/news/articles/2020-03-10/engineer-who-attended-cybersecurity-event-contracts-coronavirus …,
