,Positive,Negative
0,27,6
1,"RT @dtnpf: Large crowds walk through the Minnesota State Fair in St. Paul. The 2020 state fairs in at least 15 states, including Minnesota,…","Nah, corona virus is very dangerous but theirs a time and place for everything. Their are places in the US that are safe to open. We were blessed with human brains. The local governments know best when,it comes to closing and opening business and public places."
2,Really good video on how the #Coronavirus #COVID19 effects your body and how your body reacts. Awesome job by @Kurz_Gesagt!!https://www.youtube.com/watch?v=BtN-goy9VOY …,If you were the president right now- we would barely even be familiar w/the #coronavirus . The media would have never over-hyped it &amp; bullied everyone into crashing the economy with a shutdown. They would have coddled you so hard &amp; told us it was the flu. So there’s that. #Biden
3,Coronavirus made it clear who our friends are.,Chinese people massing in a crowd WITHOUT a mask to get a mask — a picture of the unthinking panic that may be used to get people to take untested vaccines as one company brags it only took them 3 hrs to create a #coronavirus #vaccine #CoronavirusWHO
4,When @realdonaldtrump was elected I told my brother he was going to get us all killed. Looks like my prediction is about to come true. Can this idiot do anything right? #CoronavirusOutbreak #StockMarketCrash2020 #COVID19,"Don't believe models and pronouncements from govts Fear govt & what they might impose, NOT their propaganda #coronavirus #coronavirususa #coronavirusindia"
5,"Pisses me off thet federal quarantine allowed Lackland, a military base containing not only civilians but a FUCKING SCHOOL, ~100 people suspected of having coronavirus to be quarantined in a Lackland hotel. Actually fucking bonkers who fucking thought this was a good idea lmao",USPS Statement on Coronavirus #usps https://www.postaltimes.com/postalnews/usps-statement-on-coronavirus/ …pic.twitter.com/BPmlu475wt
6,"Well I just got over something near fatal myself, but I don't think it was Coronavirus.

Though, I think I did maybe catch something similar at a street fair in Tampa.","Watching Nbc news. DT just blamed the Democratic candidates for the coronavirus AND the record breaking drop at the stock market. What a dangerous, delucional excuse for a president."
7,President Trump Holds Coronavirus Taskforce Meeting with Pharmaceutical Companies - Video... https://theconservativetreehouse.com/2020/03/02/president-trump-holds-coronavirus-taskforce-meeting-with-pharmaceutical-companies-video/ … via @thelastrefuge2,where is the coronavirus when you need it?
8,This coronavirus feels like an episode of black mirror,RT @drdavidsamadi: NO SECOND WAVE.  The toughest part of #COVID19 is behind us. This was a nursing home virus.  Small baby waves and spikes…
9,,"RT @genericpanic: ""In the United States, clothing sales fell 89% in April from the same month in 2019.""

""Off-price retail group TJX (TJX.N…"
10,,RT @votesamuelwill1: The case are rising but that is in direct relation to the increased number of test that are being preformed why do you…
11,,RT @BuckSexton: CCP has shut down one of #Beijing's main #seafood and markets after more than 50 people in the #China's capital tested posi…
12,,"Wait! I thought the Coronavirus was a Democrat’s hoax?
Well Dirty Donald, which is it?"
13,,Life’s a scam corona virus come take me now
14,,"If you want true hard facts about this corona virus, do your research through the CDC, don’t listen to the media, don’t listen to these tv doctors, listen to the source that is DIRECTLY INVOLVED.. educate yourself"
15,,Being a server at this point in time is HELL because no body wants to go out to eat with the corona virus going around :(
16,,"H-E-B Adjusts to the Chaos, Keeps Texans Supplied Amid Coronavirus Pandemic https://thetexan.news/h-e-b-adjusts-to-the-chaos-keeps-texans-supplied-amid-coronavirus-pandemic/ …"
