,Positive,Negative
0,19,24
1,BBC NEWS - Coronavirus: How does contact tracing work and is my data safe? ,"Italian Students Flee #Coronavirus Epicenter, Spread Virus to Parents http://dlvr.it/RSKQyj  @BreitbartNewspic.twitter.com/Dm0YJaS9N0"
2,BBC NEWS - Coronavirus: Madrid's balcony cinema screens films for people in lockdown ,Japan confirms man has same coronavirus as China outbreak http://dlvr.it/RN8hXJ  @SkyNewspic.twitter.com/qQPiRCn752
3,DAILY EXPRESS - #headlines #health #nation Coronavirus BREAKTHROUGH: US officals say drug has 'significant' impact on virus ,"#Coronavirus: 1,200 Young #Doctors Sidelined by Lack of Training Residencies http://dlvr.it/RSKQyl  @BreitbartNewspic.twitter.com/1pklweBxk6"
4,THE TELEGRAPH - #structurenews #topicsinthenewscoronavirus Remdesivir: 'Clear-cut' results show Gilead drug can fight coronavirus ,Isolated Celebrities Post Home Videos to Stay Relevant During #Coronavirus http://dlvr.it/RSKQyf  @BreitbartNewspic.twitter.com/mAtO5pspd6
5,BREITBART - #Asia #Health #NationalSecurity Report: North Korea to Lock Down Through 2020 Despite 'Zero' Coronavirus Cases ,
6,ITV NEWS - Remdesivir: New findings on coronavirus drug 'highly significant' | ITV News ,
7,BBC ENTERTAINMENT - Coronavirus: The self-isolation choir with worldwide members http://dlvr.it/RXgt7n,
8,BBC NEWS - Coronavirus: Pret a Manger plans rent talks in bid to avoid closures ,
9,BBC NEWS - Coronavirus: Belgian Prince Joachim tests positive after lockdown party ,
10,BBC NEWS - Coronavirus: Shielders in England allowed outdoors again from Monday http://dlvr.it/RXggL8,
11,BBC FOOTBALL - Coronavirus: Jayden Stockley among positive tests in Championship; seven in League Two ,
12,BBC FOOTBALL - Aaron Ramsdale: Bournemouth keeper confirms coronavirus recovery ,
13,Newspaper headlines: Italy in coronavirus 'chaos' and quarantine 'farce' http://dlvr.it/RRVk9j  @BBCNewspic.twitter.com/8G8Q6k0QE4,
14,Third person in UK dies from coronavirus as cases rise to 273 | ITV News http://dlvr.it/RRVjyB  @itvnews,
15,"Rapid #Coronavirus Test Approved by FDA, Results in 45 Minutes http://dlvr.it/RSKQyr  @BreitbartNewspic.twitter.com/GZspvwmFXk",
16,#Coronavirus: Report Claims Transgenders Being Denied ‘Lifesaving’ #Surgery http://dlvr.it/RSKQyW  @BreitbartNewspic.twitter.com/QL0nI0yNle,
17,Student Delivers Groceries to the #Elderly for Free During #Coronavirus http://dlvr.it/RSKQxP  @BreitbartNewspic.twitter.com/EOg4fJQgyf,
