,Positive,Negative
0,17,33
1,New Zealand has no new coronavirus cases and just discharged its last hospital patient. Here are the secrets to the country's success. --@businessinsider,"Scam of the day – April 30, 2020 – Coronavirus Small Business Administration Loan Scams "
2,"Things to note about 2020 so far Australia catching fire, huge swarms of locusts across Africa, and Coronavirus outbreak. I don’t know about y’all but this all sounds vaguely familiar",Meanwhile Cummings also told a lie at the start of his interview - about warning about Coronavirus last year. Telling lies when setting his story straight! #sackdom
3,Read online that Coronavirus could be eliminated with household disinfectants so let's load up some planes with Lysol and Clorox already.,"Johns Hopkins has stated that it was based on a coronavirus with inputs ""not similar"" to the current outbreak. And the simulation didn't make any casualty predictions whatsoever. "
4,"How Emerging Technologies Can Help Us Fight the New Coronavirus
http://bit.ly/37G0Ycd ","Johns Hopkins even had to issue a press release to explain that the simulation they ran didn't make any casualty predictions and isn't based on the current coronavirus outbreak. So no, there is no such 65 million prediction. "
5,"Wired: Jeff Bezos’ Hacked Phone, Coronavirus Hits the US, and More News https://www.wired.com/story/jeff-bezos-phone-hack-coronavirus-us-washington …pic.twitter.com/PorYzP5EI5","The fuck we do to get locust swarms, corona virus, Kobe Bryant dead, and a huge fire in Australia all in the same year? https://twitter.com/davidpilling/status/1221461913068101633 …"
6,The Verge: Transportation shut down in city where new coronavirus originated https://www.theverge.com/2020/1/22/21077545/coronavirus-transportation-shut-down-wuhan-china-who-emergency-public-health …pic.twitter.com/DV1WT5kLlZ,Financial market website Zero Hedge knocked off Twitter over coronavirus story. http://news.trust.org/item/20200202180911-1sd4x/ … #AynRand #Hayek #Mises
7,France confirms three patients there had contracted the new #coronavirus—the first cases reported on that continent. pic.twitter.com/W0Fh1DoWLT,"Damn. Sony come on my guy. 
Sony will not be at #PAXEast2020
So don't expect any #PS5 news there. The supposed reasoning is the Corona Virus, yet everyone else is still going and Sony won't even do a online event. #Worried"
8,Need me a girl with coronavirus ASAP,How is China coming to a standstill because of Coronavirus but the global economy kinda just ignoring that?
9,"Honestly I wouldn’t be surprised if the Chinese government is doing #purges while the #coronavirus is going on, it’s practically the perfect opportunity for an authoritarian regime. #Coronavirustruth #coronapurge?","I have a trip planned to Thailand in April, but I'm strongly considering a different destination given this @ThailandFanClub proposal amid extremely high coronavirus risk: https://forum.thaivisa.com/topic/1148889-visa-exempt-for-chinese-and-indian-tourists-proposed-to-boost-tourism-in-thailand/?utm_source=newsletter-20200218-1333&utm_medium=email&utm_campaign=news …"
10,New item from Daring Fireball: Apple Warns That Coronavirus Outbreak in China Will Affect Revenue This Quarter https://ift.tt/3232JOH ,Coronavirus outbreak on Diamond Princess hits 454; 14 infected Americans return https://arstechnica.com/science/2020/02/coronavirus-outbreak-on-diamond-princess-hits-454-14-infected-americans-return/?utm_brand=arstechnica&utm_source=twitter&utm_social-type=owned&utm_medium=social … by @BethMarieMole
11,"Friendly reminder to those of you panick buying face masks due to Corona virus. If it isn't N95 rated it won't do anything to protect you. 

- Retail worker giggling as people ignore my advice and waste money on masks that don't work","RT @inzyrashid: REVEALED: “Stakeholders expresssd deep dismay, anger, loss, and fear in BAME  communities”

More about what’s in the unpubl…"
12,"RT @cassandra17lina: #TrumpGolf might help #Trump visualize 115,000 American #COVID19 deaths. There are 18 holes on a course. Let’s say eac…","RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
13,It appears that Costco is doing more to stop the spread of coronavirus than the entirety of the federal government.,"Me, a normal average shopper: oh I ran out of toilet paper and cleaning supplies. 
The coronavirus panic: I'm about to ruin your day..."
14,Trump defender buried by entire Jake Tapper CNN panel for trying to laugh off president’s coronavirus lies https://www.rawstory.com/2020/03/trump-defender-buried-by-entire-jake-tapper-cnn-panel-for-trying-to-laugh-off-trumps-coronavirus-lies/#.XmWFp9bLPuM.twitter …,"You can not pray away the #coronavirus! This virus KILLS!
It's just like when Pence couldn't pray away #HIV when he was governor of Indiana! They has the most HIV infections in 2015 by far in Scott County.

And for a FACT, I never played the race card...so the bigot is you."
15,Coronavirus is some bullshit,@DavidLiebeHart Don’t die from coronavirus in Europe and don’t catch it please.
16,"tom hanks 2002: catch me if you can 

coronavirus:","Scam of the day – March 11, 2020 – Coronavirus Phishing Email https://scamicide.com/2020/03/10/scam-of-the-day-march-11-2020-coronavirus-phishing-email/ …pic.twitter.com/KRN3Ek88W5"
17,"The USA and South Korea reported their first #coronavirus cases on the same day. S. Korea has things under control, the USA is facing down thousands of deaths. @ScottMorrisonMP want #coronavirusau to follow the USA model.","Let’s all try to be of good cheer as the world slips slowly into darkness, and greet each other with hearty cries of “Merry Crisis, y’all!”

#Covid_19 #CoronaOutbreak #Coronavirus #COVID19"
18,Senate Intelligence chair unloaded stocks after reassuring public about coronavirus preparedness: http://bit.ly/3a76WnJ pic.twitter.com/Sq0kChYb0n,"Exclusive Dirty Banknotes may be spreading Coronavirus
...
#blockchain #Cryptocurrency #crypto #bitcoin #cryptonews #BadNews #StayBadhttps://www.telegraph.co.uk/news/2020/03/02/exclusive-dirty-banknotes-may-spreading-coronavirus-world-health …"
