,Positive,Negative
0,4,1
1,New article by SpaceNews: Small Business Administration rule disqualifies many space startups from coronavirus relief loans https://spacenews.com/small-business-administration-rule-disqualifies-many-space-startups-from-coronavirus-relief-loans/ #space #spaceflight #news https://spaceflightnewsapi.net,"More than 99% of Italy’s coronavirus fatalities were people who suffered from previous medical conditions, according to a study https://www.bloomberg.com/news/articles/2020-03-18/99-of-those-who-died-from-virus-had-other-illness-italy-says via @bpolitics"
2,I see that WHO do better to face Coronavirus compared to SARS,"Coronavirus could 'burn out naturally' so vaccine not needed, former WHO director claims https://news.yahoo.com/coronavirus-could-burn-naturally-vaccine-125931790.html?soc_src=hl-viewer&amp;soc_trk=tw via @YahooNews"
3,"RT @NEF: Let’s rebuild our society better than before with:

🏫Well-funded public services
⚖️A fair economy
🌎A Green New Deal

Join the move…","Faced With Existential Threat to Their Rule, Chinese Leaders Decide to Save 11 Cities From Coronavirus Epidemic: Insider https://www.theepochtimes.com/faced-with-existential-threat-to-their-rule-chinese-leaders-decide-to-save-11-cities-from-coronavirus-epidemic-insider_3220421.html via @epochtimes"
4,Why no similar provision have been put in place in the UK RT Staff wearing protective suits wiped down and disinfected trains at a station in Seoul amid #coronavirus cases across S. Korea. Authorities say the routine disinfection is done 4 to 5 times per day. https://twitter.com/ABC/status/1235261246565474306 …,"This is a ""ghost country""!
BBC News - Wuhan pneumonia outbreak: Mystery illness 'caused by coronavirus'
https://www.bbc.com/news/world-asia-china-51047576 …"
5,,"Faced With Existential Threat to Their Rule, Chinese Leaders Decide to Save 11 Cities From Coronavirus Epidemic: Insider  https://www.theepochtimes.com/faced-with-existential-threat-to-their-rule-chinese-leaders-decide-to-save-11-cities-from-coronavirus-epidemic-insider_3220421.html … via @epochtimes"
6,," oooh, total strangers are making fun of me. You still haven’t proven me wrong about Coronavirus having a US patent. "
7,,"Do you think this DJ's joke about the coronavirus went too far?
 
https://edm.com/news/dutch-dj-discriminatory-coronavirus-song …"
8,,"At least 11 Americans dead, including 1st in California, from coronavirus - ABC News - https://abcn.ws/2vsTtYE  via @ABC"
9,,"Even If the #WHO incomprehensibly, refuses to call it a #pandemic, the numbers are alarming RT #Coronavirus : More than 94,000 cases have been confirmed worldwide, WHO says #Coronavirus https://twitter.com/i/events/1219057585707315201 …"
10,,New article by NASA: March 19 Administrator Statement on Agency Response to Coronavirus https://www.nasa.gov/press-release/march-19-administrator-statement-on-agency-response-to-coronavirus … #space #spaceflight #news https://spaceflightnewsapi.net 
11,,"The good news: in  The Stand, Captain Trips kills everyone! Captain Coronavirus, not so much. (Not downplaying! But 99% death rate is not what we’re up against )"
