,Positive,Negative
0,1,17
1,"Why is our @GovWhitmer talking about free college for 250,000 people at 10 bil when we are trying to save our jobs, businesses and the economy? What's going on? #coronavirus #MichiganProtest",Its chafs us to the bone. Michigan is burning under @GovWhitmer #coronavirus 
2,My favorite #coronavirus lockdown pastime is trashing anti-Semites and Bernie Sanders. It's fun and lets off steam. Try it.,"Michigan is burning under @GovWhitmer.Why is our @GovWhitmer talking about free college for 250,000 people at 10 bil when we are trying to save our jobs, businesses and the economy? What's going on? #coronavirus #MichiganProtest"
3,,"@GovWhitmer we are 6th highest CoronaVirus (CV) cases in the nation, 23rd in CV testing nationally? Shouldnt' testing to save lives and end the CV THREAT be the top priority not college tuition programs? #coronavirus #MichiganProtest"
4,,@GovWhitmer has the AFL-CIO union representative speaking officially for the governor at a Corona-Virus Update. Does anyone else find this crazy and inappropriate?#coronavirus #MichiganProtest
5,,"@GovWhitmer we are 6th highest CoronaVirus (CV) cases in the nation, 23rd in CV testing nationally? Shouldnt' testing to save lives and end the CV THREAT be the top priority not college tuition programs? #coronavirus #MichiganProtest – at Spider Lake"
6,,"Breaking: just like climate change, our “president” thinks the Coronavirus is fake"
7,,"Oh, yes! We need to talk about this. It’s being totally ignored. #COVID19 #HealthInsurance #DoingWithout"
8,,CoronaJay is off to hunt the virus. https://m.youtube.com/watch?feature=youtu.be&v=kKPVpGnz7pU … #coronavirus #coronovirus #CoronaVirusChallenge #coronaflu #CoronavirusUSA
9,,Rep. Katie Porter gets CDC chief to agree to pay for coronavirus testing - CNNPolitics https://www.cnn.com/2020/03/12/politics/katie-porter-cdc-coronavirus-testing-white-board/index.html …
10,,@Apple Brand new iPhone 10 stops charging in the midst of #coronavirus it’s 100 days out of warranty. Just over a year old. Apple you’ve done it before but this is low.
