,Positive,Negative
0,14,16
1,...meanwhile US tests approach 500. No Tests = No Cases. #COVID19 #coronavirus,There are viable rape allegations against the democratic presidential nominee; The Flynn case is falling apart; Dr. Birx has been talking about a possible blocker that prevents the coronavirus... But thank the HEAVANS! You are reporting about that heinous act of seat moving.
2,Should have a team there within two weeks. No Tests = No Cases. #COVID19 #coronavirus,"Coronavirus Death Toll Rises to 805, Passing SARS: Virus Update https://www.bloomberg.com/news/articles/2020-02-08/coronavirus-death-toll-rises-to-805-passing-sars-virus-update …"
3,Thank God they aren't being tested. No Tests = No Cases. #COVID19 #coronavirus,Seriously you can search “what’s going on in the world other than corona virus” and all there is are corona virus articles.
4,'We just told them all the kits don't work so don't bother.' No Tests = No Cases. #COVID19 #coronavirus,
5,"How about ""ignored""??? No Tests = No Cases. #COVID19 #coronavirus",
6,1. Don't test anyone. 2. Have @realDonaldTrump and Dr. Pence tell everyone they don't have it. #COVID19 #coronavirus,
7,Shanghai officials reveal novel coronavirus transmission modes - http://Chinadaily.com.cn  - the #coronavirus can be transported via aerosol - not good  https://www.chinadaily.com.cn/a/202002/08/WS5e3e7d97a310128217275fc3.html …,
8,Five British nationals test positive for coronavirus in France  https://twitter.com/i/events/1226128092315303936 …,
9,Nothing fascinating about it when you consider the data is skewed to be lower by the fact that China doesn’t have the resources to accurately gauge the spread through testing the #coronavirus. https://twitter.com/HelenBranswell/status/1229516409602002949 …,
10,No tests = No #Coronavirus,
11,"We're fucked.

No Tests = No Cases #coronavirus #Covid_19 #COVID19",
12,"Has anybody actually seen any N95 masks with specific sizes?

""masks don't work, except on us"" 
#COVID19 #coronavirus @CDCgov @Surgeon_General",
13,"Vatican City reports its first case of #coronavirus, days after Pope tested negative  https://www.dailymail.co.uk/news/article-8082259/Vatican-City-reports-case-coronavirus-days-Pope-tested-negative.html …",
