,Positive,Negative
0,57,51
1,Donald Trump reveals plans to travel to Arizona and Ohio and.. MailOnline - Coronavirus - News - Noticias - Bitcoin - CryptoCurrency - Forex - @bitcoinincoins &gt;,Brazil leaves its many poor hanging amid coronavirus surge Washingtonpost - News - Noticias - Bitcoin - CryptoCurrency - @News_1jl4 &gt;
2,Coronavirus Could Affect International Football For 'two Or Three Years' more at https://worldnws.com/news/coronavirus-could-affect-international-football-for-two-or-three-years,"'Coronavirus Has Renewed Our Addiction To Plastic.' Environmental activists are sounding the alarm as city streets become littered with masks and gloves, and single-use plastics get a new lease on life. #plasticpollutes http://ow.ly/1dmL30qKMxH"
3,Coronavirus Lockdown | Only 30 Lakh Found Mgnrega Work In April more at https://worldnws.com/news/coronavirus-lockdown-only-30-lakh-found-mgnrega-work-in-april,Former Vodaphone Boss Blows Whistle On 5G Coronavirus COVID-19 https://www.bitchute.com/video/c5wVUg16hMcn/ #BitChute
4,Elon Musk joins protesters demanding COVID-19 lockdowns be l.. MailOnline - Coronavirus - News - Noticias - Bitcoin - CryptoCurrency - Forex - @News_1jl4 &gt;,Wuhan coronavirus: Husband gets virus from wife in first U.S. person to person case https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-husband-gets-virus-from-wife-in-first-us-person-to-person-case-3012020216 #Health http://www.poandpo.com #613
5,Premier League planning to play on if there's one positive c.. MailOnline - Coronavirus - News - Noticias - Bitcoin - CryptoCurrency - Forex - @bitcoinincoins &gt;,Wuhan coronavirus: WHO declares global health emergency https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-who-declares-global-health-emergency-3012020652 #Health http://www.poandpo.com #155
6,"US Markets; DJIA 24634 +2.21% S&P 500 2939.5 +2.66% NASDAQ 8914.7 +3.57% NYSE Arca Oil 805.09 +8.84% * Stock markets gains intensify as Dr. Anthony Fauci comments on Gilead coronavirus drug trial, a quite good news.",Surgical Masks Sold Out Across UK Amidst Coronavirus Fears - https://summit.news/2020/01/30/surgical-masks-sold-out-across-uk-amidst-coronavirus-fears/ #corononavirus
7,Deliciously Ella reveals her second pregnancy has been much .. MailOnline - Coronavirus - News - Noticias - Bitcoin - CryptoCurrency - Forex - @bitcoinincoins &gt;,Wuhan coronavirus: Husband gets virus from wife in first U.S. person to person case https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-husband-gets-virus-from-wife-in-first-us-person-to-person-case-3012020216 #Health http://www.poandpo.com #448
8,"Indian railways kills people inside the train and those walking on the tracks. In a head to head between railways and #coronavirus, Indian railways win all the time.",Wuhan coronavirus: WHO declares global health emergency https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-who-declares-global-health-emergency-3012020652 #Health http://www.poandpo.com #882
9,Trump's new pandemic response team at work. #maga #Resist #tcot #qanon #wwg1wga #potus #gop #usa #Trump2020 #Covid_19 #coronavirus #Trump #BLACK_LIVES_MATTER,#coronavirus death toll rises to 212 
10,Ruby Princess crew member has been diagnosed with tuberculos.. MailOnline - Coronavirus - News - Noticias - Bitcoin - CryptoCurrency - Forex - @News_1jl4 &gt;,Wuhan coronavirus: Husband gets virus from wife in first U.S. person to person case https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-husband-gets-virus-from-wife-in-first-us-person-to-person-case-3012020216 #Health http://www.poandpo.com #163
11,Three drugs fairly effective on Wuhan coronavirus on cellular level https://lite.poandpo.com/in-sickness-and-health/three-drugs-fairly-effective-on-wuhan-coronavirus-on-cellular-level-3012020885 #Health http://www.poandpo.com #568,Wuhan coronavirus: WHO declares global health emergency https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-who-declares-global-health-emergency-3012020652 #Health http://www.poandpo.com #59
12,"Wuhan coronavirus: More than 6,000 tourists in lockdown on cruise ship in Italy https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-more-than-6000-tourists-in-lockdown-on-cruise-ship-in-italy-3012020709 #Health http://www.poandpo.com #870",Wuhan coronavirus: Husband gets virus from wife in first U.S. person to person case https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-husband-gets-virus-from-wife-in-first-us-person-to-person-case-3012020216 #Health http://www.poandpo.com #671
13,Three drugs fairly effective on Wuhan coronavirus on cellular level https://lite.poandpo.com/in-sickness-and-health/three-drugs-fairly-effective-on-wuhan-coronavirus-on-cellular-level-3012020885 #Health http://www.poandpo.com #482,Wuhan coronavirus: WHO declares global health emergency https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-who-declares-global-health-emergency-3012020652 #Health http://www.poandpo.com #705
14,"Wuhan coronavirus: More than 6,000 tourists in lockdown on cruise ship in Italy https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-more-than-6000-tourists-in-lockdown-on-cruise-ship-in-italy-3012020709 #Health http://www.poandpo.com #712",BREAKING URGENT Wuhan coronavirus: WHO declares global health emergency https://www.poandpo.com/in-sickness-and-health/wuhan-coronavirus-who-declares-global-health-emergency-3012020652 #Health http://www.poandpo.com
15,Three drugs fairly effective on Wuhan coronavirus on cellular level https://lite.poandpo.com/in-sickness-and-health/three-drugs-fairly-effective-on-wuhan-coronavirus-on-cellular-level-3012020885 #Health http://www.poandpo.com #853,"1 Where is the authorization for such a #tweet? 2 Yes, there’re people mixing an #app with using dedicated special secure infrastructure #Paging (look for #NP2M). This is partially dangerous 3 Stopping drinking #Corona #Beer isn’t recommended, but will not cause danger #COVID19 "
16,"Wuhan coronavirus: More than 6,000 tourists in lockdown on cruise ship in Italy https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-more-than-6000-tourists-in-lockdown-on-cruise-ship-in-italy-3012020709 #Health http://www.poandpo.com #661","1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #641"
17,Three drugs fairly effective on Wuhan coronavirus on cellular level https://lite.poandpo.com/in-sickness-and-health/three-drugs-fairly-effective-on-wuhan-coronavirus-on-cellular-level-3012020885 #Health http://www.poandpo.com #143,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #314"
18,"Wuhan coronavirus: More than 6,000 tourists in lockdown on cruise ship in Italy https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-more-than-6000-tourists-in-lockdown-on-cruise-ship-in-italy-3012020709 #Health http://www.poandpo.com #855","1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #831"
19,"Gooooooood morning!!!! With the data on #COVID19 my risk tolerance and experience, I can say that it's convenient to get infected with #coronavirus the sooner the better","1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #479"
20,"Now we can say: #A_novel_coronavirus is the cause of #Severe_Viral_Pneumonia in #Wuhan, #China linked to #seafood_market
https://www.who.int/china/news/detail/09-01-2020-who-statement-regarding-cluster-of-pneumonia-cases-in-wuhan-china …
#Coronaviruses #coronaviridae #emerging_viruses @WHO @CDCgov #
@USDAFoodSafety
@hayeslukhttps://www.youtube.com/watch?v=5KJUcKV9q50 …","1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #223"
21,"""Three U.S. Airports to Screen Passengers for Chinese Coronavirus"" by BY DENISE GRADY via @nytimes https://ift.tt/2FXm2yQ  Follow @IntInsurance #HealthyLiving #Healthcare #Medicine","1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #659"
22,Wuhan coronavirus: Dubai airport implements special screening for China flights https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-dubai-airport-implements-special-screening-for-china-flights-2312020171 … #Health http://www.poandpo.com  #412,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #421"
23,Chinese tourist evaded Wuhan coronavirus checks to fly to France https://lite.poandpo.com/in-sickness-and-health/chinese-tourist-evaded-wuhan-coronavirus-checks-to-fly-to-france-2312020961 … #Health http://www.poandpo.com  #9,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #68"
24,"Wuhan coronavirus: Four new cases confirmed in Beijing, five cities closed https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-four-new-cases-confirmed-in-beijing-five-cities-closed-2312020878 … #Health http://www.poandpo.com  #389","1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #959"
25,"Wuhan Coronavirus: Russia closed border with China, Moscow ready to act https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-russia-closed-border-with-china-moscow-ready-to-act-2812020456 … #Health http://www.poandpo.com  #323","1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #888"
26,Wuhan coronavirus: China accepts WHO experts but not American https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-china-accepts-who-experts-but-not-american-2812020364 … #Health http://www.poandpo.com  #655,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #409"
27,Chinese tourists quarantined over suspected Wuhan coronavirus in Turkey https://lite.poandpo.com/in-sickness-and-health/chinese-tourists-quarantined-over-suspected-wuhan-coronavirus-in-turkey-2812020338 … #Health http://www.poandpo.com  #90,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #304"
28,Kazakhstan to suspend routes of two trains to China over Wuhan coronavirus https://lite.poandpo.com/in-sickness-and-health/kazakhstan-to-suspend-routes-of-two-trains-to-china-over-wuhan-coronavirus-2812020348 … #Health http://www.poandpo.com  #36,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #210"
29,Toronto is amazingly well-organized in terms of informing the public about the first presumptive case #Coronavirus.,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #183"
30,Australia confirms first Wuhan coronavirus case https://lite.poandpo.com/in-sickness-and-health/australia-confirms-first-wuhan-coronavirus-case-2512020800 … #Health http://www.poandpo.com  #211,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #90"
31,Australia confirms four cases of Wuhan coronavirus https://lite.poandpo.com/in-sickness-and-health/australia-confirms-four-cases-of-wuhan-coronavirus-2512020918 … #Health http://www.poandpo.com  #73,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #126"
32,President Xi Jinping about Wuhan coronavirus: Situation in China is grave https://lite.poandpo.com/in-sickness-and-health/president-xi-jinping-about-wuhan-coronavirus-situation-in-china-is-grave-2512020215 … #Health http://www.poandpo.com  #466,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #63"
33,Wuhan coronavirus: Airports around world start screening passengers from China https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-airports-around-world-start-screening-passengers-from-china-2212020687 … #Health http://www.poandpo.com  #610,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #557"
34,Wuhan to be closed: China says Wuhan coronavirus now airborne https://lite.poandpo.com/in-sickness-and-health/wuhan-to-be-closed-china-says-wuhan-coronavirus-now-airborne-2212020992 … #Health http://www.poandpo.com  #802,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #111"
35,Wuhan coronavirus: Airports around world start screening passengers from China https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-airports-around-world-start-screening-passengers-from-china-2212020687 … #Health http://www.poandpo.com  #470,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #816"
36,Wuhan to be closed: China says Wuhan coronavirus now airborne https://lite.poandpo.com/in-sickness-and-health/wuhan-to-be-closed-china-says-wuhan-coronavirus-now-airborne-2212020992 … #Health http://www.poandpo.com  #770,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #148"
37,Wuhan coronavirus: Airports around world start screening passengers from China https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-airports-around-world-start-screening-passengers-from-china-2212020687 … #Health http://www.poandpo.com  #547,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #367"
38,Wuhan to be closed: China says Wuhan coronavirus now airborne https://lite.poandpo.com/in-sickness-and-health/wuhan-to-be-closed-china-says-wuhan-coronavirus-now-airborne-2212020992 … #Health http://www.poandpo.com  #364,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #327"
39,CDC: First case of Wuhan coronavirus confirmed in U.S. https://lite.poandpo.com/in-sickness-and-health/cdc-first-case-of-wuhan-coronavirus-confirmed-in-us-211202047 … #Health http://www.poandpo.com  #573,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #168"
40,CDC: First case of Wuhan coronavirus confirmed in U.S. https://lite.poandpo.com/in-sickness-and-health/cdc-first-case-of-wuhan-coronavirus-confirmed-in-us-211202047 … #Health http://www.poandpo.com  #84,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #457"
41,CDC confirms first US case of coronavirus that has killed 6 in China https://fastinews.com/2020/01/21/cdc-confirms-first-us-case-of-coronavirus-that-has-killed-6-in-china/ …pic.twitter.com/r3M33Xvazt,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #704"
42,CDC: First case of Wuhan coronavirus confirmed in U.S. https://lite.poandpo.com/in-sickness-and-health/cdc-first-case-of-wuhan-coronavirus-confirmed-in-us-211202047 … #Health http://www.poandpo.com  #430,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #747"
43,China allots nearly $9 billion to contain spread of Wuhan coronavirus https://lite.poandpo.com/in-sickness-and-health/china-allots-nearly-9-billion-to-contain-spread-of-wuhan-coronavirus-2712020200 … #Health http://www.poandpo.com  #302,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #606"
44,China locks down 10 cities to contain Wuhan coronavirus https://lite.poandpo.com/in-sickness-and-health/china-locks-down-10-cities-to-contain-wuhan-coronavirus-2412020167 … #Health http://www.poandpo.com  #488,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #436"
45,More airports screening passengers for Wuhan coronavirus https://lite.poandpo.com/in-sickness-and-health/more-airports-screening-passengers-for-wuhan-coronavirus-2412020334 … #Health http://www.poandpo.com  #611,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #80"
46,"China  has delayed the reopening of its stock markets to  Feb. 3  as part of its efforts to rein in the coronavirus outbreak.  Guessing it's a bit more serious than China is leading us to believe.   Where there's smoke there's fire.

#coronaravirus","1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #966"
47,Wuhan coronavirus: Ferry line between China and Japan suspended first time in 35 years https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-ferry-line-between-china-and-japan-suspended-first-time-in-35-years-291202093 … #Health http://www.poandpo.com  #155,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #903"
48,Wuhan coronavirus: Toyota China plants shut through February 9 https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-toyota-china-plants-shut-through-february-9-2912020928 … #Health http://www.poandpo.com  #762,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #622"
49,First suspected case of Wuhan coronavirus in Brazil confirmed https://lite.poandpo.com/in-sickness-and-health/first-suspected-case-of-wuhan-coronavirus-in-brazil-confirmed-2912020118 … #Health http://www.poandpo.com  #538,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #395"
50,"Wuhan coronavirus infects 6,056 people https://lite.poandpo.com/in-sickness-and-health/wuhan-coronavirus-infects-6056-people-2912020493 … #Health http://www.poandpo.com  #773","1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #639"
51,UAE confirms 4 Chinese tourists have Wuhan coronavirus https://lite.poandpo.com/in-sickness-and-health/uae-confirms-4-chinese-tourists-have-wuhan-coronavirus-2912020593 … #Health http://www.poandpo.com  #691,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #285"
52,Australia confirms four cases of Wuhan coronavirus https://lite.poandpo.com/in-sickness-and-health/australia-confirms-four-cases-of-wuhan-coronavirus-2512020918 … #Health http://www.poandpo.com  #321,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #351"
53,President Xi Jinping about Wuhan coronavirus: Situation in China is grave https://lite.poandpo.com/in-sickness-and-health/president-xi-jinping-about-wuhan-coronavirus-situation-in-china-is-grave-2512020215 … #Health http://www.poandpo.com  #8,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #287"
54,China: Wuhan coronavirus spreads without symptoms fast https://lite.poandpo.com/in-sickness-and-health/china-wuhan-coronavirus-spreads-without-symptoms-fast-2612020623 … #Health http://www.poandpo.com  #934,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #796"
55,Bordeaux and Paris cancels Chinese new year parade over Wuhan coronavirus https://lite.poandpo.com/in-sickness-and-health/bordeaux-and-paris-cancels-chinese-new-year-parade-over-wuhan-coronavirus-2612020801 … #Health http://www.poandpo.com  #561,"1 dead, 41 diagnosed with coronavirus-related pneumonia in Wuhan https://lite.poandpo.com/in-sickness-and-health/1-dead-41-diagnosed-with-coronavirusrelated-pneumonia-in-wuhan-1112020732 … #Health http://www.poandpo.com  #155"
