,Positive,Negative
0,14,16
1,i reallyy can’t cough without being accused of having the corona virus ok that’s fine i don’t like you anyways,people out here worried about coronavirus? maybe if getting sick came with a lime wedge people wouldn't be so bothered by it
2,Queen do you have coronavirus,China people infected by coronavirus should move to previous county who is infected before. maybe they knew how to cured the virus or deal with it.. @china @XHNews @PDChina @ChinaDaily
3,"Its not ""coronavirus"" its a fancy way of saying ""alcoholic""",Coronavirus. Hands down. I dont give a fuck about politics when people are dying and the disease is spreading so fast. Cities are shutting down. This is a global emergency.
4,coronavirus headass is going out,"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
5,"first #COVID19 case confirmed and my work was suddenly loaded with customers, far busier than christmas. the lines stretched through all the aisles. i was supposed to finish at 10 but stayed until 11:15. im so shocked and confused and just what the fuck",RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
6,ya'll let's hope that the coronavirus doesnt get enough DNA points to use genetic reshuffle.,"It’s impossible for me to get the corona virus. 

I’d have to leave my house for that."
7,I HOPE HILLARY GETS CORONAVIRUS,How do I mute all of EDM Twitter until the corona virus situation passes lmao
8,Coronavirus (COVID-19): guidance and support - https://t.co/jbehQhjibK #NHS #Covid19 #StayAtHome #StayHomeStaySafe… https://t.co/Izfsx3ir0o,
9,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",
10,doctor said i got covid19. not sure what that is but at least it's not coronavirus,
