,Positive,Negative
0,5,1
1,Gutfeld on limiting coronavirus lawsuits https://youtu.be/felnRnj_zZ8 via @YouTube,"I believe once they hear what a libertarian thinks gov role is with the corona virus, he won't get much of a vote."
2,Of course we all want vaccine for #coronavirus - But no way am I taking one from #china who made the virus - We better not get this from China - @BorisJohnson @MattHancock -,How many could end up in ICU ? - Guess they just don`t get it - #borisjohnson i feel should put the country back in full #lockdown again and really ram into their minds how serious #coronavirus is clueless fools https://uk.yahoo.com/news/sunseekers-defy-orders-not-pre-110759507.html @BorisJohnson @MattHancock
3,"#y dies #corona #virus #yara #covid19 but what if men breastfeed?...the way nature shows they can..men should be able, but like women it takes time. so did we let them try? and all fo them, so they develop the feel for it - breastfeeding is a reason too why female survive #world",someone please go and tell my mom if i just had a fever and cough not a corona virus:( dm me i'll give my mom's number
4,"Thats real #science #world #coronavirus #yaravirus #who #rivm #nl #rutte3 #covid19 are women also less #immune when having more brothers, a twin brother, and had more sex with men? They give them y... and the more y the less immune? #limburg example of study at the moment #ggd",Coronavirus declared global emergency by World Health Organisation https://youtu.be/59MKuuwPbTs via @YouTube
5,Why is no one talking about sanitizing your phones to prevent spread of the coronavirus!!! Our phones have the most germs,"so every brother, every sex, ever male DNA within us...as their DNA is alive DNA and will stay within us...also the more chances to die from #covid19? And #yara and any #virus less #immune since sex? Or female from a family with more males, weaker? When being the last female.."
6,"RT @DarrenEuronews: Top 5 countries 🌍 with highest number of #coronavirus cases

1. 🇺🇸 USA (Trump)
2. 🇧🇷 Brazil (Bolsonaro)
3. 🇷🇺 Russia (P…","RT @GrandmaSaidNo: Never forget that the US federal government is responsible for the high COVID-19 death toll on our Nation. 

The magnitu…"
7,"''ours is a strong commitment, miley''","RT @serenitysakinah: To be infected but not have symptoms is probably the scariest thing about this pandemic

• You might infect other peop…"
8,"The famous #2ndphase  #inafishbowl May 2020, #quarantine and #lockdown in #italy due to the #covid19… https://t.co/D8AOGDGpa6",
9,"#science #MD must come together again since #trump now on #genders #covid19 will it kill me sooner, I am a boy, as… https://t.co/yygk9isR41",
10,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",
11,Coronavirus hurry!!!,
