,Positive,Negative
0,22,6
1,coronavirus more like moronavirus eh?,i still need to get my friend her bday present which i was looking forward to doing FOR MONTHS AND THEN CORONAVIRUS DECIDED TO BE RUDE
2,I-I-I-I I’VE GOT the coronavirus,YYYYYYAAAAY WERE ALL GONNA DIE Coronavirus: Death toll rises to 170 as outbreak spreads to more regions 
3,"uh basically there's a deadly disease that started in China called the coronavirus, and multiple people have already contracted it- like 2k people rn I think. there are 5 cases in the U.S., some in Thailand, and now some in Asia.",i dont want the corona virus 
4,"society has become a fear-mongering, xenophobic trashland in regards to the coronavirus when in reality NOTHING is going to happen this thing is less “deadly” than the goddamned flu","corona virus and the US healthcare system, I'll try and find exactly what it said."
5,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…","i-
ok i may kin hanako (jk unless?) but im honestly- humans die so easily.
like that thought came to my mind as im thinking about the deaths of the coronavirus and kobe and gigi- and then i remembered hanako also said that ,,
im just- :(,,"
6,helpppppp,my mask is gonna be for the corona virus and for hiding 
7,"RT @yessmallika: CBSE: *cancels exams when COVID19 cases were 2000*
Also CBSE: *Reschedules exams when cases have crossed 200,000* #Coronav…",Now I'm acc so scared of getting the corona virus bruh aaaahhhhh
8,Remember like 3 months ago when I was worried about the coronavirus and y’all all fucking laughed at me? Mhm.,The coronavirus outbreak in Seattle where the con is
9,"someone walked in to work and saw us wear masks and he said ""so it's true?"" referring to the coronavirus,,, SIIRRRRR",i think i'm living in a simulation okay what the hell is this coronavirus school canceling quarantine hype scare oh my goodness
10,,some school near my house is closing until april because a student had the corona virus HELP
11,,y’all i have a compromised immune system i literally cannot catch the corona virus because my body won’t be able to fight it off. lmao and florida isn’t testing so fuck my life
