,Positive,Negative
0,13,3
1,Coronavirus: UK government allows live sport to return behind closed doors from June 1 https://www.skysports.com/football/news/11095/11997488/coronavirus-uk-government-allows-live-sport-to-return-behind-closed-doors-from-june-1 via @SkySports,"Nigeria, Brazil confirms first coronavirus case same day. As of today, Thursday, April 30 Brazil: 78,162 cases5,466 deaths and 339,552 test. Nigeria: 1,728 cases 51 deaths and 12,004 test. Population; Nigeria 200+ million Brazil 200+ million "
2,"“The best therapy might actually be a drug that stabilizes the vascular endothelial. We’re building a drastically different concept.” Coronavirus May Be a Blood Vessel Disease, Which Explains Everything by @SmithDanaG in @elemental",And researchers in France are conducting tests believing that nicotine possibly kills the #coronavirus as fewer smokers succumb to the disease ... apparently
3,EFL Announces Latest Coronavirus Testing Figures With 17 Individuals Testing Positive Across Leagues - https://lastwordonfootball.com/2020/05/30/efl-announces-latest-coronavirus-testing-figures-with-17-individuals-testing-positive-across-leagues/,"""Frozen foods become ‘sales powerhouse’ during coronavirus pandemic"" https://ift.tt/2yRiTjZ #Supermarketnews"
4,WHO calls for science and solidarity over coronavirus http://dlvr.it/RP4hrc #InternationalTravelNews,Quebec to gradually lift travel restrictions in some regions amid coronavirus pandemic http://dlvr.it/RVjgCv #projecthopetravel #travel #news
5,@tntkenya new music playing @trapculturetv #trapculturepodcast #CoronaVirusUpdates #uhurumustgo #FridayThoughts #Idlib #Syria #COVID19 #loveisblindfinale #EuropaLeague #Nigeria #Turkey,Why is coronavirus killing BAME Britons? http://dlvr.it/RXgZFW #projecthopetravel #travel #news
6,Here are just a few of the ways @WHO is responding to #COVID19. For latest updates http://bit.ly/392wK3P #CoronaVirusUpdates #coronavirus,"https://tfsnews.com/coronavirus-death-toll-rises-to-212-in-china/ The health commission for Hubei, the Chinese province at the centre of the new coronavirus outbreak, said on Friday that deaths in the province from the disease had risen by 42 to 204 as of the end of Jan. 30. Hubei's announcement takes the total death... "
7,"BNONews : NEW: 3 people in Beijing and Shenzhen have also tested positive for new coronavirus, making them the 1st confirmed cases outside Wuhan - CCTV https://buff.ly/2NFAC2k  - https://buff.ly/2tokWtu ",Kobe died in a chopper. An aircraft crushed in middleast. Corona virus. Fire in new york appartment. 
8,Real men don't apologise they own their shit. #RoyalRumble #HalaMadrid #Burnaboy #coronavirus,"Coronavirus Controls in China Are Delaying Crypto Miner Deliveries, Firms Say https://cryptoliam.com/2020/01/30/coronavirus-controls-in-china-are-delaying-crypto-miner-deliveries-firms-say/"
9,How to Make Your Business Resilient to Disasters Like Coronavirus https://insider.legendsmotivation.com/how-to-make-your-business-resilient-to-disasters-like-coronavirus/ …pic.twitter.com/bgPgQbAXKE,WHO warns NEW coronavirus linked to lethal SARS bug could be behind Chinese pneumonia flare-up http://dlvr.it/RMhlKW  #InternationalTravelNewspic.twitter.com/gQh7KEzW8n
10,How to Make Your Business Resilient to Disasters Like Coronavirus https://insider.legendsmotivation.com/how-to-make-your-business-resilient-to-disasters-like-coronavirus/ …pic.twitter.com/IzIsmcMSjg,"BNONews : BREAKING: Thailand confirms first case of a new strain of coronavirus that was first detected in Wuhan, China - WHO - https://buff.ly/30e3Vhu "
11,"#Coronavirus #COVID19 #Italy
Venice comes back to life after lockdown.
📸 Andrea Pattaro #AFP
More pictures on AFP F… https://t.co/M7UYPFgTp9","https://tfsnews.com/patient-in-japan-infected-with-new-cornavirus-from-china/ …
Japan confirms first infection from new coronavirus in a man returning from Wuhan, China. pic.twitter.com/xYMQXmCOE0"
12,RT @antonioguterres: We have seen such a widespread and damaging expansion of #COVID19 in large part because our multilateral system is not…,"BNONews : BREAKING: Japan reports 1st case of infection with new type of coronavirus, making it the 2nd case outside of China - Kyodo - https://buff.ly/3anGw1Q "
