,Positive,Negative
0,1,14
1,I'm responding directly to what you said. I didn't imply or say anything about your personal views. I asked for practical and tangible suggestions if you're going to talk about the coronavirus in relation to the protests.,"The deaths of the new coronavirus continue to increase in China, which may be due to one Chinese custom. It's talking loudly, blowing out saliva. Chinese are very vulnerable to droplet infection."
2,Coronavirus declared global health emergency https://www.bbc.com/news/world-51318246 #coronavirus,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
3,"Face mask can not prevent COVID19#, its my conclusion.",RT @ItsCeliaAu: There's not a single confirmed case of an Asian infected in NYC. Stop discriminating cause the virus definitely doesn't. #r…
4,My child’s school finished today. They would meet only the graduation ceremony. I’m very very very nervous. Please give me a positive word. #COVID19 #英語学習 #英語日記 #learnenglish #grammar,
5,"WHO says new China coronavirus could spread, warns hospitals worldwide https://www.reuters.com/article/us-china-health-pneumonia-who-idUSKBN1ZD16J …",
6,"@realDonaldTrump 

To the President Trump

Because of Shinzo Abe, Japan is under threat from the new coronavirus.Please strongly request that Shinzo immediately refuse entry from China.",
7,"""It will all work out well.""

Trump knows nothing about science; he is America's anti-science president. Trump compounds the danger that the coronavirus presents.

https://www.nytimes.com/2019/12/28/climate/trump-administration-war-on-science.html?searchResultPosition=1 …",
8,I’m scared. Coronavirus has come to my city. #coronarvirus,
9,"AI Predicts Coronavirus Could Infect 2.5 Billion And Kill 53 Million. Doctors Say That’s Not Credible, And Here’s Why https://www.forbes.com/sites/johnkoetsier/2020/02/05/ai-predicts-coronavirus-could-infect-25b-and-kill-53m-doctors-say-thats-not-credible-and-heres-why/ … by @johnkoetsier",
10,"Surgical-Masks're Nothing, at every store.
But, I found out Eazy-Mask.
Using your Coffee-Filter, and any Rubbers.
Shut Out Corona-Virus pic.twitter.com/lGMdGqRjyq",
11,Coronavirus: Amazon pulls out of major tech show https://www.bbc.co.uk/news/business-51438845 …,
12,"New coronavirus
Japan is in a serious situation with widespread infection.
There are many people who are cautious of meeting people and are waiting for contact.
Japan is in a serious situation with widespread infection.",
13,This was on the way home from fencing. Everyone has been saying masks are a good way to prevent the coronavirus. ,
14,"Are you sure “even though no one on board the cruise ship has tested positive for the Coronavirus” ? Isn’t it just because they haven’t got proper test? And please don’t forget about another cruse ship is staying Japan, medicated, even the captain is and tourism company is .",
15,Coronavirus Live Updates: Beijing Sets Stringent New Quarantine Rules - The New York Times https://www.nytimes.com/2020/02/14/world/asia/china-coronavirus.html …,
16,The tricky politics of naming the new coronavirus https://www.bbc.com/future/article/20200214-coronavirus-swine-flu-and-sars-how-viruses-get-their-names?ocid=ww.social.link.twitter … @BBC_Futureより,
17,RT @QuickTake: Beijing shut down its largest wholesale vegetable market after detecting new #coronavirus cases among a few business owners.…,
18,RT @xtrabaconplz: Made my own #ben10 omnitrix @ManOfActionEnt #twentyonepilots #LGBTQpride #COVID19 https://t.co/flA6NkXad7,
19,RT @desimojito: Breaking : Shahid Afridi tested positive for both Corona and joining lSlS,
20,"RT @VANurse1212: ➡️ Covid Poll 

🔄 Please RT After Voting For a Better Illustration

➡️ Did Anyone You Personally Know Test Positive For #C…",
21,I do believe I've had my first run in with a russian bot on twitter. Arguing against wearing masks to reduce… https://t.co/IThhtL71BX,
22,"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…",
23,RT @globaltimesnews: #Beijing shuts down supermarkets selling salmon over fears of #COVID19 spread. https://t.co/UbPqdExngC https://t.co/0j…,
