,Positive,Negative
0,0,9
1,"#mdpijcm Prediction of the Epidemic Peak of Coronavirus Disease in Japan, 2020 @JCM_MDPI","Had that exact thought during my morning shower: striking similarities between the mishandling of ""Spanish"" Flu by authoritarian, paranoid, secretive gvts during WW1, and ongoing mishandling of #COVID19 by the recent crop of authoritarian, populist, incompetent gvts… "
2,Coronavirus fatalities rise as stocks continue to slide https://youtu.be/yczIrEd2VX0 @YouTubeより,"So is anyone on Twitter tweeting about their symptoms of COVID19 yet? Odd, I haven't seen anyone but a few ppl joking that they have it. Others you see on TV are whisked away to a quarantine without internet. Seems very weird."
3,"Covid19 is NOT like the flu because: 1. Death rate is .1 for flu and 4-5% for covid19 2. There's no vaccine 3. It's Zoonotic, your pets can get/give it. 4. You can be easily re-infected. 5. It's based on a bat SARS virus and turns your organs into sponge.","In Japan, 414 infected people, Japan is the world's second most infected

#coronavirus
#COVID19"
4,"What if Covid19 is another type of seasonal flu, meaning it'll be here with us until next year, or the years to come, esp during winter.",U.S. Coronavirus Deaths Keep Climbing. So Do Fears of Spread. https://www.thedailybeast.com/us-coronavirus-deaths-keep-climbing-so-do-fears-of-spread?source=twitter&via=desktop … @thedailybeast
5,Face Masks: What Doctors Say About Their Role In Containing Coronavirus https://www.npr.org/sections/goatsandsoda/2020/01/29/800531753/face-masks-what-doctors-say-about-their-role-in-containing-coronavirus?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social …,"Actually, yes I do. I live in Japan and I have the coronavirus because the government here refuses to test anyone that isn’t dying from the disease. They are massively under-reporting, while my friends in China are no longer worried and are easing back into normal life."
6,"Why we panic about coronavirus, but not the flu https://www.axios.com/coronavirus-influenza-disease-china-united-states-64311582-2031-40af-8ec3-9ff68341d4f3.html?utm_source=twitter&utm_medium=twsocialshare&utm_campaign=organic …",
7,The Coronavirus Cruise Ship docked in Tokyo Bay near Yokohama reported an additional 10 passengers have tested positive for the illness. All passengers have to remain on the boat for TWO WEEKS.  https://twitter.com/nhk_news/status/1225203961562460160 …,
8,"Coronavirus in Tokyo - It’s Getting Worse
https://youtu.be/zMW-iJ64EME 

This is what’s really happening with the Coronavirus crisis in Japan. Taxi drivers, people on trains, so not the best situation. #coronaviruswuhan #COVID2019 #CoronaOutbreak #Coronavirustruth #coronavirusjapan",
9,"If this turns out to be true then Patanjali will be propelled to global levels. 

Keyword: ""IF""",
